id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade
d_nikke_hongryeon_blackshadow_04_1,d_nikke_hongryeon_blackshadow_04,Speech,dorothy,dorothy,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_1,True,hongryeon_o,5,idle,dorothy,3,idle,BattleShipBridge,4,4,1.0,event_bgm_redash_alldownhill,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_2,d_nikke_hongryeon_blackshadow_04,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_2,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_3,d_nikke_hongryeon_blackshadow_04,Speech,dorothy,dorothy,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_3,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_4,d_nikke_hongryeon_blackshadow_04,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_4,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_5,d_nikke_hongryeon_blackshadow_04,Speech,dorothy,dorothy,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_5,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_6,d_nikke_hongryeon_blackshadow_04,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_6,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_7,d_nikke_hongryeon_blackshadow_04,Speech,dorothy,dorothy,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_7,True,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_8,d_nikke_hongryeon_blackshadow_04,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_8,True,,5,think,,3,idle,,4,50,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_9,d_nikke_hongryeon_blackshadow_04,Speech,hongryeon_o,hongryeon_o,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_9,True,,5,delight,,3,idle,,50,50,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_hongryeon_blackshadow_04_10,d_nikke_hongryeon_blackshadow_04,Speech,dorothy,dorothy,Locale_NikkeEpisode:d_nikke_hongryeon_blackshadow_04_10,True,,5,delight,,3,think,,50,30,0.7,,,,,,,,,,,,,,,,,,,,,
