id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce006_02_04_1,d_nikke_ce006_02_04,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_1,False,Desert_03,black,black,1.0,sfx_scn_hugestonelift,none,,ce006_02,2,no,,,
d_nikke_ce006_02_04_2,d_nikke_ce006_02_04,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_2,False,,black,black,1.0,sfx_scn_movingrobot,,,,2,no,,,
d_nikke_ce006_02_04_3,d_nikke_ce006_02_04,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_3,False,,black,black,1.0,,,,,2,no,,,
d_nikke_ce006_02_04_4,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_4,True,,20,20,1.0,,,ce006_02,,2,no,,,
d_nikke_ce006_02_04_5,d_nikke_ce006_02_04,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_5,False,,20,130,1.5,,,,,2,no,,,
d_nikke_ce006_02_04_6,d_nikke_ce006_02_04,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_6,False,,130,130,1.0,,,,,2,no,,,
d_nikke_ce006_02_04_7,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_7,True,,130,20,1.3,,,ce006_02,,2,no,,,
d_nikke_ce006_02_04_8,d_nikke_ce006_02_04,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_04_8,True,,20,1,1.3,,,com,,2,no,com,12,idle
d_nikke_ce006_02_04_9,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_9,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_04_10,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_10,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_04_11,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_11,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_04_12,d_nikke_ce006_02_04,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_04_12,False,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_04_13,d_nikke_ce006_02_04,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_04_13,True,,1,1,1.0,,,com,,2,no,,12,idle
d_nikke_ce006_02_04_14,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_14,True,,1,1,1.0,,,ce006_02,,2,smile,,12,idle
d_nikke_ce006_02_04_15,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_15,True,,1,1,1.0,,,ce006_02,,2,smile,,12,idle
d_nikke_ce006_02_04_16,d_nikke_ce006_02_04,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_04_16,False,,1,1,1.0,,,com,,2,smile,,12,idle
d_nikke_ce006_02_04_17,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_17,True,,1,1,1.0,,bgm_story_stormbreakers,ce006_02,,2,smile,,12,idle
d_nikke_ce006_02_04_18,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_18,False,,1,1,1.0,,,com,,2,smile,,12,idle
d_nikke_ce006_02_04_19,d_nikke_ce006_02_04,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_04_19,True,,1,1,1.0,,,ce006_02,,2,no,,12,idle
d_nikke_ce006_02_04_20,d_nikke_ce006_02_04,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_04_20,True,,1,1,1.0,,,com,,2,no,,12,idle
