id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_milk_bloomingbunny_02_1,d_nikke_milk_bloomingbunny_02,Narration,frima,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_1,False,Cafe,4,4,1.0,bgm_story_orangepop,,,,frima,5,sleep_01,sugar,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_2,d_nikke_milk_bloomingbunny_02,Speech,frima,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_2,True,,4,4,1.0,,frima,,,,5,sleep_01,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_3,d_nikke_milk_bloomingbunny_02,Speech,sugar,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_3,True,,4,4,1.0,,sugar,,,,5,sleep_01,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_4,d_nikke_milk_bloomingbunny_02,Speech,sugar,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_4,False,,4,4,1.0,,milk,,,,5,sleep_01,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_5,d_nikke_milk_bloomingbunny_02,Speech,frima,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_5,True,,4,4,1.0,,frima,,,,5,sleep_01,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_6,d_nikke_milk_bloomingbunny_02,Speech,sugar,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_6,True,,4,4,1.0,,sugar,,,,5,sleep_01,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_7,d_nikke_milk_bloomingbunny_02,Speech,sugar,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_7,False,,4,4,1.0,,milk,,,,5,sleep_01,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_8,d_nikke_milk_bloomingbunny_02,Speech,frima,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_8,True,,4,4,1.0,,frima,,,,5,surprise,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_9,d_nikke_milk_bloomingbunny_02,Speech,sugar,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_9,True,,4,4,1.0,,sugar,,,,5,surprise,,3,idle,,,,,,
d_nikke_milk_bloomingbunny_02_10,d_nikke_milk_bloomingbunny_02,Speech,sugar,Locale_NikkeEpisode:d_nikke_milk_bloomingbunny_02_10,False,,4,4,1.0,,milk,,,,5,surprise,,3,idle,,,,,,
