id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_mica_snowbuddy_04_1,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_1,True,belorta,5,angry,NikkeRoom,XS_50,XS_50,1.0,none,,,,,,,
d_nikke_mica_snowbuddy_04_2,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_2,True,,5,angry,,XS_50,XS_50,1.0,bgm_story_inwonderland,,,,,,,
d_nikke_mica_snowbuddy_04_3,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_3,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_4,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_4,False,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_5,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_5,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_6,d_nikke_mica_snowbuddy_04,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_6,False,,5,angry,,XS_50,5,0.5,,sfx_scn_stepdust,Low_2,,,,,
d_nikke_mica_snowbuddy_04_7,d_nikke_mica_snowbuddy_04,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_7,False,,5,angry,,black,black,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_8,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_8,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_9,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_9,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_10,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_10,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_11,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_11,False,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_12,d_nikke_mica_snowbuddy_04,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_12,False,,5,angry,,5,XS_50,0.5,,sfx_scn_blanket,Low_2,,,,,
d_nikke_mica_snowbuddy_04_13,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_13,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_14,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_14,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_15,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_15,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_16,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_16,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_17,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_17,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_18,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_18,True,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_19,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_19,False,,5,angry,,XS_50,XS_50,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_20,d_nikke_mica_snowbuddy_04,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_20,False,,5,angry,,XS_50,5,0.5,,sfx_scn_stepdust,Low_2,,,,,
d_nikke_mica_snowbuddy_04_21,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_21,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_22,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_22,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_23,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_23,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_24,d_nikke_mica_snowbuddy_04,Narration,,,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_24,False,,5,idle,,5,5,1.0,,sfx_scn_knock,,,,,,
d_nikke_mica_snowbuddy_04_25,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_25,False,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_26,d_nikke_mica_snowbuddy_04,Speech,mica_w,mica_w,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_26,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_27,d_nikke_mica_snowbuddy_04,Speech,mica_w,mica_w,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_27,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_28,d_nikke_mica_snowbuddy_04,Speech,mica_w,mica_w,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_28,True,,5,idle,,5,5,1.0,,,,,,,,
d_nikke_mica_snowbuddy_04_29,d_nikke_mica_snowbuddy_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_04_29,False,,5,idle,,5,XS_50,0.5,,,,,,,,
