id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,jump_target,characters/9/hide_char_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id
d_nikke_dolla_05_1,d_nikke_dolla_05,Narration,Locale_NikkeEpisode:d_nikke_dolla_05_1,False,CommanderRoom,m_nikke_dolla_05,1,1,1.0,sfx_scn_phonevibration,bgm_story_epicjazzymoods,,,,,,,,,,,,,
d_nikke_dolla_05_2,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_2,True,,,1,1,1.0,,,shifty_c,shifty_c,shifty_c,OP_center,idle,,,,,,,,
d_nikke_dolla_05_3,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_3,True,,,1,1,1.0,,,shifty_c,shifty_c,,OP_center,idle,,,,,,,,
d_nikke_dolla_05_4,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_4,False,,,1,1,1.0,,,shifty_c,,,OP_center,idle,d_nikke_dolla_05_6,,,,,,,
d_nikke_dolla_05_5,d_nikke_dolla_05,Choice,Locale_NikkeEpisode:d_nikke_dolla_05_5,False,,,1,1,1.0,,,shifty_c,,,OP_center,idle,d_nikke_dolla_05_10,,,,,,,
d_nikke_dolla_05_6,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_6,True,,,1,1,1.0,,,shifty_c,shifty_c,,OP_center,think,,,,,,,,
d_nikke_dolla_05_7,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_7,True,,,1,1,1.0,,,shifty_c,shifty_c,,OP_center,think,,,,,,,,
d_nikke_dolla_05_8,d_nikke_dolla_05,Self,Locale_NikkeEpisode:d_nikke_dolla_05_8,False,,,1,1,1.0,,,shifty_c,,,OP_center,think,,,,,,,,
d_nikke_dolla_05_9,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_9,True,,,1,1,1.0,,,shifty_c,shifty_c,,OP_center,delight,d_nikke_dolla_05_12,,,,,,,
d_nikke_dolla_05_10,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_10,True,,,1,1,1.0,,,shifty_c,shifty_c,,OP_center,delight,,,,,,,,
d_nikke_dolla_05_11,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_11,True,,,1,1,1.0,,,shifty_c,shifty_c,,OP_center,delight,,,,,,,,
d_nikke_dolla_05_12,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_12,True,,,1,1,1.0,,,shifty_c,shifty_c,,OP_center,idle,,,,,,,,
d_nikke_dolla_05_13,d_nikke_dolla_05,Narration,Locale_NikkeEpisode:d_nikke_dolla_05_13,False,,,black,black,1.0,sfx_scn_autodooropen,,,,,OP_center,idle,,shifty_c,,,,,,
d_nikke_dolla_05_14,d_nikke_dolla_05,Narration,Locale_NikkeEpisode:d_nikke_dolla_05_14,False,Bar,,5,1,2.0,sfx_scn_chimebell,none,,,,,,,,black,,,,,
d_nikke_dolla_05_15,d_nikke_dolla_05,Speech,Locale_NikkeEpisode:d_nikke_dolla_05_15,True,,,1,1,1.0,,,dolla,dolla,,,,,,,dolla,1,no,,
