id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,speaker,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,fade
d_nikke_alice_wonderlandbunny_01_1,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_1,False,IceLand_01,7,13,2.0,bgm_story_inwonderland,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_2,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_2,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_3,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_3,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_4,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_4,False,none,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_5,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_5,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_6,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_6,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_7,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_7,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_8,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_8,False,,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_9,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_9,False,Office,13,13,1.0,,,,,,,,,,,,,,,,,,
d_nikke_alice_wonderlandbunny_01_10,d_nikke_alice_wonderlandbunny_01,Narration,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_01_10,False,,13,13,1.0,,tove,tove,12,idle,neve,14,idle,ludmilla,2,idle,,,,,,,
