id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade
d_nikke_privaty_05_1,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_1,True,privaty,1,angry,Armory,1,S_10,1.0,bgm_story_whosdumber,,,,,,,,,
d_nikke_privaty_05_2,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_2,True,,1,angry,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_privaty_05_3,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_3,False,,1,angry,,S_10,S_10,1.0,,admi,13,idle,,,,,,
d_nikke_privaty_05_4,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_4,True,,1,angry,,S_10,S_10,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_5,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_5,True,,1,angry,,S_10,S_10,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_6,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_6,True,,1,angry,,S_10,S_100,0.5,,,13,idle,,,,,,
d_nikke_privaty_05_7,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_7,True,,1,angry,,S_100,12,2.0,,,13,worry,,,,,,
d_nikke_privaty_05_8,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_8,True,,1,idle,,12,12,1.0,,,13,worry,,,,,,
d_nikke_privaty_05_9,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_9,True,,1,idle,,12,12,1.0,,,13,worry,,,,,,
d_nikke_privaty_05_10,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_10,True,,1,shy,,12,12,1.0,,,13,worry,,,,,,
d_nikke_privaty_05_11,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_11,True,,1,shy,,12,12,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_12,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_12,True,,1,shy,,12,S_10,2.0,,,13,idle,,,,,,
d_nikke_privaty_05_13,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_13,False,,1,shy,,S_130,S_130,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_14,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_14,True,,1,shy,,S_10,S_10,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_15,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_15,False,,1,shy,,S_130,S_130,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_16,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_16,True,,1,shy,,S_130,12,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_17,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_17,True,,1,shy,,12,12,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_18,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_18,False,,1,idle,,12,12,1.0,,,13,idle,,,,,,
d_nikke_privaty_05_19,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_19,True,,1,idle,,12,12,1.0,,,13,idle,yulha,3,idle,,,
d_nikke_privaty_05_20,d_nikke_privaty_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_privaty_05_20,False,,1,idle,,12,2,2.0,,,13,idle,,3,idle,,,
d_nikke_privaty_05_21,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_21,False,,1,surprise,,2,S_10,0.5,,,13,idle,,3,idle,,,
d_nikke_privaty_05_22,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_22,True,,1,surprise,,S_10,S_10,0.5,,,13,idle,,3,idle,,,
d_nikke_privaty_05_23,d_nikke_privaty_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_privaty_05_23,True,,1,surprise,,30,30,1.0,,,13,idle,,3,idle,,,
d_nikke_privaty_05_24,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_24,True,,1,shy,,30,S_10,0.5,,,13,idle,,3,idle,,,
d_nikke_privaty_05_25,d_nikke_privaty_05,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_privaty_05_25,True,,1,shy,,S_10,S_130,2.0,,,13,idle,,3,idle,,,
d_nikke_privaty_05_26,d_nikke_privaty_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_privaty_05_26,True,,1,shy,,30,30,1.0,none,,13,idle,,3,idle,,,
d_nikke_privaty_05_27,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_27,True,,1,surprise,,S_10,S_10,1.0,,,13,idle,,3,idle,,,
d_nikke_privaty_05_28,d_nikke_privaty_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_privaty_05_28,True,,1,shy,,S_10,2,1.0,bgm_story_impression,,13,idle,,3,idle,,,
d_nikke_privaty_05_29,d_nikke_privaty_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_privaty_05_29,True,,1,shy,,2,2,1.0,,,13,idle,,3,idle,,,
d_nikke_privaty_05_30,d_nikke_privaty_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_privaty_05_30,True,,1,shy,,2,2,1.0,,,13,idle,,3,idle,,,
d_nikke_privaty_05_31,d_nikke_privaty_05,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_05_31,True,,1,shy,,2,S_10,0.5,,,13,idle,,3,idle,,,
d_nikke_privaty_05_32,d_nikke_privaty_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_privaty_05_32,True,,1,shy,,S_10,30,1.0,,,13,idle,,3,angry,,,
