id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_clay_01_1,d_nikke_clay_01,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_clay_01_1,True,Hospital,1,1,1.0,bgm_story_fairytalesend_if,,,,mary,12,idle,,clay,2,sad,,,,,
d_nikke_clay_01_2,d_nikke_clay_01,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_clay_01_2,True,,1,1,1.0,,,,,,12,idle,,,2,sad,,,,,
d_nikke_clay_01_3,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_3,True,,1,1,1.0,,,,,,12,idle,,,2,sad,,,,,
d_nikke_clay_01_4,d_nikke_clay_01,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_clay_01_4,True,,1,1,1.0,,,,,,12,idle,,,2,sad,,,,,
d_nikke_clay_01_5,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_5,True,,1,1,1.0,,,,,,12,idle,,,2,worry,,,,,
d_nikke_clay_01_6,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_6,True,,1,1,1.0,,,,,,12,idle,,,2,worry,,,,,
d_nikke_clay_01_7,d_nikke_clay_01,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_clay_01_7,True,,1,S_120,1.0,,,,,,12,idle,,,2,worry,,,,,
d_nikke_clay_01_8,d_nikke_clay_01,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_clay_01_8,True,,S_120,S_120,1.0,,,,,,12,idle,,,2,worry,,,,,
d_nikke_clay_01_9,d_nikke_clay_01,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_clay_01_9,True,,S_120,S_120,1.0,,,,,,12,idle,,,2,worry,,,,,
d_nikke_clay_01_10,d_nikke_clay_01,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_clay_01_10,True,,S_120,S_120,1.0,,,,,,12,idle,,,2,worry,,,,,
d_nikke_clay_01_11,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_11,False,,S_120,20,1.0,,,,,,12,idle,,,2,sad,,,,,
d_nikke_clay_01_12,d_nikke_clay_01,Speech,clay,clay,Locale_NikkeEpisode:d_nikke_clay_01_12,True,,20,20,1.0,,,,,,12,idle,,,2,sad,,,,,
