id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,speaker,characters/1/hide_char_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id
d_nikke_phantom_05_1,d_nikke_phantom_05,Narration,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_1,False,CommanderRoom_n,10,10,1.0,sfx_scn_knock,bgm_story_breakaway,,,,,,,,,,,
d_nikke_phantom_05_2,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_2,False,,10,10,1.0,,,,,,,,,,,,,
d_nikke_phantom_05_3,d_nikke_phantom_05,Narration,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_3,False,,black,black,1.0,sfx_scn_autodooropen,,rapi,1,idle,,,,,,,,
d_nikke_phantom_05_4,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_4,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_5,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_5,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_6,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_6,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_7,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_7,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_phantom_05_8,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_8,True,,10,10,1.0,,,,1,worry,rapi,,,,,,,
d_nikke_phantom_05_9,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_9,True,,10,10,1.0,,,,1,worry,rapi,,,,,,,
d_nikke_phantom_05_10,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_10,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_11,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_11,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_12,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_12,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_phantom_05_13,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_13,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_phantom_05_14,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_14,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_15,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_15,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_16,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_16,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_phantom_05_17,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_17,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_phantom_05_18,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_18,True,,10,10,1.0,,,,1,idle,rapi,,,,,,,
d_nikke_phantom_05_19,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_19,False,,10,10,1.0,,,,1,idle,,,,,,,,
d_nikke_phantom_05_20,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_20,True,,10,10,1.0,,,,1,worry,rapi,,,,,,,
d_nikke_phantom_05_21,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_21,True,,10,10,1.0,,,,1,worry,rapi,,,,,,,
d_nikke_phantom_05_22,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_22,False,,10,10,1.0,,,,1,worry,,,,,,,,
d_nikke_phantom_05_23,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_23,False,,10,10,1.0,,,,1,worry,,,,,,,,
d_nikke_phantom_05_24,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_24,True,,10,10,1.0,,,,1,think,rapi,,,,,,,
d_nikke_phantom_05_25,d_nikke_phantom_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_25,True,,10,10,1.0,,,,1,think,rapi,,,,,,,
d_nikke_phantom_05_26,d_nikke_phantom_05,Self,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_26,False,,10,10,1.0,,,,1,think,,,,,,,,
d_nikke_phantom_05_27,d_nikke_phantom_05,Narration,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_27,False,,black,black,1.0,sfx_scn_autodooropen,,,1,think,,rapi,,,,,,
d_nikke_phantom_05_28,d_nikke_phantom_05,Monologue,rapi,Locale_NikkeEpisode:d_nikke_phantom_05_28,False,,10,10,1.0,,,,,,,,,,,,,
d_nikke_phantom_05_29,d_nikke_phantom_05,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_05_29,False,,black,black,1.0,,none,,,,,,,,,,,
d_nikke_phantom_05_30,d_nikke_phantom_05,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_05_30,False,,black,black,1.0,,,,,,,,,,,,,
d_nikke_phantom_05_31,d_nikke_phantom_05,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_05_31,False,Library,black,black,1.0,sfx_scn_rustydooropen,,,,,,,black,,,,,
