id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,fade,jump_target
d_nikke_rapi_05_1,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_1,True,rapi,2,idle,anis,12,delight,neon,14,idle,NikkeRoom,120,120,1.0,bgm_story_backtonormal,,,,
d_nikke_rapi_05_2,d_nikke_rapi_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rapi_05_2,True,,2,idle,,12,delight,,14,delight,,120,13,1.0,,,,,
d_nikke_rapi_05_3,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_3,True,,2,idle,,12,delight,,14,delight,,13,13,1.0,,,,,
d_nikke_rapi_05_4,d_nikke_rapi_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rapi_05_4,True,,2,idle,,12,delight,,14,no,,13,13,1.0,,,,,
d_nikke_rapi_05_5,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_5,False,,2,idle,,12,idle,,14,no,,20,20,1.0,,,,,
d_nikke_rapi_05_6,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_6,True,,2,delight,,12,idle,,14,idle,,20,20,1.0,,,,,
d_nikke_rapi_05_7,d_nikke_rapi_05,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_05_7,False,,2,delight,,12,idle,,14,idle,,20,20,1.0,,,,,
d_nikke_rapi_05_8,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_8,False,,2,delight,,12,idle,,14,idle,,20,1,1.0,,,,,
d_nikke_rapi_05_9,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_9,True,,2,idle,,12,idle,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_10,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_10,True,,2,idle,,12,idle,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_11,d_nikke_rapi_05,Self,anis,Self,Locale_NikkeEpisode:d_nikke_rapi_05_11,False,,2,idle,,12,idle,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_12,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_12,True,,2,idle,,12,idle,,14,idle,,1,120,1.0,,,,,
d_nikke_rapi_05_13,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_13,True,,2,idle,,12,idle,,14,idle,,120,120,1.0,,,,,
d_nikke_rapi_05_14,d_nikke_rapi_05,Self,anis,Self,Locale_NikkeEpisode:d_nikke_rapi_05_14,False,,2,idle,,12,idle,,14,idle,,120,120,1.0,,,,,
d_nikke_rapi_05_15,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_15,False,,2,idle,,12,void,,14,idle,,120,120,1.0,,,,,
d_nikke_rapi_05_16,d_nikke_rapi_05,Self,anis,Self,Locale_NikkeEpisode:d_nikke_rapi_05_16,False,,2,idle,,12,void,,14,idle,,120,120,1.0,,,,,
d_nikke_rapi_05_17,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_17,True,,2,idle,,12,void,,14,idle,,120,1,1.0,,,,,
d_nikke_rapi_05_18,d_nikke_rapi_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_05_18,True,,2,idle,,12,void,,14,idle,,1,1,1.0,,,,,
d_nikke_rapi_05_19,d_nikke_rapi_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rapi_05_19,True,,2,idle,,12,void,,14,idle,,1,1,1.0,,,,,
