id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_nero_02_1,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_1,True,Pool,1,L_10,1.0,bgm_story_orangepop,,,,,nero,1,sad
d_nikke_nero_02_2,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_2,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_3,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_3,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_4,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_4,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_5,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_5,True,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_6,d_nikke_nero_02,Narration,,,Locale_NikkeEpisode:d_nikke_nero_02_6,False,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_7,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_7,False,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_8,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_8,False,,L_10,L_10,1.0,,,,,,,1,angry
d_nikke_nero_02_9,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_9,True,,L_10,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_10,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_10,True,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_11,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_11,True,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_12,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_12,False,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_13,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_13,False,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_14,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_14,False,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_15,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_15,False,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_16,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_16,False,,L_100,L_100,1.0,,,,,,,1,sad
d_nikke_nero_02_17,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_17,True,,L_100,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_18,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_18,True,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_19,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_19,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_20,d_nikke_nero_02,Self,,,Locale_NikkeEpisode:d_nikke_nero_02_20,False,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_21,d_nikke_nero_02,Speech,nero,nero,Locale_NikkeEpisode:d_nikke_nero_02_21,True,,L_10,L_10,1.0,,,,,,,1,sad
d_nikke_nero_02_22,d_nikke_nero_02,Monologue,,,Locale_NikkeEpisode:d_nikke_nero_02_22,False,,black,black,1.0,,,,,,,1,sad
