id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,play_sound,characters/0/hide_char_id,fade,set_camera_shake
d_nikke_phantom_03_1,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_1,False,Library,1,1,1.0,bgm_story_languor,,,,,,,,
d_nikke_phantom_03_2,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_2,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_3,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_3,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_4,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_4,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_5,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_5,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_6,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_6,False,,black,black,1.0,,phantom,1,smile_02,,,,,
d_nikke_phantom_03_7,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_7,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_8,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_8,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_9,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_9,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_10,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_10,False,,L_10,L_10,1.0,,,1,smile_02,,,,,
d_nikke_phantom_03_11,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_11,True,,L_10,L_10,1.0,,,1,idle_02,phantom,,,,
d_nikke_phantom_03_12,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_12,True,,L_10,L_10,1.0,,,1,idle_02,phantom,,,,
d_nikke_phantom_03_13,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_13,False,,L_10,L_10,1.0,,,1,idle_02,,,,,
d_nikke_phantom_03_14,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_14,True,,L_10,L_100,1.0,,,1,sad_02,phantom,,,,
d_nikke_phantom_03_15,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_15,True,,L_100,L_100,1.0,,,1,sad_02,phantom,,,,
d_nikke_phantom_03_16,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_16,True,,L_100,L_100,1.0,,,1,sad_02,phantom,,,,
d_nikke_phantom_03_17,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_17,False,,L_100,L_100,1.0,,,1,sad_02,,,,,
d_nikke_phantom_03_18,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_18,True,,L_100,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_19,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_19,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_20,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_20,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_21,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_21,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_22,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_22,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_23,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_23,False,,L_10,L_10,1.0,,,1,smile_02,,,,,
d_nikke_phantom_03_24,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_24,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_25,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_25,False,,L_10,L_10,1.0,,,1,smile_02,,,,,
d_nikke_phantom_03_26,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_26,False,,L_10,L_100,1.0,,,1,special_02,phantom,,,,
d_nikke_phantom_03_27,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_27,True,,L_100,L_100,1.0,,,1,shy_02,phantom,,,,
d_nikke_phantom_03_28,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_28,True,,L_100,L_100,1.0,,,1,shy_02,phantom,,,,
d_nikke_phantom_03_29,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_29,True,,L_100,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_30,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_30,True,,L_10,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_31,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_31,False,,L_10,L_10,1.0,,,1,no_02,,,,,
d_nikke_phantom_03_32,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_32,True,,L_10,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_33,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_33,False,,L_10,L_10,1.0,,,1,no_02,,,,,
d_nikke_phantom_03_34,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_34,True,,L_10,L_10,1.0,,,1,special_02,phantom,,,,
d_nikke_phantom_03_35,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_35,True,,L_10,L_10,1.0,,,1,special_02,phantom,,,,
d_nikke_phantom_03_36,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_36,True,,L_10,L_10,1.0,,,1,special_02,phantom,,,,
d_nikke_phantom_03_37,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_37,False,,L_10,L_10,1.0,,,1,special_02,,,,,
d_nikke_phantom_03_38,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_38,False,,L_10,L_10,1.0,none,,1,no_02,phantom,,,,
d_nikke_phantom_03_39,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_39,True,,L_10,L_100,1.0,bgm_story_weare,,1,no_02,phantom,,,,
d_nikke_phantom_03_40,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_40,True,,L_100,L_100,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_41,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_41,True,,L_100,L_100,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_42,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_42,False,,L_100,L_100,1.0,,,1,no_02,,,,,
d_nikke_phantom_03_43,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_43,True,,L_100,L_100,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_44,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_44,True,,L_100,L_100,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_45,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_45,True,,L_100,L_100,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_46,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_46,False,,L_100,L_100,1.0,,,1,no_02,,,,,
d_nikke_phantom_03_47,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_47,True,,L_100,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_48,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_48,True,,L_10,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_49,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_49,False,,L_10,L_10,1.0,,,1,no_02,,,,,
d_nikke_phantom_03_50,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_50,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_51,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_51,True,,L_10,L_10,1.0,,,1,smile_02,phantom,,,,
d_nikke_phantom_03_52,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_52,False,,black,black,1.0,none,,1,smile_02,,sfx_scn_button,,,
d_nikke_phantom_03_53,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_53,False,,black,black,1.0,,,1,smile_02,,sfx_scn_metaldoorclose,phantom,,
d_nikke_phantom_03_54,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_54,False,,1,1,1.0,,,,,,sfx_scn_paperopen,,,
d_nikke_phantom_03_55,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_55,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_56,d_nikke_phantom_03,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_56,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_57,d_nikke_phantom_03,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_57,False,,1,1,1.0,,,,,,sfx_scn_papercatch,,,
d_nikke_phantom_03_58,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_58,False,,1,1,1.0,bgm_story_crawlinganxiety,,,,,,,,
d_nikke_phantom_03_59,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_59,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_60,d_nikke_phantom_03,Self,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_60,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_61,d_nikke_phantom_03,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_61,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_62,d_nikke_phantom_03,Monologue,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_62,False,,1,1,1.0,,,,,,,,,
d_nikke_phantom_03_63,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_63,False,,black,black,1.0,,,,,,sfx_scn_button,,black,
d_nikke_phantom_03_64,d_nikke_phantom_03,Narration,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_64,False,,black,black,1.0,,phantom,1,no_02,,sfx_scn_metalboxopenslowly,,,
d_nikke_phantom_03_65,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_65,False,,1,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_66,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_66,True,,L_10,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_67,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_67,True,,L_10,L_10,1.0,,,1,no_02,phantom,,,,
d_nikke_phantom_03_68,d_nikke_phantom_03,Speech,phantom,Locale_NikkeEpisode:d_nikke_phantom_03_68,True,,L_10,L_10,1.0,,,1,no_02,phantom,,,,
