id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
d_nikke_signal_03_1,d_nikke_signal_03,Monologue,Locale_NikkeEpisode:d_nikke_signal_03_1,True,CommanderRoom,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_2,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_2,True,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_3,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_4,d_nikke_signal_03,Narration,Locale_NikkeEpisode:d_nikke_signal_03_4,True,,1,3,2.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_5,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_5,True,,3,XS_30,1.0,bgm_story_whosdumber,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_6,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_6,True,,XS_30,XS_30,1.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_7,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_7,True,,XS_30,XS_30,1.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_8,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_8,True,,XS_30,XS_30,1.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_9,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_9,False,,XS_30,XS_30,1.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_10,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_10,True,,XS_30,XS_30,1.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_11,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_11,True,,XS_30,XS_30,1.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_12,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_12,True,,XS_30,XS_30,1.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_13,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_13,True,,XS_30,3,2.0,,signal,signal,,,,,,,,,,,,,,,,,,
d_nikke_signal_03_14,d_nikke_signal_03,Narration,Locale_NikkeEpisode:d_nikke_signal_03_14,True,Corridor,3,5,1.0,,,,signal,5,sad,sfx_scn_autodooropen,,,,,,,,,,,,,,
d_nikke_signal_03_15,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_15,True,,5,XS_50,0.5,,signal,signal,,5,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_16,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_16,True,,XS_50,XS_50,1.0,,signal,signal,,5,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_17,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_17,True,,XS_50,XS_50,1.0,,signal,,,5,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_18,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_18,True,,XS_50,XS_50,1.0,,signal,signal,,5,idle,,,,,,,,,,,,,,,
d_nikke_signal_03_19,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_19,True,,XS_50,XS_50,1.0,,signal,signal,,5,idle,,,,,,,,,,,,,,,
d_nikke_signal_03_20,d_nikke_signal_03,Narration,Locale_NikkeEpisode:d_nikke_signal_03_20,True,CommanderRoom,XS_50,XS_10,1.0,,signal,,,1,idle,,,,,,,,,,,,,,,
d_nikke_signal_03_21,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_21,True,,XS_10,XS_10,1.0,,signal,,,1,idle,,,,,,,,,,,,,,,
d_nikke_signal_03_22,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_22,True,,XS_10,XS_10,1.0,none,signal,signal,,1,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_23,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_23,True,,XS_10,XS_10,1.0,,signal,signal,,1,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_24,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_24,True,,XS_10,XS_10,1.0,,signal,,,1,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_25,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_25,True,,XS_10,XS_10,1.0,bgm_story_shapeofhope,signal,signal,,1,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_26,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_26,True,,XS_10,XS_10,1.0,,signal,signal,,1,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_27,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_27,True,,XS_10,XS_10,1.0,,signal,,,1,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_28,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_28,True,,XS_10,XS_100,2.0,,signal,signal,,1,shy,,,,,,,,,,,,,,,
d_nikke_signal_03_29,d_nikke_signal_03,Narration,Locale_NikkeEpisode:d_nikke_signal_03_29,True,,XS_100,2,0.5,none,signal,,,1,shy,sfx_scn_autodooropen,,,,,,,,,,,,,,
d_nikke_signal_03_30,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_30,True,,2,2,0.5,bgm_story_herecomestrouble,neon,neon,,1,idle,,neon,3,angry,,,,,,,,,,,
d_nikke_signal_03_31,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_31,False,,2,2,1.0,,neon,,,1,idle,,,3,angry,,,,,,,,,,,
d_nikke_signal_03_32,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_32,True,,2,S_30,2.0,,neon,neon,,1,idle,,,3,worry,,,,,,,,,,,
d_nikke_signal_03_33,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_33,True,,XS_10,XS_10,1.0,,signal,signal,,1,idle,,,3,worry,,,,,,,,,,,
d_nikke_signal_03_34,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_34,True,,XS_10,S_30,2.0,,signal,,,1,idle,,,3,worry,,,,,,,,,,,
d_nikke_signal_03_35,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_35,True,,S_30,S_30,1.0,,neon,neon,,1,idle,,,3,no,,,,,,,,,,,
d_nikke_signal_03_36,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_36,True,,S_30,S_300,1.0,,neon,neon,,1,idle,,,3,no,,,,,,,,,,,
d_nikke_signal_03_37,d_nikke_signal_03,Self,Locale_NikkeEpisode:d_nikke_signal_03_37,False,,S_300,S_300,1.0,,neon,,,1,idle,,,3,no,,,,,,,,,,,
d_nikke_signal_03_38,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_38,True,,S_300,S_300,1.0,,signal,signal,,1,idle,,,3,no,,,,,,,,,,,
d_nikke_signal_03_39,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_39,True,,S_300,S_30,1.0,,neon,neon,,1,idle,,,3,angry,,,,,,,,,,,
d_nikke_signal_03_40,d_nikke_signal_03,Speech,Locale_NikkeEpisode:d_nikke_signal_03_40,True,,S_30,S_30,1.0,,neon,neon,,1,idle,,,3,angry,,,,,,,,,,,
