id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,set_filter_01,play_sound,jump_target
d_nikke_noah_05_1,d_nikke_noah_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_noah_05_1,False,Office,7,S_120,3.0,bgm_distress,,,,,,,,,,,,,,,,
d_nikke_noah_05_2,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_2,False,,S_120,S_120,1.0,,noah,noah,12,angry,littlenikke,4,idle,ludmilla,14,idle,,,,,,
d_nikke_noah_05_3,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_3,True,,S_120,13,1.0,,ludmilla,,12,angry,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_4,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_4,True,,13,13,1.0,,ludmilla,,12,angry,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_5,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_5,True,,13,13,1.0,,noah,,12,angry,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_6,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_6,True,,13,13,1.0,,noah,,12,angry,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_7,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_7,True,,13,13,1.0,,noah,,12,angry,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_8,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_8,False,,13,13,1.0,,ludmilla,,12,angry,,4,idle,,14,think,,,,,,
d_nikke_noah_05_9,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_9,True,,13,13,1.0,,noah,,12,angry,,4,idle,,14,think,,,,,,
d_nikke_noah_05_10,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_10,True,,13,13,1.0,,noah,,12,angry,,4,idle,,14,think,,,,,,
d_nikke_noah_05_11,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_11,True,,13,13,1.0,,ludmilla,,12,angry,,4,idle,,14,think,,,,,,
d_nikke_noah_05_12,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_12,True,,13,13,1.0,,ludmilla,,12,angry,,4,idle,,14,think,,,,,,
d_nikke_noah_05_13,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_13,True,,13,13,1.0,,noah,,12,surprise,,4,idle,,14,think,,,,,,
d_nikke_noah_05_14,d_nikke_noah_05,Self,Self,Locale_NikkeEpisode:d_nikke_noah_05_14,False,,13,13,1.0,none,noah,,12,surprise,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_15,d_nikke_noah_05,Speech,littlenikke,Locale_NikkeEpisode:d_nikke_noah_05_15,True,,13,4,2.0,bgm_story_backtonormal,littlenikke,,12,surprise,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_16,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_16,True,,12,S_120,0.5,,noah,,12,surprise,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_17,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_17,True,,S_120,S_120,1.0,,noah,,12,surprise,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_18,d_nikke_noah_05,Self,Self,Locale_NikkeEpisode:d_nikke_noah_05_18,False,,S_120,S_120,1.0,,noah,,12,surprise,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_19,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_19,True,,S_120,S_120,1.0,,noah,,12,surprise,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_20,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_20,True,,S_120,S_120,1.0,,noah,,12,pain,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_21,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_21,True,,S_120,S_120,1.0,,noah,,12,pain,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_22,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_22,True,,S_120,13,1.0,,ludmilla,,12,pain,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_23,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_23,True,,13,13,1.0,,ludmilla,,12,pain,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_24,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_24,True,,13,13,1.0,,noah,,12,shy,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_25,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_25,True,,13,13,1.0,,ludmilla,,12,shy,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_26,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_26,True,,13,13,1.0,,ludmilla,,12,shy,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_27,d_nikke_noah_05,Self,Self,Locale_NikkeEpisode:d_nikke_noah_05_27,False,,13,13,1.0,,ludmilla,,12,shy,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_28,d_nikke_noah_05,Speech,ludmilla,Locale_NikkeEpisode:d_nikke_noah_05_28,True,,13,13,1.0,,ludmilla,,12,shy,,4,idle,,14,idle,,,,,,
d_nikke_noah_05_29,d_nikke_noah_05,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_05_29,True,,13,12,1.0,,noah,,12,shy,,4,idle,,19,idle,,,,,,
d_nikke_noah_05_30,d_nikke_noah_05,Speech,littlenikke,Locale_NikkeEpisode:d_nikke_noah_05_30,True,,12,1,1.0,,littlenikke,,12,shy,,2,idle,,19,idle,ludmilla,,,,,
