id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_nikke_yuni_01_1,d_nikke_yuni_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_1,False,NikkeCorridor,15,150,0.5,sfx_scn_whip,bgm_story_whosdumber,Low_2,,yuni,1,idle,,rapi,13,idle,anis,15,worry,neon,17,idle,mihara,19,idle
d_nikke_yuni_01_2,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_2,True,,150,1500,0.5,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_3,d_nikke_yuni_01,Narration,anis,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_3,False,,17,S_170,0.5,sfx_scn_whip,,Low_2,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_4,d_nikke_yuni_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_01_4,True,,S_170,S_1700,0.5,,,,,,1,idle,,,13,idle,,15,angry,,17,no,,19,idle
d_nikke_yuni_01_5,d_nikke_yuni_01,Narration,neon,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_5,False,,13,130,0.5,sfx_scn_whip,,Low_2,,,1,idle,,,13,idle,,15,angry,,17,no,,19,idle
d_nikke_yuni_01_6,d_nikke_yuni_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yuni_01_6,False,,130,1300,0.5,,,,,,1,idle,,,13,think,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_7,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_7,True,,1300,1500,1.0,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_8,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_8,True,,1500,1500,1.0,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_9,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_9,True,,1500,S_100,1.0,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_10,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_10,True,,S_100,1500,1.0,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_11,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_11,True,,1500,S_10,1.0,,,,,,1,shy,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_12,d_nikke_yuni_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_01_12,True,,17,17,1.0,,,,,,1,shy,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_13,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_13,True,,17,15,1.0,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_14,d_nikke_yuni_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yuni_01_14,True,,15,13,1.0,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_15,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_15,True,,13,1,1.0,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_16,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_16,True,,1,S_10,1.0,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_17,d_nikke_yuni_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_17,False,,S_10,S_10,1.0,sfx_scn_aedcharge,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_18,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_18,True,,S_10,S_100,1.0,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_19,d_nikke_yuni_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_19,False,,15,150,0.5,sfx_scn_whip,,Low_2,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_20,d_nikke_yuni_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_20,False,,150,150,1.0,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_21,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_21,True,,150,1500,0.5,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_22,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_22,True,,1,1,1.0,,,,,,1,shy,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_23,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_23,True,,1,1,1.0,,,,,,1,shy,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_24,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_24,True,,1,S_10,1.0,,,,,,1,shy,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_25,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_25,False,,15,15,1.0,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_26,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_26,True,,15,150,1.0,,,,,,1,idle,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_27,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_27,True,,S_10,S_10,1.0,,,,,,1,surprise,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_28,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_28,True,,150,150,1.0,,,,,,1,surprise,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_29,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_29,True,,S_10,S_10,1.0,,,,,,1,surprise,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_30,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_30,True,,150,150,1.0,,,,,,1,surprise,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_31,d_nikke_yuni_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_01_31,True,,150,150,1.0,,,,,,1,surprise,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_32,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_32,True,,150,150,1.0,,,,,,1,surprise,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_33,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_33,True,,150,1500,0.5,,,,,,1,surprise,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_34,d_nikke_yuni_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_01_34,True,,1500,1500,1.0,,,,,,1,surprise,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_35,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_35,True,,1,1,1.0,,,,,,1,surprise,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_36,d_nikke_yuni_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_36,False,,1,15,0.5,sfx_scn_whip,,Low_2,,,1,think,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_37,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_37,True,,15,15,1.0,,,,,,1,think,,,13,idle,,15,idle,,17,idle,,19,idle
d_nikke_yuni_01_38,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_38,False,,1,S_100,3.0,,,,,,1,think,,,13,idle,,15,idle,,17,idle,,19,idle
d_nikke_yuni_01_39,d_nikke_yuni_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_39,False,,black,black,1.0,sfx_scn_whip,,Low_2,,,1,think,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_40,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_40,True,,15,1500,0.5,,,,,,1,idle,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_41,d_nikke_yuni_01,Speech,yuni,yuni,Locale_NikkeEpisode:d_nikke_yuni_01_41,True,,1500,1,1.0,,,,,,1,shy,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_42,d_nikke_yuni_01,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_yuni_01_42,False,,1,1,1.0,,,,,,9,shy,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_43,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_43,True,,1,15,1.0,,,,,,9,shy,yuni,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_44,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_44,True,,15,15,1.0,,,,,,,,,,13,idle,,15,angry,,17,idle,,19,idle
d_nikke_yuni_01_45,d_nikke_yuni_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_01_45,True,,15,17,1.0,,,,,,,,,,13,idle,,15,angry,,17,no,,19,idle
d_nikke_yuni_01_46,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_46,True,,17,15,1.0,,,,,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_47,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_47,True,,15,15,1.0,,,,,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_48,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_48,True,,15,15,1.0,,,,,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_49,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_49,True,,15,15,1.0,,,,,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_50,d_nikke_yuni_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_yuni_01_50,False,,15,15,1.0,,,,d_nikke_yuni_01_52,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_51,d_nikke_yuni_01,Choice,anis,,Locale_NikkeEpisode:d_nikke_yuni_01_51,False,,15,15,1.0,,,,d_nikke_yuni_01_55,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_52,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_52,True,,15,15,1.0,,,,,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_53,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_53,True,,15,15,1.0,,,,,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_54,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_54,True,,15,15,1.0,,,,d_nikke_yuni_01_56,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_55,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_55,True,,15,15,1.0,,,,d_nikke_yuni_01_56,,,,,,13,idle,,15,worry,,17,idle,,19,idle
d_nikke_yuni_01_56,d_nikke_yuni_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_01_56,True,,15,19,1.0,,,,,,,,,,13,idle,,15,worry,,17,idle,,19,idle
