id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,set_filter_01,characters/0/hide_char_id,set_camera_shake,fade
d_nikke_eunhwa_tactical_05_1,d_nikke_eunhwa_tactical_05,Narration,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_1,False,WasteLand_02_n,black,black,1.0,sfx_scn_flare,bgm_thecalmbeforethestorm,,,,,,,,
d_nikke_eunhwa_tactical_05_2,d_nikke_eunhwa_tactical_05,Monologue,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_2,False,,black,black,1.0,,,,,,,,,,
d_nikke_eunhwa_tactical_05_3,d_nikke_eunhwa_tactical_05,Monologue,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_3,False,,black,black,1.0,,,eunhwa_t,1,idle,,,,,
d_nikke_eunhwa_tactical_05_4,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_4,True,,10,10,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_5,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_5,True,,10,10,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_6,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_6,True,,10,10,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_7,d_nikke_eunhwa_tactical_05,Self,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_7,False,,10,10,1.0,,,,1,idle,,,,,
d_nikke_eunhwa_tactical_05_8,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_8,True,,10,100,1.3,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_9,d_nikke_eunhwa_tactical_05,Self,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_9,False,,100,100,1.0,,,,1,idle,,,,,
d_nikke_eunhwa_tactical_05_10,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_10,True,,100,100,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_11,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_11,True,,100,100,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_12,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_12,True,,100,100,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_13,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_13,True,,100,100,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_14,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_14,True,,100,100,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_15,d_nikke_eunhwa_tactical_05,Speech,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_15,True,,100,10,1.0,,,,1,idle,eunhwa_t,,,,
d_nikke_eunhwa_tactical_05_16,d_nikke_eunhwa_tactical_05,Self,eunhwa_t,Locale_NikkeEpisode:d_nikke_eunhwa_tactical_05_16,False,,10,10,1.0,,,,1,idle,,,,,
