id,group_id,speech_window,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,set_filter_01,jump_target,set_filter_02
d_nikke_alice_03_1,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_1,OuterRim,S_60,S_10,2.0,bgm_recognition_underworld,,,,,,,,,,,,,,,,
d_nikke_alice_03_2,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_2,,S_10,S_10,2.0,,,,,,,,,,,,,,,,,
d_nikke_alice_03_3,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_3,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,
d_nikke_alice_03_4,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_4,,S_10,S_10,1.0,,alice,alice,True,alice,1,surprise,candyman,13,idle,,,,,,,
d_nikke_alice_03_5,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_5,,S_10,S_10,1.0,,alice,alice,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_6,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_6,,S_10,12,1.0,,candyman,candyman,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_7,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_7,,12,12,1.0,,alice,,,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_8,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_8,none,12,12,1.0,,alice,,,,1,idle,,13,idle,alice,candyman,,,,,
d_nikke_alice_03_9,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_9,,black,black,1.0,,alice,,,,,,,,,,,,,,,
d_nikke_alice_03_10,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_10,,black,black,1.0,,alice,,,,,,,,,,,,,,,
d_nikke_alice_03_11,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_11,,black,black,1.0,,alice,,,,,,candyman,16,idle,,candyman,,,,,
d_nikke_alice_03_12,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_12,,black,black,1.0,,alice,,,,,,,,,,,,,,,
d_nikke_alice_03_13,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_13,OuterRim,160,160,1.0,,candyman,candyman,True,,,,candyman,16,idle,,,,,,,
d_nikke_alice_03_14,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_14,,160,160,1.0,,candyman,candyman,True,,,,,16,idle,,,,,,,
d_nikke_alice_03_15,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_15,,160,160,1.0,,candyman,candyman,True,,,,,16,idle,,,,,,,
d_nikke_alice_03_16,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_16,,160,S_10,2.0,,alice,,,alice,1,idle,,16,idle,,,,,,,
d_nikke_alice_03_17,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_17,,S_10,S_10,1.0,,candyman,candyman,True,,1,idle,,16,idle,,,,,,,
d_nikke_alice_03_18,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_18,,S_10,S_10,1.0,,candyman,candyman,True,,1,idle,,16,idle,,,,,,,
d_nikke_alice_03_19,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_19,,S_10,S_10,1.0,,alice,,,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_20,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_20,,S_10,S_10,1.0,,alice,,,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_21,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_21,,S_10,12,1.0,,candyman,candyman,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_22,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_22,,12,12,1.0,,alice,,,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_23,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_23,,12,12,1.0,,alice,alice,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_24,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_24,,12,12,1.0,,candyman,candyman,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_25,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_25,,12,12,1.0,,candyman,candyman,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_26,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_26,,12,12,1.0,,candyman,candyman,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_27,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_27,,12,12,1.0,,candyman,candyman,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_28,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_28,,12,12,1.0,,alice,alice,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_29,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_29,,12,S_10,2.0,,candyman,candyman,True,,1,idle,,13,idle,,candyman,,,,,
d_nikke_alice_03_30,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_30,,S_10,S_100,1.0,,alice,,,,1,idle,,,,,,,,,,
d_nikke_alice_03_31,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_31,,S_100,S_100,1.0,,alice,,,,1,idle,,,,,,,,,,
d_nikke_alice_03_32,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_32,,S_100,S_100,1.0,,alice,candyman,,,1,idle,,,,,,,,,,
d_nikke_alice_03_33,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_33,,S_100,S_100,1.0,,alice,candyman,,,1,idle,,,,,,,,,,
d_nikke_alice_03_34,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_34,,S_100,S_10,0.5,,alice,candyman,,,1,idle,,,,,,,,,,
d_nikke_alice_03_35,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_35,,S_10,1,0.5,,alice,candyman,,,1,idle,,,,,,,,,,
d_nikke_alice_03_36,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_36,,1,S_100,0.5,none,alice,,,,1,idle,,,,,,sfx_scn_swallow,Low_2,,,
d_nikke_alice_03_37,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_37,none,black,black,1.0,,alice,,,,1,idle,,,,alice,,sfx_scn_down,,,,
d_nikke_alice_03_38,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_38,,black,black,1.0,,alice,,,,,,,,,,,sfx_scn_down,,,,
d_nikke_alice_03_39,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_39,,black,black,1.0,,alice,,,,,,,,,,,sfx_scn_down,,,,
d_nikke_alice_03_40,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_40,,black,black,1.0,,alice,,,,,,,,,,,sfx_scn_down,,,,
d_nikke_alice_03_41,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_41,OuterRim,S_10,S_10,1.0,,alice,,,alice,1,surprise,candyman,13,idle,,,,,,,
d_nikke_alice_03_42,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_42,,S_10,12,1.0,,candyman,candyman,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_43,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_43,,12,12,1.0,,alice,alice,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_44,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_44,,12,12,1.0,,candyman,candyman,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_45,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_45,,12,12,1.0,,candyman,candyman,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_46,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_46,,12,12,1.0,,alice,alice,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_47,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_47,,12,12,1.0,,candyman,candyman,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_48,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_48,,12,12,1.0,,candyman,candyman,True,,1,surprise,,13,idle,,,,,,,
d_nikke_alice_03_49,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_49,,12,S_100,2.0,,alice,alice,True,,1,idle,,13,idle,,,,,,,
d_nikke_alice_03_50,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_50,none,S_100,S_100,1.0,,alice,,,,1,idle,,13,idle,alice,candyman,,,,,
d_nikke_alice_03_51,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_51,,S_100,S_100,1.0,,alice,,,,,,,,,,,,,Grey,,
d_nikke_alice_03_52,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_52,Cafe,S_100,S_10,1.0,bgm_story_orangepop,alice,,,alice,1,idle,,,,,,sfx_scn_chimebell,,Grey,,
d_nikke_alice_03_53,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_53,,S_10,S_10,1.0,,alice,employee,,,1,idle,,,,,,,,Grey,,
d_nikke_alice_03_54,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_54,,S_10,S_10,1.0,,alice,employee,,,1,idle,,,,,,,,Grey,,
d_nikke_alice_03_55,d_nikke_alice_03,Speech,Locale_NikkeEpisode:d_nikke_alice_03_55,,S_10,S_10,1.0,,alice,employee,,,1,idle,,,,,,,,Grey,,
d_nikke_alice_03_56,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_56,,S_10,S_10,1.0,,alice,,,,1,idle,,,,,,,,Grey,,
d_nikke_alice_03_57,d_nikke_alice_03,Narration,Locale_NikkeEpisode:d_nikke_alice_03_57,,S_10,S_10,1.0,,alice,,,,1,idle,,,,,,,,Grey,,
