id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce_02_01_05_1,d_nikke_ce_02_01_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_05_1,True,RuinIndoor,13,130,1.0,event_bgm_ce002_story_2,,,ce_02_01,1,idle,rapi,13,idle
d_nikke_ce_02_01_05_2,d_nikke_ce_02_01_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_05_2,True,,130,130,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_3,d_nikke_ce_02_01_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce_02_01_05_3,True,,130,130,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_4,d_nikke_ce_02_01_05,Speech,ce_02_01,ce_02_01,Locale_NikkeEpisode:d_nikke_ce_02_01_05_4,False,,130,113,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_5,d_nikke_ce_02_01_05,Speech,ce_02_01,ce_02_01,Locale_NikkeEpisode:d_nikke_ce_02_01_05_5,True,,113,113,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_6,d_nikke_ce_02_01_05,Monologue,,,Locale_NikkeEpisode:d_nikke_ce_02_01_05_6,False,,113,17,2.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_7,d_nikke_ce_02_01_05,Monologue,,,Locale_NikkeEpisode:d_nikke_ce_02_01_05_7,False,,17,17,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_8,d_nikke_ce_02_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_05_8,False,,17,170,1.0,,sfx_scn_windowclack,,,1,idle,,13,idle
d_nikke_ce_02_01_05_9,d_nikke_ce_02_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_05_9,False,,170,170,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_10,d_nikke_ce_02_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_05_10,False,,170,170,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_11,d_nikke_ce_02_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_05_11,False,,170,17,1.0,,sfx_scn_windowclack,,,1,idle,,13,idle
d_nikke_ce_02_01_05_12,d_nikke_ce_02_01_05,Narration,,,Locale_NikkeEpisode:d_nikke_ce_02_01_05_12,False,,17,17,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_13,d_nikke_ce_02_01_05,Speech,radio,radio,Locale_NikkeEpisode:d_nikke_ce_02_01_05_13,True,,17,1700,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_14,d_nikke_ce_02_01_05,Speech,radio,radio,Locale_NikkeEpisode:d_nikke_ce_02_01_05_14,True,,1700,1700,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_15,d_nikke_ce_02_01_05,Speech,radio,radio,Locale_NikkeEpisode:d_nikke_ce_02_01_05_15,True,,1700,1700,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_16,d_nikke_ce_02_01_05,Speech,radio,radio,Locale_NikkeEpisode:d_nikke_ce_02_01_05_16,True,,1700,1700,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_17,d_nikke_ce_02_01_05,Speech,radio,radio,Locale_NikkeEpisode:d_nikke_ce_02_01_05_17,True,,1700,1700,1.0,,,,,1,idle,,13,idle
d_nikke_ce_02_01_05_18,d_nikke_ce_02_01_05,Speech,radio,radio,Locale_NikkeEpisode:d_nikke_ce_02_01_05_18,True,,1700,170,1.0,,,,,1,idle,,13,idle
