id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_camera_shake,characters/0/hide_char_id,jump_target,characters/1/hide_char_id,set_filter_01,set_filter_02
d_nikke_sakura_02_1,d_nikke_sakura_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_02_1,False,none,1,1,1.0,none,,,,,,,,,,,,,,,,
d_nikke_sakura_02_2,d_nikke_sakura_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_02_2,False,TatamiRoom,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_sakura_02_3,d_nikke_sakura_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_02_3,False,,1,19,1.0,,,,,,,,,,,,,,,,,
d_nikke_sakura_02_4,d_nikke_sakura_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_02_4,False,,2,2,1.0,,black,,,,,,,,,,,,,,,
d_nikke_sakura_02_5,d_nikke_sakura_02,Monologue,Locale_NikkeEpisode:d_nikke_sakura_02_5,False,,2,2,1.0,,,,,,,,,,,,,,,,,
d_nikke_sakura_02_6,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_6,True,,2,2,1.0,bgm_story_fairytalesend_if,,genzou,genzou,genzou,3,"expression_0,idle",sakura,1,idle,,,,,,,
d_nikke_sakura_02_7,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_7,True,,2,2,1.0,,,sakura,sakura,,3,idle,,1,idle,,,,,,,
d_nikke_sakura_02_8,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_8,False,,2,L_30,1.0,,,genzou,genzou,,3,idle,,1,idle,,,,,,,
d_nikke_sakura_02_9,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_9,True,,L_30,L_30,1.0,,,genzou,genzou,,3,idle,,1,idle,,,,,,,
d_nikke_sakura_02_10,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_10,True,,L_30,L_30,1.0,,,genzou,genzou,,3,idle,,1,idle,,,,,,,
d_nikke_sakura_02_11,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_11,True,,L_30,L_30,1.0,,,genzou,genzou,,3,idle,,1,idle,,,,,,,
d_nikke_sakura_02_12,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_12,True,,L_30,L_30,1.0,,,genzou,genzou,,3,idle,,1,idle,,,,,,,
d_nikke_sakura_02_13,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_13,True,,L_30,10,1.0,,,sakura,sakura,,3,idle,,1,angry,,,,,,,
d_nikke_sakura_02_14,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_14,True,,10,10,1.0,,,sakura,sakura,,3,idle,,1,angry,,,,,,,
d_nikke_sakura_02_15,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_15,True,,10,10,1.0,,,sakura,sakura,,3,idle,,1,angry,,,,,,,
d_nikke_sakura_02_16,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_16,True,,10,10,1.0,,,sakura,sakura,,3,idle,,1,angry,,,,,,,
d_nikke_sakura_02_17,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_17,True,,10,10,1.0,,,sakura,sakura,,3,idle,,1,angry,,,,,,,
d_nikke_sakura_02_18,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_18,True,,10,100,1.5,none,,sakura,sakura,,3,idle,,1,idle,,,,,,,
d_nikke_sakura_02_19,d_nikke_sakura_02,Speech,Locale_NikkeEpisode:d_nikke_sakura_02_19,False,,3,3,1.0,,,genzou,genzou,,3,idle,,1,idle,,,,,,,
