id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,set_camera_shake,play_sound,fade,characters/0/hide_char_id
d_nikke_dorothy_03_1,d_nikke_dorothy_03,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_1,False,dorothy,1,think,Desert_05,15,1,2.0,bgm_volcanicnest,,,,,
d_nikke_dorothy_03_2,d_nikke_dorothy_03,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_2,False,,1,think,,1,1,1.0,,,,,,
d_nikke_dorothy_03_3,d_nikke_dorothy_03,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_3,True,,1,think,,1,10,2.0,,dorothy,,,,
d_nikke_dorothy_03_4,d_nikke_dorothy_03,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_4,False,,1,think,,10,10,1.0,,,,,,
d_nikke_dorothy_03_5,d_nikke_dorothy_03,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_5,True,,1,worry,,10,10,1.0,,dorothy,,,,
d_nikke_dorothy_03_6,d_nikke_dorothy_03,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_6,True,,1,worry,,10,10,1.0,,dorothy,,,,
d_nikke_dorothy_03_7,d_nikke_dorothy_03,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_7,False,,1,worry,,10,10,1.0,,,,,,
d_nikke_dorothy_03_8,d_nikke_dorothy_03,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_8,False,,1,think,,10,30,2.0,,,,,,
d_nikke_dorothy_03_9,d_nikke_dorothy_03,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_9,False,,1,think,,black,black,1.0,,,,,,
d_nikke_dorothy_03_10,d_nikke_dorothy_03,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_10,False,,1,think,,black,black,1.0,,,,,,
d_nikke_dorothy_03_11,d_nikke_dorothy_03,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_11,False,,1,think,,10,10,1.0,,,,,,
d_nikke_dorothy_03_12,d_nikke_dorothy_03,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_12,True,,1,worry,,10,10,1.0,,dorothy,,,,
d_nikke_dorothy_03_13,d_nikke_dorothy_03,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_13,False,,1,think,,10,100,2.0,,,,,,
d_nikke_dorothy_03_14,d_nikke_dorothy_03,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_14,False,,1,think,,100,100,1.0,,,,,,
d_nikke_dorothy_03_15,d_nikke_dorothy_03,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_15,False,,1,think,,100,100,1.0,,,,,,
d_nikke_dorothy_03_16,d_nikke_dorothy_03,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_03_16,False,,1,think,,100,100,1.0,,,,,,
