id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id
d_nikke_ce006_01_03_1,d_nikke_ce006_01_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_03_1,True,ce006_03,17,no,ce006_npc_01,15,idle,ce006_01,1,idle,roam,13,idle,rapi,3,idle,anis,7,void,neon,5,idle,artcity_d,6,6,1.0,bgm_chapter38_field_goldentree,
d_nikke_ce006_01_03_2,d_nikke_ce006_01_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_ce006_01_03_2,True,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,6,6,1.0,,
d_nikke_ce006_01_03_3,d_nikke_ce006_01_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_ce006_01_03_3,True,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,6,6,1.0,,
d_nikke_ce006_01_03_4,d_nikke_ce006_01_03,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_03_4,True,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,2,2,1.0,,
d_nikke_ce006_01_03_5,d_nikke_ce006_01_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_ce006_01_03_5,True,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,2,2,1.0,,
d_nikke_ce006_01_03_6,d_nikke_ce006_01_03,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_03_6,True,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,2,2,1.0,,
d_nikke_ce006_01_03_7,d_nikke_ce006_01_03,Self,ce006_01,,Locale_NikkeEpisode:d_nikke_ce006_01_03_7,False,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,2,2,1.0,,
d_nikke_ce006_01_03_8,d_nikke_ce006_01_03,Self,ce006_01,,Locale_NikkeEpisode:d_nikke_ce006_01_03_8,False,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,2,2,1.0,,
d_nikke_ce006_01_03_9,d_nikke_ce006_01_03,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_03_9,True,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,2,2,1.0,,
d_nikke_ce006_01_03_10,d_nikke_ce006_01_03,Speech,ce006_01,ce006_01,Locale_NikkeEpisode:d_nikke_ce006_01_03_10,True,,17,no,,15,idle,,1,idle,,13,idle,,3,idle,,7,void,,5,idle,,2,2,1.0,,
