id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/2/hide_char_id,fade,set_filter_01,characters/0/hide_char_id,set_camera_shake
d_nikke_naga_02_1,d_nikke_naga_02,Narration,Locale_NikkeEpisode:d_nikke_naga_02_1,False,tia,5,idle,naga,1,idle,marciana,15,idle,Classroom_e,15,15,1.0,sfx_scn_schoolbell,bgm_story_leisuretime,,,,,,,
d_nikke_naga_02_2,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_2,True,,5,idle,,1,idle,,15,idle,,15,150,1.0,,,marciana,marciana,,,,,
d_nikke_naga_02_3,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_3,True,,5,idle,,1,idle,,15,idle,,50,50,1.0,,,tia,tia,,,,,
d_nikke_naga_02_4,d_nikke_naga_02,Narration,Locale_NikkeEpisode:d_nikke_naga_02_4,False,,3,idle,,1,idle,,15,idle,,50,2,1.0,,,,,,,,,
d_nikke_naga_02_5,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_5,True,,3,idle,,1,pain_01,,15,idle,,2,2,1.0,,,naga,naga,,,,,
d_nikke_naga_02_6,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_6,True,,3,delight,,1,pain_01,,15,idle,,2,2,1.0,,,tia,tia,,,,,
d_nikke_naga_02_7,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_7,True,,3,delight,,1,pain_01,,15,idle,,2,2,1.0,,,tia,tia,,,,,
d_nikke_naga_02_8,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_8,True,,3,idle,,1,idle,,15,idle,,150,150,1.0,,,marciana,marciana,,,,,
d_nikke_naga_02_9,d_nikke_naga_02,Narration,Locale_NikkeEpisode:d_nikke_naga_02_9,False,,3,idle,,1,idle,,15,idle,,150,150,1.0,,none,,,,,,,
d_nikke_naga_02_10,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_10,True,,3,idle,,1,idle,,15,idle,,150,150,1.0,,,marciana,marciana,,,,,
d_nikke_naga_02_11,d_nikke_naga_02,Narration,Locale_NikkeEpisode:d_nikke_naga_02_11,False,,3,idle,,1,idle,,15,idle,,150,15,1.0,,,,,marciana,,,,
d_nikke_naga_02_12,d_nikke_naga_02,Narration,Locale_NikkeEpisode:d_nikke_naga_02_12,False,,3,idle,,1,idle,,,,,2,2,1.0,,,,,,,,,
d_nikke_naga_02_13,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_13,True,,3,worry,,1,idle,,,,,2,2,1.0,,,tia,tia,,,,,
d_nikke_naga_02_14,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_14,False,,3,worry,,1,idle,,,,,2,10,1.0,,,naga,naga,,,,,
d_nikke_naga_02_15,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_15,True,,3,worry,,1,idle,,,,,10,10,1.0,,,naga,naga,,,,,
d_nikke_naga_02_16,d_nikke_naga_02,Narration,Locale_NikkeEpisode:d_nikke_naga_02_16,False,,3,idle,,1,idle,,,,Park,black,black,1.0,,,,,,,,,
d_nikke_naga_02_17,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_17,True,,3,idle,,1,idle,,,,,2,2,1.0,,bgm_story_leisuretime,tia,tia,,,,,
d_nikke_naga_02_18,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_18,False,,3,idle,,1,idle,,,,,2,2,1.0,,,naga,naga,,,,,
d_nikke_naga_02_19,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_19,True,,3,idle,,1,idle,,,,,2,30,1.0,,,tia,tia,,,,,
d_nikke_naga_02_20,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_20,False,,3,idle,,1,idle,,,,,10,10,1.0,,,naga,naga,,,,,
d_nikke_naga_02_21,d_nikke_naga_02,Speech,Locale_NikkeEpisode:d_nikke_naga_02_21,True,,3,idle,,1,idle,,,,,30,300,1.0,,,tia,tia,,,,,
