id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade,characters/0/hide_char_id,set_filter_01,jump_target,conversation_id,play_sound,set_camera_shake
d_nikke_epinel_02_1,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_1,True,mary,1,idle,Hospital_n,1,1,1.0,bgm_story_backtonormal,,,,,,,,,,,
d_nikke_epinel_02_2,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_2,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_3,d_nikke_epinel_02,Self,mary,Self,Locale_NikkeEpisode:d_nikke_epinel_02_3,False,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_4,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_4,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_5,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_5,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_6,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_6,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_7,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_7,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_8,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_8,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_9,d_nikke_epinel_02,Self,mary,Self,Locale_NikkeEpisode:d_nikke_epinel_02_9,False,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_10,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_10,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_11,d_nikke_epinel_02,Self,mary,Self,Locale_NikkeEpisode:d_nikke_epinel_02_11,False,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_12,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_12,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_13,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_13,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_14,d_nikke_epinel_02,Speech,mary,mary,Locale_NikkeEpisode:d_nikke_epinel_02_14,True,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_epinel_02_15,d_nikke_epinel_02,Narration,,Narration,Locale_NikkeEpisode:d_nikke_epinel_02_15,False,,1,idle,,1,1,1.0,,epinel,1,idle,mary,black,,,,,,
d_nikke_epinel_02_16,d_nikke_epinel_02,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_epinel_02_16,False,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_17,d_nikke_epinel_02,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_epinel_02_17,False,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_18,d_nikke_epinel_02,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_epinel_02_18,False,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_19,d_nikke_epinel_02,Speech,adultman,citizen,Locale_NikkeEpisode:d_nikke_epinel_02_19,True,adultman,1,idle,City,1,1,1.0,,,1,idle,,,epinel,Grey,,,,
d_nikke_epinel_02_20,d_nikke_epinel_02,Speech,adultman,citizen,Locale_NikkeEpisode:d_nikke_epinel_02_20,True,,1,idle,,1,1,1.0,,,,,,,,Grey,,,,
d_nikke_epinel_02_21,d_nikke_epinel_02,Speech,adultman,citizen,Locale_NikkeEpisode:d_nikke_epinel_02_21,True,,1,idle,,1,1,1.0,,,,,,,,Grey,,,,
d_nikke_epinel_02_22,d_nikke_epinel_02,Speech,adultman,citizen,Locale_NikkeEpisode:d_nikke_epinel_02_22,True,,1,idle,,1,1,1.0,,,,,,,,Grey,,,,
d_nikke_epinel_02_23,d_nikke_epinel_02,Speech,adultman,citizen,Locale_NikkeEpisode:d_nikke_epinel_02_23,True,,1,idle,,1,1,1.0,,,,,,,,Grey,,,,
d_nikke_epinel_02_24,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_24,False,,1,idle,Hospital_n,1,1,1.0,,epinel,1,pain,adultman,,,,,,,
d_nikke_epinel_02_25,d_nikke_epinel_02,Choice,epinel,,Locale_NikkeEpisode:d_nikke_epinel_02_25,False,,,,,1,1,1.0,,,1,pain,,,,,d_nikke_epinel_02_27,,,
d_nikke_epinel_02_26,d_nikke_epinel_02,Choice,epinel,,Locale_NikkeEpisode:d_nikke_epinel_02_26,False,,,,,1,1,1.0,,,1,pain,,,,,d_nikke_epinel_02_27,,,
d_nikke_epinel_02_27,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_27,True,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_28,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_28,True,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_29,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_29,True,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_30,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_30,True,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_31,d_nikke_epinel_02,Self,epinel,Self,Locale_NikkeEpisode:d_nikke_epinel_02_31,False,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_32,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_32,True,,,,,1,1,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_33,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_33,True,,,,,1,XS_10,1.0,,,1,delight,,,,,,,,
d_nikke_epinel_02_34,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_34,True,,,,,XS_10,XS_10,1.0,,,1,think,,,,,,,,
d_nikke_epinel_02_35,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_35,True,,,,,XS_10,XS_10,1.0,,,1,think,,,,,,,,
d_nikke_epinel_02_36,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_36,False,,,,,XS_10,XS_10,1.0,,,1,think,,,,,,,,
d_nikke_epinel_02_37,d_nikke_epinel_02,Choice,epinel,,Locale_NikkeEpisode:d_nikke_epinel_02_37,False,,,,,XS_10,XS_10,1.0,,,1,think,,,,,d_nikke_epinel_02_39,,,
d_nikke_epinel_02_38,d_nikke_epinel_02,Choice,epinel,,Locale_NikkeEpisode:d_nikke_epinel_02_38,False,,,,,XS_10,XS_10,1.0,,,1,think,,,,,d_nikke_epinel_02_41,,,
d_nikke_epinel_02_39,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_39,True,,,,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_40,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_40,True,,,,,XS_10,XS_10,1.0,,,1,idle,,,,,d_nikke_epinel_02_46,,,
d_nikke_epinel_02_41,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_41,True,,,,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_42,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_42,True,,,,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_43,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_43,True,,,,,XS_10,XS_10,1.0,,,1,idle,,,,,,,,
d_nikke_epinel_02_44,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_44,False,,,,,XS_10,XS_10,1.0,,,1,pain,,,,,,,,
d_nikke_epinel_02_45,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_45,True,,,,,XS_10,XS_10,1.0,,,1,pain,,,,,,,,
d_nikke_epinel_02_46,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_46,True,,,,,XS_10,XS_10,1.0,,,1,pain,,,,,,,,
d_nikke_epinel_02_47,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_47,True,,,,,XS_10,XS_10,1.0,,,1,pain,,,,,,,,
d_nikke_epinel_02_48,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_48,True,,,,,XS_10,XS_10,1.0,,,1,pain,,,,,,,,
d_nikke_epinel_02_49,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_49,False,,,,,XS_10,XS_10,1.0,,,1,pain,,,,,,,,
d_nikke_epinel_02_50,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_50,True,,,,,XS_10,XS_10,1.0,,,1,pain,,,,,,,,
d_nikke_epinel_02_51,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_51,True,,,,,XS_10,XS_10,1.0,,,1,delight,,,,,,,,
d_nikke_epinel_02_52,d_nikke_epinel_02,Speech,epinel,epinel,Locale_NikkeEpisode:d_nikke_epinel_02_52,True,,,,,XS_10,XS_10,1.0,,,1,delight,,,,,,,,
