id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce004_01_01_1,d_nikke_ce004_01_01,Narration,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_1,False,SimulationRoom,1,1,1.0,sfx_scn_1shot,bgm_story_armageddon,,,ce004_01,12,go,,zwei,2,angry
d_nikke_ce004_01_01_2,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_2,True,,1,1,1.0,,,ce004_01,,,12,go,,,2,angry
d_nikke_ce004_01_01_3,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_3,True,,1,1,1.0,,,zwei,,,12,go,,,2,angry
d_nikke_ce004_01_01_4,d_nikke_ce004_01_01,Narration,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_4,False,,black,black,1.0,sfx_scn_explosionnear,,,,,12,go,,,2,idle
d_nikke_ce004_01_01_5,d_nikke_ce004_01_01,Narration,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_5,False,,1,1,1.0,sfx_scn_scorebeep,none,,,,12,idle,,,2,idle
d_nikke_ce004_01_01_6,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_6,True,,1,1,1.0,,bgm_story_orangepop,zwei,,,12,idle,,,2,idle
d_nikke_ce004_01_01_7,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_7,True,,1,1,1.0,,,ce004_01,,,12,idle,,,2,idle
d_nikke_ce004_01_01_8,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_8,True,,1,1,1.0,,,ce004_01,,,12,idle,,,2,idle
d_nikke_ce004_01_01_9,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_9,True,,1,1,1.0,,,ce004_01,,,12,idle,,,2,idle
d_nikke_ce004_01_01_10,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_10,True,,1,1,1.0,,,zwei,,,12,idle,,,2,idle
d_nikke_ce004_01_01_11,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_11,True,,1,1,1.0,,,zwei,,,12,idle,,,2,idle
d_nikke_ce004_01_01_12,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_12,True,,1,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_13,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_13,True,,120,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_14,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_14,True,,120,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_15,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_15,True,,120,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_16,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_16,True,,120,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_17,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_17,True,,120,1,1.0,,,zwei,,,12,angry,,,2,idle
d_nikke_ce004_01_01_18,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_18,True,,1,1,1.0,,,zwei,,,12,angry,,,2,idle
d_nikke_ce004_01_01_19,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_19,True,,1,120,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_20,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_20,True,,120,1200,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_21,d_nikke_ce004_01_01,Speech,ce004_01,Locale_NikkeEpisode:d_nikke_ce004_01_01_21,True,,1200,1200,1.0,,,ce004_01,,,12,angry,,,2,idle
d_nikke_ce004_01_01_22,d_nikke_ce004_01_01,Speech,zwei,Locale_NikkeEpisode:d_nikke_ce004_01_01_22,True,,1200,1,1.0,,,zwei,,,12,angry,,,2,idle
