id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/1/hide_char_id,play_sound,fade,set_camera_shake,jump_target
d_nikke_marian_p_05_1,d_nikke_marian_p_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_05_1,True,neon,7,idle,modenia,5,idle,anis,3,angry,rapi,1,idle,NikkeRoom,30,300,0.2,bgm_story_whosdumber,,,,,,
d_nikke_marian_p_05_2,d_nikke_marian_p_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_05_2,True,,7,idle,,5,idle,,3,angry,,1,idle,,300,300,1.0,,,,,,,
d_nikke_marian_p_05_3,d_nikke_marian_p_05,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_05_3,False,,7,idle,,5,surprise,,3,angry,,1,idle,,500,500,1.0,,,,,,,
d_nikke_marian_p_05_4,d_nikke_marian_p_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_05_4,True,,7,surprise,,5,surprise,,3,angry,,1,idle,,S_70,S_70,1.0,,,,,,,
d_nikke_marian_p_05_5,d_nikke_marian_p_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_05_5,True,,7,surprise,,5,surprise,,3,angry,,1,idle,,53,53,1.0,,,,,,,
d_nikke_marian_p_05_6,d_nikke_marian_p_05,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_05_6,False,,7,worry,,5,idle,,3,angry,,1,idle,,53,53,1.0,,,,,,,
d_nikke_marian_p_05_7,d_nikke_marian_p_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_05_7,True,,7,worry,,5,idle,,3,angry,,1,idle,,S_70,S_70,1.0,,,,,,,
d_nikke_marian_p_05_8,d_nikke_marian_p_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_05_8,True,,7,worry,,5,idle,,3,angry,,1,idle,,30,30,1.0,,,,,,,
d_nikke_marian_p_05_9,d_nikke_marian_p_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_05_9,True,,7,no,,5,idle,,3,angry,,1,idle,,S_70,S_70,1.0,,,,,,,
d_nikke_marian_p_05_10,d_nikke_marian_p_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_05_10,True,,7,no,,5,idle,,3,angry,,1,idle,,30,30,1.0,,,,,,,
d_nikke_marian_p_05_11,d_nikke_marian_p_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_05_11,True,,7,no,,5,idle,,3,angry,,1,no,,10,10,1.0,,,,,,,
d_nikke_marian_p_05_12,d_nikke_marian_p_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_05_12,False,,7,no,,5,idle,,3,angry,,1,no,,10,30,1.0,,,,,,,
d_nikke_marian_p_05_13,d_nikke_marian_p_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_05_13,True,,7,no,,5,idle,,3,void,,1,idle,,30,30,1.0,,,,,,,
d_nikke_marian_p_05_14,d_nikke_marian_p_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_05_14,True,,7,no,,5,idle,,3,void,,1,idle,,75,75,1.0,,,,,,,
d_nikke_marian_p_05_15,d_nikke_marian_p_05,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_05_15,False,,7,idle,,5,pain,,3,void,,1,idle,,75,75,1.0,,,,,,,
d_nikke_marian_p_05_16,d_nikke_marian_p_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_05_16,True,,7,surprise,,5,pain,,3,void,,1,idle,,75,75,1.0,,,,,,,
