id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_cinderella_01_1,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_1,True,CountryVillage_d,3,3,1.0,none,,cinderella,3,idle,,,,,,,,,
d_nikke_cinderella_01_2,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_2,True,,3,S_30,1.0,bgm_story_backtonormal,,,3,idle,,,,,,,,,
d_nikke_cinderella_01_3,d_nikke_cinderella_01,Self,,Self,Locale_NikkeEpisode:d_nikke_cinderella_01_3,False,,S_30,S_30,1.0,,,,3,idle,,,,,,,,,
d_nikke_cinderella_01_4,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_4,True,,S_30,S_30,1.0,,,,3,idle,,,,,,,,,
d_nikke_cinderella_01_5,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_5,True,,S_30,S_30,1.0,,,,3,idle,,,,,,,,,
d_nikke_cinderella_01_6,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_6,True,,S_30,S_30,1.0,,,,3,idle,,,,,,,,,
d_nikke_cinderella_01_7,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_7,True,,S_30,S_30,1.0,,,,3,idle,,,,,,,,,
d_nikke_cinderella_01_8,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_8,True,,S_30,S_30,1.0,,,,3,idle,,,,,,,,,
d_nikke_cinderella_01_9,d_nikke_cinderella_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_cinderella_01_9,True,,S_30,S_50,1.0,,,,3,idle,neon,5,surprise,anis,7,void,rapi,1,idle
d_nikke_cinderella_01_10,d_nikke_cinderella_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_cinderella_01_10,True,,S_50,70,1.0,,,,3,idle,,5,surprise,,7,void,,1,idle
d_nikke_cinderella_01_11,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_11,True,,S_30,S_30,1.0,,,,3,idle,,5,surprise,,7,void,,1,idle
d_nikke_cinderella_01_12,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_12,True,,S_30,S_30,1.0,,,,3,delight,,5,idle,,7,void,,1,idle
d_nikke_cinderella_01_13,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_13,True,,S_30,S_30,1.0,,,,3,delight,,5,idle,,7,idle,,1,idle
d_nikke_cinderella_01_14,d_nikke_cinderella_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_cinderella_01_14,True,,70,70,1.0,,,,3,delight,,5,idle,,7,no,,1,idle
d_nikke_cinderella_01_15,d_nikke_cinderella_01,Speech,cinderella,cinderella,Locale_NikkeEpisode:d_nikke_cinderella_01_15,True,,S_30,S_30,1.0,,,,3,idle,,5,idle,,7,no,,1,idle
