id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade,play_sound
d_nikke_rouge_03_1,d_nikke_rouge_03,Self,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_1,False,blanc,2,idle,noir,12,idle,GoodOffice,1,1,1.0,bgm_story_fairytalesend_if,,,,,,,,
d_nikke_rouge_03_2,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_2,True,,2,idle,,12,idle,,1,1,1.0,,blanc,,,,,,,
d_nikke_rouge_03_3,d_nikke_rouge_03,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_03_3,True,,2,idle,,12,idle,,1,1,1.0,,noir,,,,,,,
d_nikke_rouge_03_4,d_nikke_rouge_03,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_03_4,True,,2,idle,,12,idle,,1,1,1.0,,noir,,,,,,,
d_nikke_rouge_03_5,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_5,False,,2,idle,,12,idle,,1,1,1.0,,,,,,,,,
d_nikke_rouge_03_6,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_6,False,,2,idle,,12,idle,,1,1,1.0,,,,,,,,,
d_nikke_rouge_03_7,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_7,True,,2,idle,,12,idle,,1,1,1.0,,blanc,,,,,,,
d_nikke_rouge_03_8,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_8,True,,2,idle,,12,idle,,1,1,1.0,,blanc,,,,,,,
d_nikke_rouge_03_9,d_nikke_rouge_03,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_03_9,True,,2,idle,,12,idle,,1,1,1.0,,noir,,,,,,,
d_nikke_rouge_03_10,d_nikke_rouge_03,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_03_10,True,,2,idle,,12,idle,,1,1,1.0,,noir,,,,,,,
d_nikke_rouge_03_11,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_11,False,,2,idle,,12,idle,,1,1,1.0,,,,,,,,,
d_nikke_rouge_03_12,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_12,True,,2,think,,12,idle,,1,1,1.0,,blanc,,,,,,,
d_nikke_rouge_03_13,d_nikke_rouge_03,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_03_13,False,,2,think,,12,surprise,,1,1,1.0,,noir,,,,,,,
d_nikke_rouge_03_14,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_14,False,,2,think,,12,surprise,,1,1,1.0,,,,,,,,,
d_nikke_rouge_03_15,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_15,False,,2,think,,12,surprise,,1,1,1.0,,,,,,,,,
d_nikke_rouge_03_16,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_16,True,,2,think,,12,surprise,,1,L_20,1.0,,blanc,,,,,,,
d_nikke_rouge_03_17,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_17,True,,2,think,,12,surprise,,L_20,L_20,1.0,,blanc,,,,,,,
d_nikke_rouge_03_18,d_nikke_rouge_03,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_03_18,True,,2,think,,12,surprise,,L_20,L_120,1.0,,noir,,,,,,,
d_nikke_rouge_03_19,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_19,False,,2,think,,12,surprise,,L_120,L_120,1.0,,,,,,,,,
d_nikke_rouge_03_20,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_20,False,,2,think,,12,surprise,,L_120,L_120,1.0,,,,,,,,,
d_nikke_rouge_03_21,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_21,True,,2,think,,12,surprise,,L_120,1,1.0,,blanc,,,,,,,
d_nikke_rouge_03_22,d_nikke_rouge_03,Speech,noir,Locale_NikkeEpisode:d_nikke_rouge_03_22,True,,2,think,,12,surprise,,1,1,1.0,,noir,,,,,,,
d_nikke_rouge_03_23,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_23,False,,2,think,,12,surprise,,1,1,1.0,,,,,,,,,
d_nikke_rouge_03_24,d_nikke_rouge_03,Self,noir,Locale_NikkeEpisode:d_nikke_rouge_03_24,False,,2,think,,12,surprise,,1,1,1.0,,,,,,,,,
d_nikke_rouge_03_25,d_nikke_rouge_03,Speech,blanc,Locale_NikkeEpisode:d_nikke_rouge_03_25,False,,2,think,,12,surprise,,1,1,1.0,,blanc,,,,,,,
