id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,highlight,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id
d_nikke_isabel_04_1,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_1,False,ArkRuinIndoor,1,1,1.0,bgm_recognition_underworld,,,,,,,,,,
d_nikke_isabel_04_2,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_2,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_3,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_3,False,,1,1,1.0,,sfx_scn_distantshot,Low_2,,,,,,,,
d_nikke_isabel_04_4,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_4,False,,1,1,1.0,,sfx_scn_distantexplosion,Low_2,,,,,,,,
d_nikke_isabel_04_5,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_5,False,,1,1,1.0,,sfx_scn_distantshots,Low_2,,,,,,,,
d_nikke_isabel_04_6,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_6,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_7,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_7,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_8,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_8,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_9,d_nikke_isabel_04,Self,Self,Locale_NikkeEpisode:d_nikke_isabel_04_9,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_10,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_10,False,,1,1,1.0,,sfx_scn_distantshots,Low_2,,,,,,,,
d_nikke_isabel_04_11,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_11,False,,1,1,1.0,,sfx_scn_distantshot,Low_2,,,,,,,,
d_nikke_isabel_04_12,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_12,False,,1,1,1.0,,sfx_scn_distantexplosion,Low_2,,,,,,,,
d_nikke_isabel_04_13,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_13,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_14,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_14,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_15,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_15,False,Elevator,18,18,1.0,,,,black,,,,,,,
d_nikke_isabel_04_16,d_nikke_isabel_04,Speech,machinesound,Locale_NikkeEpisode:d_nikke_isabel_04_16,True,,18,18,1.0,,,,,machinesound,,,,,,
d_nikke_isabel_04_17,d_nikke_isabel_04,Choice,,Locale_NikkeEpisode:d_nikke_isabel_04_17,False,,18,18,1.0,,,,,,d_nikke_isabel_04_19,,,,,
d_nikke_isabel_04_18,d_nikke_isabel_04,Choice,,Locale_NikkeEpisode:d_nikke_isabel_04_18,False,,18,18,1.0,,,,,,d_nikke_isabel_04_22,,,,,
d_nikke_isabel_04_19,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_19,False,,18,18,1.0,,,,,,,,,,,
d_nikke_isabel_04_20,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_20,False,,18,18,1.0,,,,,,,,,,,
d_nikke_isabel_04_21,d_nikke_isabel_04,Self,Self,Locale_NikkeEpisode:d_nikke_isabel_04_21,False,,18,18,1.0,,,,,,,,,,,
d_nikke_isabel_04_22,d_nikke_isabel_04,Speech,machinesound,Locale_NikkeEpisode:d_nikke_isabel_04_22,True,,18,18,1.0,,,,,machinesound,,,,,,
d_nikke_isabel_04_23,d_nikke_isabel_04,Speech,machinesound,Locale_NikkeEpisode:d_nikke_isabel_04_23,True,,18,18,1.0,,,,,machinesound,,,,,,
d_nikke_isabel_04_24,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_24,False,,18,18,1.0,,,,,,,,,,,
d_nikke_isabel_04_25,d_nikke_isabel_04,Choice,,Locale_NikkeEpisode:d_nikke_isabel_04_25,False,,18,18,1.0,,,,,,d_nikke_isabel_04_27,,,,,
d_nikke_isabel_04_26,d_nikke_isabel_04,Choice,,Locale_NikkeEpisode:d_nikke_isabel_04_26,False,,18,18,1.0,,,,,,d_nikke_isabel_04_27,,,,,
d_nikke_isabel_04_27,d_nikke_isabel_04,Speech,machinesound,Locale_NikkeEpisode:d_nikke_isabel_04_27,False,,18,18,1.0,,,,,machinesound,,,,,,
d_nikke_isabel_04_28,d_nikke_isabel_04,Speech,machinesound,Locale_NikkeEpisode:d_nikke_isabel_04_28,True,,18,18,1.0,,,,,machinesound,,,,,,
d_nikke_isabel_04_29,d_nikke_isabel_04,Self,Self,Locale_NikkeEpisode:d_nikke_isabel_04_29,False,,18,18,1.0,,,,,,,,,,,
d_nikke_isabel_04_30,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_30,False,NeonGrave,6017,6017,1.0,bgm_risk,,,black,,,,,,,
d_nikke_isabel_04_31,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_31,False,,6017,6017,1.0,,,,,,,,,,,
d_nikke_isabel_04_32,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_32,False,,6017,1,0.5,,sfx_scn_distantshot,Low_2,,,,,,,,
d_nikke_isabel_04_33,d_nikke_isabel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_isabel_04_33,False,,1,1,1.0,,sfx_scn_snowwhiterifle,Low_2,,,,,,,,
d_nikke_isabel_04_34,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_34,False,,1,1,1.0,,c231_sk2_wing_exp,,,,,,,,,
d_nikke_isabel_04_35,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_35,False,,1,1,1.0,,c231_ult_bomb,Low_2,,,,,,,,
d_nikke_isabel_04_36,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_36,False,,1,1,1.0,,,,,,,,,,,
d_nikke_isabel_04_37,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_37,False,ArkRuinIndoor,1,1,1.0,,,,,,,isabel,1,idle,Grey,
d_nikke_isabel_04_38,d_nikke_isabel_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_isabel_04_38,False,,1,1,1.0,,,,,,,,1,idle,Grey,
d_nikke_isabel_04_39,d_nikke_isabel_04,Choice,,Locale_NikkeEpisode:d_nikke_isabel_04_39,False,,1,1,1.0,,,,,,d_nikke_isabel_04_41,,1,idle,Grey,
