id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_nikke_neon_03_1,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_1,True,NikkeRoom,50,50,1.0,bgm_story_sundayintheark,,,maxwell,5,idle,,anis,3,idle,,rapi,13,idle,,neon,1,idle,,,,,
d_nikke_neon_03_2,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_2,True,,50,50,1.0,,,,,5,idle,,,3,idle,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_3,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_3,True,,50,50,1.0,,,,,5,idle,,,3,idle,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_4,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_4,True,,50,50,1.0,,,,,5,idle,,,3,idle,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_5,d_nikke_neon_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_03_5,False,,S_10,S_10,1.0,,,,,5,idle,,,3,idle,,,13,idle,,,1,surprise,,,,,
d_nikke_neon_03_6,d_nikke_neon_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_neon_03_6,True,,S_10,2,1.0,,,,,5,idle,,,3,angry,,,13,idle,,,1,surprise,,,,,
d_nikke_neon_03_7,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_7,True,,2,4,1.0,,,,,5,idle,,,3,angry,,,13,idle,,,1,surprise,,,,,
d_nikke_neon_03_8,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_8,True,,4,4,1.0,,,,,5,idle,,,3,angry,,,13,idle,,,1,surprise,,,,,
d_nikke_neon_03_9,d_nikke_neon_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_neon_03_9,True,,4,4,1.0,,,,,5,idle,,,3,no,,,13,idle,,,1,surprise,,,,,
d_nikke_neon_03_10,d_nikke_neon_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_03_10,True,,S_10,S_10,1.0,,,,,5,idle,,,3,no,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_11,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_11,True,,50,50,1.0,,,,,5,idle,,,3,no,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_12,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_12,True,,50,50,1.0,,,,,5,idle,,,3,no,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_13,d_nikke_neon_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_neon_03_13,True,,50,4,1.0,,,,,5,idle,,,3,pain,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_14,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_14,True,,4,4,1.0,,,,,5,idle,,,3,pain,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_15,d_nikke_neon_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_03_15,True,,4,S_10,1.0,,,,,5,idle,,,3,void,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_16,d_nikke_neon_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_03_16,True,,S_10,S_10,1.0,,,,,5,idle,,,3,void,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_17,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_17,True,,50,50,1.0,,,,,5,idle,,,3,void,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_18,d_nikke_neon_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_03_18,True,,50,2,1.0,,,,,5,idle,,,3,void,,,13,idle,,,1,delight,,,,,
d_nikke_neon_03_19,d_nikke_neon_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_neon_03_19,True,,2,2,1.0,,,,,5,idle,,,3,angry,,,13,idle,,,1,delight,,,,,
d_nikke_neon_03_20,d_nikke_neon_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_03_20,True,,2,2,1.0,,,,,5,idle,,,3,angry,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_21,d_nikke_neon_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_neon_03_21,True,,2,2,1.0,,,,,5,idle,,,3,angry,,,13,idle,,,1,idle,,,,,
d_nikke_neon_03_22,d_nikke_neon_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_neon_03_22,True,,2,4,1.0,,,,,5,sad,,,3,angry,,,13,idle,,,1,idle,,,,,
