id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound,set_camera_shake,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,set_filter_02
d_nikke_sakura_05_1,d_nikke_sakura_05,Monologue,Locale_NikkeEpisode:d_nikke_sakura_05_1,False,FlowerGarden,19,1,2.0,bgm_story_weare,,,,,,,,,,,,,,,
d_nikke_sakura_05_2,d_nikke_sakura_05,Monologue,Locale_NikkeEpisode:d_nikke_sakura_05_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_sakura_05_3,d_nikke_sakura_05,Monologue,Locale_NikkeEpisode:d_nikke_sakura_05_3,False,,1,L_10,1.0,,,,,,,,,,,,,,,,
d_nikke_sakura_05_4,d_nikke_sakura_05,Monologue,Locale_NikkeEpisode:d_nikke_sakura_05_4,False,,L_10,L_10,1.0,,,,,,,,,,,,,,,,
d_nikke_sakura_05_5,d_nikke_sakura_05,Speech,Locale_NikkeEpisode:d_nikke_sakura_05_5,True,,L_10,10,1.0,,sakura,sakura,sakura,1,idle,,,,,,,,,,
d_nikke_sakura_05_6,d_nikke_sakura_05,Self,Locale_NikkeEpisode:d_nikke_sakura_05_6,False,,10,10,1.0,,sakura,,,1,idle,,,,,,,,,,
d_nikke_sakura_05_7,d_nikke_sakura_05,Speech,Locale_NikkeEpisode:d_nikke_sakura_05_7,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,,,
d_nikke_sakura_05_8,d_nikke_sakura_05,Speech,Locale_NikkeEpisode:d_nikke_sakura_05_8,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,,,
d_nikke_sakura_05_9,d_nikke_sakura_05,Speech,Locale_NikkeEpisode:d_nikke_sakura_05_9,True,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,,,
d_nikke_sakura_05_10,d_nikke_sakura_05,Speech,Locale_NikkeEpisode:d_nikke_sakura_05_10,False,,10,10,1.0,,sakura,sakura,,1,idle,,,,,,,,,,
d_nikke_sakura_05_11,d_nikke_sakura_05,Speech,Locale_NikkeEpisode:d_nikke_sakura_05_11,True,,10,100,0.7,,sakura,sakura,,1,angry,,,,,,,,,,
