id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_maxwell_04_1,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_1,True,TrainingField,3,1,2.0,bgm_recognition_underworld,,maxwell,1,think,
d_nikke_maxwell_04_2,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_2,True,,1,10,2.0,,,,1,think,
d_nikke_maxwell_04_3,d_nikke_maxwell_04,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_3,,,10,100,2.0,,,,1,think,
d_nikke_maxwell_04_4,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_4,True,,black,black,1.0,,,,1,think,
d_nikke_maxwell_04_5,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_5,,,100,100,1.0,,,,1,think,
d_nikke_maxwell_04_6,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_6,True,,100,10,0.5,,,,1,idle,
d_nikke_maxwell_04_7,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_7,,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_8,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_8,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_9,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_9,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_10,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_10,,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_11,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_11,False,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_12,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_12,True,,10,10,1.0,,,,1,delight,
d_nikke_maxwell_04_13,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_13,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_14,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_14,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_15,d_nikke_maxwell_04,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_15,,,10,100,1.5,,,,1,idle,
d_nikke_maxwell_04_16,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_16,True,,100,100,1.0,,,,1,idle,
d_nikke_maxwell_04_17,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_17,False,,100,100,1.0,,,,1,idle,
d_nikke_maxwell_04_18,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_18,True,,100,100,1.0,,,,1,idle,
d_nikke_maxwell_04_19,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_19,True,,100,100,1.0,,,,1,idle,
d_nikke_maxwell_04_20,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_20,False,,100,100,1.0,,,,1,idle,
d_nikke_maxwell_04_21,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_21,True,,100,100,1.0,,,,1,delight,
d_nikke_maxwell_04_22,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_22,True,,100,100,1.0,,,,1,idle,
d_nikke_maxwell_04_23,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_23,,,100,100,1.0,,,,1,idle,
d_nikke_maxwell_04_24,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_24,True,,100,100,1.0,,,,1,angry,
d_nikke_maxwell_04_25,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_25,True,,100,100,1.0,,,,1,angry,
d_nikke_maxwell_04_26,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_26,,,100,100,1.0,,,,1,angry,
d_nikke_maxwell_04_27,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_27,False,,100,10,1.0,none,,,1,idle,
d_nikke_maxwell_04_28,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_28,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_29,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_29,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_30,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_30,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_31,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_31,True,,black,black,1.0,,,,1,idle,
d_nikke_maxwell_04_32,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_32,,,black,black,1.0,,,,1,idle,
d_nikke_maxwell_04_33,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_33,True,,10,10,0.5,,,,1,angry,
d_nikke_maxwell_04_34,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_34,,,10,10,1.0,,,,1,angry,
d_nikke_maxwell_04_35,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_35,False,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_36,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_36,True,,10,10,1.0,,,,1,angry,
d_nikke_maxwell_04_37,d_nikke_maxwell_04,Self,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_37,,,10,10,1.0,,,,1,angry,
d_nikke_maxwell_04_38,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_38,False,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_39,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_39,True,,10,10,1.0,,,,1,idle,
d_nikke_maxwell_04_40,d_nikke_maxwell_04,Narration,maxwell,,Locale_NikkeEpisode:d_nikke_maxwell_04_40,,,10,100,2.0,,,,1,idle,
d_nikke_maxwell_04_41,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_41,True,,100,10,0.5,bgm_story_epicjazzymoods,,,1,delight,
d_nikke_maxwell_04_42,d_nikke_maxwell_04,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_maxwell_04_42,True,,10,10,1.0,,,,1,delight,
