id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,conversation_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/show_char_id,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_belorta_04_1,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_1,True,Hospital,5,1,1.0,none,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_2,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_2,True,,1,XS_10,1.0,,,,,1,worry,belorta,,,,,,,,,,,,,
d_nikke_belorta_04_3,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_3,True,,XS_10,XS_10,1.0,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_4,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_4,True,,XS_10,XS_10,1.0,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_5,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_5,True,,XS_10,XS_10,1.0,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_6,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_6,False,,XS_10,XS_10,1.0,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_7,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_7,True,,XS_10,XS_100,0.5,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_8,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_8,False,,XS_100,XS_100,1.0,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_9,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_9,False,,XS_100,XS_10,1.0,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_10,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_10,True,,XS_10,XS_10,1.0,bgm_story_shapeofhope,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_11,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_11,True,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_12,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_12,True,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_13,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_13,False,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_14,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_14,False,,XS_10,XS_100,0.5,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_15,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_15,False,,XS_100,XS_100,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_16,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_16,True,,XS_100,XS_100,1.0,,,,,1,worry,,,,,,,,,,,,,,
d_nikke_belorta_04_17,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_17,True,,XS_100,XS_100,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_18,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_18,False,,XS_100,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_19,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_19,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_20,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_20,True,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_21,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_21,False,,XS_10,XS_10,1.0,,,,,1,shy,,,,,,,,,,,,,,
d_nikke_belorta_04_22,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_22,True,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_23,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_23,False,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_24,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_24,True,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_25,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_25,True,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_26,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_26,True,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_27,d_nikke_belorta_04,Self,belorta,,Locale_NikkeEpisode:d_nikke_belorta_04_27,False,,XS_10,XS_10,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_28,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_28,True,,XS_10,XS_100,0.5,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_29,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_29,True,,XS_100,XS_100,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_30,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_30,True,,XS_100,XS_100,1.0,,,,,1,angry,,,,,,,,,,,,,,
d_nikke_belorta_04_31,d_nikke_belorta_04,Speech,belorta,belorta,Locale_NikkeEpisode:d_nikke_belorta_04_31,True,,XS_100,XS_100,1.0,,,,,1,angry,,,,,,,,,,,,,,
