id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_privaty_unkindmaid_05_1,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_1,True,CommanderRoom,1,1,1.0,bgm_story_leisuretime,,,,privaty_m,1,idle,
d_nikke_privaty_unkindmaid_05_2,d_nikke_privaty_unkindmaid_05,Self,,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_2,False,,1,1,1.0,,,,,,1,idle,
d_nikke_privaty_unkindmaid_05_3,d_nikke_privaty_unkindmaid_05,Monologue,,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_3,False,,1,10,1.0,,,,,,1,idle,
d_nikke_privaty_unkindmaid_05_4,d_nikke_privaty_unkindmaid_05,Monologue,,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_4,False,,10,10,1.0,,,,,,1,idle,
d_nikke_privaty_unkindmaid_05_5,d_nikke_privaty_unkindmaid_05,Self,,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_5,False,,10,10,1.0,,,,,,1,idle,
d_nikke_privaty_unkindmaid_05_6,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_6,True,,10,10,1.0,,,,,,1,delight,
d_nikke_privaty_unkindmaid_05_7,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_7,True,,10,10,1.0,,,,,,1,delight,
d_nikke_privaty_unkindmaid_05_8,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_8,True,,10,1,1.0,,,,,,1,delight,
d_nikke_privaty_unkindmaid_05_9,d_nikke_privaty_unkindmaid_05,Narration,privaty_m,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_9,False,,black,black,1.0,,,,,,1,idle,privaty_m
d_nikke_privaty_unkindmaid_05_10,d_nikke_privaty_unkindmaid_05,Narration,privaty_m,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_10,False,,1,10,1.0,,sfx_scn_putdown,,,,1,idle,
d_nikke_privaty_unkindmaid_05_11,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_11,True,,10,10,1.0,,,,,privaty_m,1,happy,
d_nikke_privaty_unkindmaid_05_12,d_nikke_privaty_unkindmaid_05,Monologue,privaty_m,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_12,False,,10,10,1.0,,,,,,1,happy,
d_nikke_privaty_unkindmaid_05_13,d_nikke_privaty_unkindmaid_05,Monologue,privaty_m,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_13,False,,10,10,1.0,,,,,,1,happy,
d_nikke_privaty_unkindmaid_05_14,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_14,True,,10,10,1.0,,,,,,1,happy,
d_nikke_privaty_unkindmaid_05_15,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_15,True,,10,100,1.0,,,,,,1,sad,
d_nikke_privaty_unkindmaid_05_16,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_16,True,,100,100,1.0,,,,,,1,sad,
d_nikke_privaty_unkindmaid_05_17,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_17,True,,100,100,1.0,,,,,,1,sad2,
d_nikke_privaty_unkindmaid_05_18,d_nikke_privaty_unkindmaid_05,Self,privaty_m,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_18,False,,100,100,1.0,,,,,,1,sad2,
d_nikke_privaty_unkindmaid_05_19,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_19,True,,100,100,1.0,,,,,,1,shy,
d_nikke_privaty_unkindmaid_05_20,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_20,True,,100,100,1.0,,,,,,1,shy,
d_nikke_privaty_unkindmaid_05_21,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_21,True,,100,100,1.0,,,,,,1,shy,
d_nikke_privaty_unkindmaid_05_22,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_22,True,,100,10,1.0,,,,,,1,"expression_0,shy2",
d_nikke_privaty_unkindmaid_05_23,d_nikke_privaty_unkindmaid_05,Speech,privaty_m,privaty_m,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_23,True,,10,10,1.0,,,,,,1,shy2,
d_nikke_privaty_unkindmaid_05_24,d_nikke_privaty_unkindmaid_05,Self,privaty_m,,Locale_NikkeEpisode:d_nikke_privaty_unkindmaid_05_24,False,,10,10,1.0,,,,,,1,shy2,
