id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_tove_02_1,d_nikke_tove_02,Narration,Locale_NikkeEpisode:d_nikke_tove_02_1,True,Office,5,3,2.0,bgm_story_languor,,,,,,tove,3,sad,,,,,,,,,,
d_nikke_tove_02_2,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_2,True,,3,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_3,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_3,True,,S_30,S_30,1.0,,tove,,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_4,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_4,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_5,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_5,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_6,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_6,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_7,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_7,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_8,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_8,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_9,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_9,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_10,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_10,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_11,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_11,True,,S_30,S_30,1.0,,tove,,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_12,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_12,True,,S_30,S_300,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_13,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_13,True,,S_300,S_300,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_14,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_14,True,,S_300,S_300,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_15,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_15,True,,S_300,S_300,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_16,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_16,True,,S_300,S_300,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_17,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_17,True,,S_300,S_300,1.0,,tove,,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_18,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_18,True,,S_300,S_300,1.0,,tove,tove,,,,,3,think,,,,,,,,,,
d_nikke_tove_02_19,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_19,True,,S_300,S_30,1.0,,tove,tove,,,,,3,worry,,,,,,,,,,
d_nikke_tove_02_20,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_20,True,,S_30,S_30,1.0,,tove,,,,,,3,worry,,,,,,,,,,
d_nikke_tove_02_21,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_21,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_22,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_22,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_23,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_23,True,,S_30,S_30,1.0,,tove,,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_24,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_24,True,,S_30,S_30,1.0,,tove,tove,,,,,3,sad,,,,,,,,,,
d_nikke_tove_02_25,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_25,True,,S_30,S_30,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_26,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_26,True,,S_30,S_30,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_27,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_27,True,,S_30,S_30,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_28,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_28,True,,S_30,S_30,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_29,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_29,True,,S_30,S_30,1.0,,tove,tove,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_30,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_30,True,,S_30,S_30,1.0,,tove,,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_31,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_31,True,,S_30,S_30,1.0,,tove,,,,,,3,special,,,,,,,,,,
d_nikke_tove_02_32,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_32,True,,S_30,S_300,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_33,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_33,True,,S_300,S_300,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_34,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_34,True,,S_300,S_300,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_35,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_35,True,,S_300,S_300,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_36,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_36,True,,S_300,S_300,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_37,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_37,True,,S_300,S_300,1.0,,tove,tove,,,,,3,idle,,,,,,,,,,
d_nikke_tove_02_38,d_nikke_tove_02,Narration,Locale_NikkeEpisode:d_nikke_tove_02_38,True,BriefingRoom,2,2,1.0,none,tove,,black,,,,3,idle,ludmilla,1,think,,alice,13,idle,neve,15,idle
d_nikke_tove_02_39,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_39,True,,2,10,2.0,bgm_secondhand,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_40,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_40,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_41,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_41,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_42,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_42,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_43,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_43,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_44,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_44,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_45,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_45,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_46,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_46,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,think,,,13,idle,,15,idle
d_nikke_tove_02_47,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_47,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_48,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_48,True,,10,2,1.0,none,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_49,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_49,True,,2,2,1.0,bgm_story_whosdumber,tove,tove,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_50,d_nikke_tove_02,Choice,Locale_NikkeEpisode:d_nikke_tove_02_50,True,,2,2,1.0,,tove,,,d_nikke_tove_02_52,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_51,d_nikke_tove_02,Choice,Locale_NikkeEpisode:d_nikke_tove_02_51,True,,2,2,1.0,,tove,,,d_nikke_tove_02_55,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_52,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_52,True,,2,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_53,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_53,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_54,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_54,True,,10,10,1.0,,ludmilla,ludmilla,,d_nikke_tove_02_58,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_55,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_55,True,,2,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_56,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_56,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_57,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_57,True,,10,10,1.0,,ludmilla,ludmilla,,d_nikke_tove_02_58,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_58,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_58,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_59,d_nikke_tove_02,Self,Locale_NikkeEpisode:d_nikke_tove_02_59,True,,10,10,1.0,,ludmilla,,,,,,3,idle,,1,idle,,,13,idle,,15,idle
d_nikke_tove_02_60,d_nikke_tove_02,Speech,Locale_NikkeEpisode:d_nikke_tove_02_60,True,,10,10,1.0,,ludmilla,ludmilla,,,,,3,idle,,1,idle,,,13,idle,,15,idle
