id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_crust_03_1,d_nikke_crust_03,Narration,crust,Locale_NikkeEpisode:d_nikke_crust_03_1,False,land_d,black,black,1.0,bgm_story_sunnycarnival,,,,bready,2,idle,crust,12,idle
d_nikke_crust_03_2,d_nikke_crust_03,Self,crust,Locale_NikkeEpisode:d_nikke_crust_03_2,False,,XS_120,XS_120,1.0,,,,,,2,idle,,12,idle
d_nikke_crust_03_3,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_3,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,idle
d_nikke_crust_03_4,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_4,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,idle
d_nikke_crust_03_5,d_nikke_crust_03,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_03_5,True,,XS_120,1,1.5,,bready,,,,2,idle,,12,idle
d_nikke_crust_03_6,d_nikke_crust_03,Self,bready,Locale_NikkeEpisode:d_nikke_crust_03_6,False,,black,black,1.0,,,,,,2,idle,,12,idle
d_nikke_crust_03_7,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_7,True,,1,1,1.0,,crust,,,,2,idle,,12,shy
d_nikke_crust_03_8,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_8,True,,1,1,1.0,,crust,,,,2,idle,,12,shy
d_nikke_crust_03_9,d_nikke_crust_03,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_03_9,True,,1,1,1.3,,bready,,,,2,idle,,12,shy
d_nikke_crust_03_10,d_nikke_crust_03,Monologue,bready,Locale_NikkeEpisode:d_nikke_crust_03_10,False,,1,1,1.0,,,,,,2,idle,,12,shy
d_nikke_crust_03_11,d_nikke_crust_03,Narration,bready,Locale_NikkeEpisode:d_nikke_crust_03_11,False,,black,black,1.0,,,,,,2,idle,,12,shy
d_nikke_crust_03_12,d_nikke_crust_03,Self,bready,Locale_NikkeEpisode:d_nikke_crust_03_12,False,,XS_120,XS_120,1.0,,,,,,2,idle,,12,shy
d_nikke_crust_03_13,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_13,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,idle
d_nikke_crust_03_14,d_nikke_crust_03,Self,crust,Locale_NikkeEpisode:d_nikke_crust_03_14,False,,XS_120,XS_120,1.0,,,,,,2,idle,,12,idle
d_nikke_crust_03_15,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_15,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,idle
d_nikke_crust_03_16,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_16,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,idle
d_nikke_crust_03_17,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_17,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,idle
d_nikke_crust_03_18,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_18,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,delight
d_nikke_crust_03_19,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_19,True,,XS_120,XS_120,1.0,,crust,,,,2,idle,,12,delight
d_nikke_crust_03_20,d_nikke_crust_03,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_03_20,True,,XS_120,1,1.5,,bready,,,,2,no,,12,delight
d_nikke_crust_03_21,d_nikke_crust_03,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_03_21,True,,1,1,1.0,,crust,,,,2,no,,12,idle
d_nikke_crust_03_22,d_nikke_crust_03,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_03_22,True,,1,1,1.0,,bready,,,,2,no,,12,idle
