id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_02,set_camera_shake,jump_target,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,set_filter_01,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_emma_04_1,d_nikke_emma_04,Monologue,Locale_NikkeEpisode:d_nikke_emma_04_1,False,HotSpring,5,1,2.0,bgm_story_orangepop,Blur_Low,,,,,,,,,,,,,,,,,,,
d_nikke_emma_04_2,d_nikke_emma_04,Choice,Locale_NikkeEpisode:d_nikke_emma_04_2,False,,1,1,1.0,,,Low_2,d_nikke_emma_04_4,,,,,,,,,,,,,,,,,
d_nikke_emma_04_3,d_nikke_emma_04,Choice,Locale_NikkeEpisode:d_nikke_emma_04_3,False,,1,1,1.0,,,,d_nikke_emma_04_8,,,,,,,,,,,,,,,,,
d_nikke_emma_04_4,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_4,True,,1,1,1.0,,,,,emma,emma,emma,1,surprise,,,,,,,,,,,,
d_nikke_emma_04_5,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_5,True,,1,1,1.0,,,,,emma,emma,,1,surprise,,,,,,,,,,,,
d_nikke_emma_04_6,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_6,True,,1,10,2.0,,,,,emma,emma,,1,delight,,,,,,,,,,,,
d_nikke_emma_04_7,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_7,True,,10,10,1.0,,,,d_nikke_emma_04_12,emma,emma,,1,delight,,,,,,,,,,,,
d_nikke_emma_04_8,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_8,True,,1,1,1.0,,,,,emma,emma,emma,1,surprise,,,,,,,,,,,,
d_nikke_emma_04_9,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_9,True,,1,10,2.0,,,,,emma,emma,,1,delight,,,,,,,,,,,,
d_nikke_emma_04_10,d_nikke_emma_04,Self,Locale_NikkeEpisode:d_nikke_emma_04_10,False,,10,10,1.0,,,,,emma,,,1,delight,,,,,,,,,,,,
d_nikke_emma_04_11,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_11,True,,10,10,1.0,,,,,emma,emma,,1,special,,,,,,,,,,,,
d_nikke_emma_04_12,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_12,True,,10,40,2.0,,,,,emma,emma,,1,special,,,,,,,,,,,,
d_nikke_emma_04_13,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_13,True,,40,10,1.0,,,,,emma,emma,,1,special,,,,,,,,,,,,
d_nikke_emma_04_14,d_nikke_emma_04,Speech,Locale_NikkeEpisode:d_nikke_emma_04_14,True,,10,10,1.0,,,,,emma,emma,,1,special,,,,,,,,,,,,
