id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_arcana_02_1,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_1,False,City,black,black,1.0,bgm_frostpillar,,,,,arcana,1,idle
d_nikke_arcana_02_2,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_2,False,,L_10,L_10,1.0,,,,,,,1,idle
d_nikke_arcana_02_3,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_3,True,,L_10,L_10,1.0,,arcana,,,,,1,think
d_nikke_arcana_02_4,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_4,False,,L_10,L_10,1.0,,,,,,,1,think
d_nikke_arcana_02_5,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_5,True,,L_10,L_10,1.0,,arcana,,,,,1,think
d_nikke_arcana_02_6,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_6,False,,L_10,L_10,1.0,,,,,,,1,think
d_nikke_arcana_02_7,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_7,False,,L_10,L_10,1.0,,,,,,,1,think
d_nikke_arcana_02_8,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_8,True,,L_10,L_100,1.3,,arcana,,,,,1,think
d_nikke_arcana_02_9,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_9,False,,black,black,1.0,,,,,,,1,think
d_nikke_arcana_02_10,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_10,False,,black,black,1.0,,,,,,,1,think
d_nikke_arcana_02_11,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_11,True,,L_100,L_10,1.3,,arcana,,,,,1,delight
d_nikke_arcana_02_12,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_12,True,,L_10,L_10,1.0,,arcana,,,,,1,delight
d_nikke_arcana_02_13,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_13,False,,L_10,L_10,1.0,,,,,,,1,delight
d_nikke_arcana_02_14,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_14,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_15,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_15,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_16,d_nikke_arcana_02,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_16,False,,L_10,L_10,1.0,,,,,,,1,idle
d_nikke_arcana_02_17,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_17,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_18,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_18,True,,L_10,L_10,1.0,,arcana,,,,,1,idle
d_nikke_arcana_02_19,d_nikke_arcana_02,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_19,False,,black,black,1.0,,,,,,,1,think_02
d_nikke_arcana_02_20,d_nikke_arcana_02,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_02_20,True,,L_10,L_10,1.0,,arcana,,,,,1,think
