id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,conversation_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_exia_04_1,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_1,True,CommanderRoom,1,1,1.0,bgm_story_epicjazzymoods,,,,,exia,1,idle,,,,,
d_nikke_exia_04_2,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_2,True,,1,1,1.0,,,,,,,1,idle,,,,,
d_nikke_exia_04_3,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_3,True,,1,10,1.0,,,,,,,1,delight,,,,,
d_nikke_exia_04_4,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_4,True,,10,10,1.0,,,,,,,1,delight,,,,,
d_nikke_exia_04_5,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_5,True,,10,10,1.0,,,,,,,1,delight,,,,,
d_nikke_exia_04_6,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_6,True,,10,10,1.0,,,,,,,1,delight,,,,,
d_nikke_exia_04_7,d_nikke_exia_04,Speech,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_7,True,,10,S_100,0.7,,sfx_scn_fanfare,,,,,1,good,,,,,
d_nikke_exia_04_8,d_nikke_exia_04,Choice,exia,,Locale_NikkeEpisode:d_nikke_exia_04_8,False,,S_100,S_100,1.0,,,d_nikke_exia_04_10,,,,1,good,,,,,
d_nikke_exia_04_9,d_nikke_exia_04,Choice,exia,,Locale_NikkeEpisode:d_nikke_exia_04_9,False,,S_100,S_100,1.0,,,d_nikke_exia_04_10,,,,1,good,,,,,
d_nikke_exia_04_10,d_nikke_exia_04,Narration,exia,exia,Locale_NikkeEpisode:d_nikke_exia_04_10,False,,S_100,S_100,1.0,,sfx_scn_phonevibration,,m_nikke_exia_04,,,1,good,,,,,
