id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade,jump_target,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,set_camera_shake,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
d_nikke_neon_02_1,d_nikke_neon_02,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_neon_02_1,True,milk,3,idle,sugar,5,idle,frima,13,idle,neon,1,idle,Cafe,4,4,1.0,bgm_story_girlstalk,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_2,d_nikke_neon_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_neon_02_2,True,,3,idle,,5,idle,,13,idle,,1,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_3,d_nikke_neon_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_02_3,True,,3,idle,,5,idle,,13,idle,,1,idle,,4,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_4,d_nikke_neon_02,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_neon_02_4,True,,3,idle,,5,idle,,13,idle,,1,idle,,1,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_5,d_nikke_neon_02,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_neon_02_5,True,,3,idle,,5,idle,,13,idle,,1,idle,,12,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_6,d_nikke_neon_02,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_neon_02_6,True,,3,idle,,5,idle,,13,idle,,1,idle,,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_7,d_nikke_neon_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_neon_02_7,False,,3,idle,,5,idle,,13,idle,,1,no,,2,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_8,d_nikke_neon_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_neon_02_8,True,,3,idle,,5,angry,,13,idle,,1,no,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_9,d_nikke_neon_02,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_neon_02_9,True,,3,idle,,5,angry,,13,idle,,1,no,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_neon_02_10,d_nikke_neon_02,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_neon_02_10,True,,3,idle,,5,angry,,13,idle,,1,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
