id,group_id,speech_window,highlight,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_lipSync,play_sound,fade,set_camera_shake,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_privaty_04_1,d_nikke_privaty_04,Self,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_1,CommanderRoom,10,10,1.0,bgm_story_sunshinesorrow,,,,,,,rapi,1,idle,
d_nikke_privaty_04_2,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_2,,10,10,1.0,,rapi,True,,,,,,1,idle,
d_nikke_privaty_04_3,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_3,,10,10,1.0,,rapi,True,,,,,,1,idle,
d_nikke_privaty_04_4,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_4,,10,100,2.0,,rapi,False,,,,,,1,think,
d_nikke_privaty_04_5,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_5,,100,100,1.0,,rapi,True,,,,,,1,think,
d_nikke_privaty_04_6,d_nikke_privaty_04,Self,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_6,,100,100,1.0,,,,,,,,,1,idle,
d_nikke_privaty_04_7,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_7,,100,10,1.0,,rapi,True,,,,,,1,idle,
d_nikke_privaty_04_8,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_8,,10,10,1.0,,rapi,True,,,,,,1,idle,
d_nikke_privaty_04_9,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_9,,10,10,1.0,,rapi,True,,,,,,1,idle,
d_nikke_privaty_04_10,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_10,,10,10,1.0,,rapi,True,,,,,,1,idle,
d_nikke_privaty_04_11,d_nikke_privaty_04,Self,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_11,,10,10,1.0,,,False,,,,,,1,idle,
d_nikke_privaty_04_12,d_nikke_privaty_04,Narration,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_12,,10,10,1.0,none,,,sfx_scn_phonevibration,,,,,1,idle,
d_nikke_privaty_04_13,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_13,,10,10,1.0,,rapi,False,,,,,,1,idle,
d_nikke_privaty_04_14,d_nikke_privaty_04,Narration,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_14,,10,10,1.0,,,,sfx_scn_phonevibration,,,,,1,idle,
d_nikke_privaty_04_15,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_15,,10,100,0.5,,rapi,True,,,,,,1,worry,
d_nikke_privaty_04_16,d_nikke_privaty_04,Narration,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_16,,100,100,1.0,,,,,,,,,1,worry,
d_nikke_privaty_04_17,d_nikke_privaty_04,Self,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_17,,100,100,1.0,,,,,,,,,1,worry,
d_nikke_privaty_04_18,d_nikke_privaty_04,Speech,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_18,,100,10,1.0,,rapi,True,,,,,,1,worry,
d_nikke_privaty_04_19,d_nikke_privaty_04,Self,rapi,Locale_NikkeEpisode:d_nikke_privaty_04_19,,10,10,1.0,,,,,,,,,1,worry,
d_nikke_privaty_04_20,d_nikke_privaty_04,Narration,,Locale_NikkeEpisode:d_nikke_privaty_04_20,NikkeRoom,50,10,2.0,bgm_story_whosdumber,,,,black,,,,1,worry,rapi
d_nikke_privaty_04_21,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_21,,10,100,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_22,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_22,,100,100,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_23,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_23,,100,100,1.0,,,,,,,,,,,
d_nikke_privaty_04_24,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_24,,100,1,0.5,,,,sfx_scn_sofasheet,,Low_2,,,,,
d_nikke_privaty_04_25,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_25,,1,1,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_26,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_26,,1,1,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_27,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_27,,1,1,1.0,,,,,,,,,,,
d_nikke_privaty_04_28,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_28,,1,1,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_29,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_29,,1,1,1.0,,,,,,,,,,,
d_nikke_privaty_04_30,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_30,,1,10,2.0,,privaty,False,,,,,,,,
d_nikke_privaty_04_31,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_31,,10,10,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_32,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_32,,10,10,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_33,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_33,,10,10,1.0,,,,,,,,,,,
d_nikke_privaty_04_34,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_34,,10,100,0.5,,privaty,True,,,,,,,,
d_nikke_privaty_04_35,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_35,,100,100,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_36,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_36,,100,100,1.0,,,,,,,,,,,
d_nikke_privaty_04_37,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_37,,100,100,1.0,,,,sfx_scn_sofasheet,,Low_2,,,,,
d_nikke_privaty_04_38,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_38,,100,100,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_39,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_39,,100,1,0.5,,privaty,True,,,,,,,,
d_nikke_privaty_04_40,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_40,,1,1,1.0,,,,,,,,,,,
d_nikke_privaty_04_41,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_41,,1,1,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_42,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_42,,1,1,1.0,none,,,,,,,,,,
d_nikke_privaty_04_43,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_43,,black,black,1.0,,privaty,True,,,,,,,,
d_nikke_privaty_04_44,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_44,,S_10,S_10,1.0,,,,sfx_scn_heavytrip,,Low_2,,,,,
d_nikke_privaty_04_45,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_45,,S_10,S_10,1.0,,,,,,,,privaty,1,angry,
d_nikke_privaty_04_46,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_46,,S_10,S_100,0.5,,privaty,True,,,,,,1,angry,
d_nikke_privaty_04_47,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_47,,S_100,S_100,1.0,,,,,,,,,1,angry,
d_nikke_privaty_04_48,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_48,,S_100,S_100,1.0,,privaty,True,,,,,,1,angry,
d_nikke_privaty_04_49,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_49,,S_100,S_100,1.0,,,,,,,,,1,angry,
d_nikke_privaty_04_50,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_50,,S_100,S_10,2.0,,privaty,True,,,,,,1,idle,
d_nikke_privaty_04_51,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_51,,S_10,S_10,1.0,,,,,,,,,1,idle,
d_nikke_privaty_04_52,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_52,,S_10,S_10,1.0,,privaty,False,,,,,,1,idle,
d_nikke_privaty_04_53,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_53,,S_10,S_10,1.0,,,False,,,,,,1,idle,
d_nikke_privaty_04_54,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_54,,S_10,S_100,0.5,bgm_story_whosdumber,privaty,True,,,,,,1,surprise,
d_nikke_privaty_04_55,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_55,,S_100,S_100,1.0,,privaty,True,,,,,,1,surprise,
d_nikke_privaty_04_56,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_56,,S_100,S_100,1.0,,,,,,,,,1,surprise,
d_nikke_privaty_04_57,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_57,,S_100,S_100,1.0,,privaty,True,,,,,,1,surprise,
d_nikke_privaty_04_58,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_58,,S_100,S_10,1.0,,privaty,True,,,,,,1,shy,
d_nikke_privaty_04_59,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_59,,S_10,S_10,1.0,,privaty,True,,,,,,1,shy,
d_nikke_privaty_04_60,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_60,,S_10,S_10,1.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_61,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_61,,S_10,S_10,1.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_62,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_62,,S_10,S_10,1.0,,,,,,,,,1,sad,
d_nikke_privaty_04_63,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_63,,S_10,S_10,1.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_64,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_64,,S_10,S_10,1.0,,privaty,True,,,,,,1,shy,
d_nikke_privaty_04_65,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_65,,S_10,S_10,1.0,,,,,,,,,1,shy,
d_nikke_privaty_04_66,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_66,,S_10,S_10,1.0,,privaty,True,,,,,,1,idle,
d_nikke_privaty_04_67,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_67,,S_10,S_10,1.0,,,,,,,,,1,idle,
d_nikke_privaty_04_68,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_68,,S_10,S_10,1.0,,privaty,False,,,,m_nikke_privaty_04_01,,1,idle,
d_nikke_privaty_04_69,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_69,,S_10,S_100,2.0,,privaty,True,,,,,,1,idle,
d_nikke_privaty_04_70,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_70,,S_100,S_100,1.0,,,,,,,,,1,idle,
d_nikke_privaty_04_71,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_71,,S_100,S_100,1.0,,privaty,True,,,,,,1,idle,
d_nikke_privaty_04_72,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_72,,S_100,S_100,1.0,,,,,,,,,1,idle,
d_nikke_privaty_04_73,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_73,,S_100,S_100,1.0,,privaty,False,,,,,,1,idle,
d_nikke_privaty_04_74,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_74,,S_100,S_100,1.0,,,,,,,,,1,idle,
d_nikke_privaty_04_75,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_75,,S_100,S_10,2.0,,privaty,False,,,,,,1,idle,
d_nikke_privaty_04_76,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_76,,S_10,S_10,1.0,,,,,,,,,1,idle,
d_nikke_privaty_04_77,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_77,,S_10,S_10,1.0,,,,sfx_scn_phonevibration,,,,,1,idle,
d_nikke_privaty_04_78,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_78,,S_10,S_10,1.0,,,,,,,m_nikke_privaty_04_02,,1,idle,
d_nikke_privaty_04_79,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_79,,S_10,S_100,0.5,,privaty,True,,,,,,1,delight,
d_nikke_privaty_04_80,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_80,,S_100,S_100,1.0,,privaty,True,,,,,,1,delight,
d_nikke_privaty_04_81,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_81,,S_100,S_100,1.0,none,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_82,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_82,,S_100,S_100,1.0,,privaty,False,,,,,,1,sad,
d_nikke_privaty_04_83,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_83,,S_100,S_100,1.0,,,False,,,,,,1,sad,
d_nikke_privaty_04_84,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_84,,S_100,S_10,2.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_85,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_85,,S_10,S_70,2.0,,,,,,,,,1,sad,
d_nikke_privaty_04_86,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_86,,S_70,S_70,1.0,bgm_story_sunshinesorrow,,,,,,,,1,sad,
d_nikke_privaty_04_87,d_nikke_privaty_04,Narration,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_87,,S_70,S_70,1.0,,,,,,,,,1,sad,
d_nikke_privaty_04_88,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_88,,S_70,S_70,1.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_89,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_89,,S_70,S_70,1.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_90,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_90,,S_70,S_70,1.0,,,,,,,,,1,sad,
d_nikke_privaty_04_91,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_91,,S_70,S_10,2.0,,privaty,False,,,,,,1,sad,
d_nikke_privaty_04_92,d_nikke_privaty_04,Self,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_92,,S_10,S_10,1.0,,,,,,,,,1,sad,
d_nikke_privaty_04_93,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_93,,S_10,S_10,1.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_94,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_94,,S_10,S_10,1.0,,privaty,True,,,,,,1,sad,
d_nikke_privaty_04_95,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_95,,S_10,S_10,1.0,,privaty,False,,,,,,1,sad,
d_nikke_privaty_04_96,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_96,,S_10,S_100,1.0,,privaty,True,,,,,,1,idle,
d_nikke_privaty_04_97,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_97,,S_100,S_100,1.0,,privaty,True,,,,,,1,idle,
d_nikke_privaty_04_98,d_nikke_privaty_04,Speech,privaty,Locale_NikkeEpisode:d_nikke_privaty_04_98,,S_100,S_100,1.0,,privaty,True,,,,,,1,idle,
