id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce006_02_01_1,d_nikke_ce006_02_01,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_1,False,Desert_03,1,1,1.0,bgm_chapter32_field_advance,,,ce006_02,2,no,com,12,idle
d_nikke_ce006_02_01_2,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_2,True,,1,1,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_3,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_3,True,,1,1,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_4,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_4,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_5,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_5,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_6,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_6,True,,1,120,1.3,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_7,d_nikke_ce006_02_01,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_7,False,,black,black,1.0,,,sfx_scn_movingrobot,,2,no,,14,idle
d_nikke_ce006_02_01_8,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_8,False,,black,black,1.0,,com,,,6,no,,14,idle
d_nikke_ce006_02_01_9,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_9,True,,6,60,1.3,,ce006_02,,,6,no,,14,idle
d_nikke_ce006_02_01_10,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_10,True,,140,140,1.0,,com,,,6,no,,14,idle
d_nikke_ce006_02_01_11,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_11,True,,60,60,1.0,,ce006_02,,,6,no,,14,idle
d_nikke_ce006_02_01_12,d_nikke_ce006_02_01,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_12,False,,black,black,1.0,,,,,6,no,,14,idle
d_nikke_ce006_02_01_13,d_nikke_ce006_02_01,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_13,False,,black,black,1.0,,,,,2,no,,12,idle
d_nikke_ce006_02_01_14,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_14,True,,20,20,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_15,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_15,True,,20,20,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_16,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_16,True,,20,20,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_17,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_17,True,,20,1,1.3,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_18,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_18,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_19,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_19,True,,1,1,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_20,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_20,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_21,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_21,False,,1,1,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_22,d_nikke_ce006_02_01,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_22,False,,1,1,1.0,,,,,2,no,,12,idle
d_nikke_ce006_02_01_23,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_23,True,,1,1,1.0,,ce006_02,,,2,smile,,12,idle
d_nikke_ce006_02_01_24,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_24,True,,1,1,1.0,,ce006_02,,,2,smile,,12,idle
d_nikke_ce006_02_01_25,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_25,True,,1,1,1.0,,com,,,2,smile,,12,idle
d_nikke_ce006_02_01_26,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_26,True,,1,1,1.0,,com,,,2,smile,,12,idle
d_nikke_ce006_02_01_27,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_27,True,,1,1,1.0,,com,,,2,smile,,12,idle
d_nikke_ce006_02_01_28,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_28,True,,1,1,1.0,,com,,,2,smile,,12,idle
d_nikke_ce006_02_01_29,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_29,True,,1,1,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_30,d_nikke_ce006_02_01,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_30,False,,1,20,1.3,,,,,2,no,,12,idle
d_nikke_ce006_02_01_31,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_31,True,,20,20,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_32,d_nikke_ce006_02_01,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_32,False,,20,120,1.3,,,,,2,no,,12,idle
d_nikke_ce006_02_01_33,d_nikke_ce006_02_01,Narration,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_33,False,,120,120,1.0,,,,,2,no,,12,idle
d_nikke_ce006_02_01_34,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_34,False,,120,120,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_35,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_35,True,,120,120,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_36,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_36,True,,120,1,1.3,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_37,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_37,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_38,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_38,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_39,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_39,True,,1,1,1.0,,ce006_02,,,2,no,,12,idle
d_nikke_ce006_02_01_40,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_40,True,,1,1,1.0,,com,,,2,no,,12,idle
d_nikke_ce006_02_01_41,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_41,True,,1,1,1.0,,ce006_02,,,2,idle,,12,idle
d_nikke_ce006_02_01_42,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_42,True,,1,1,1.0,,ce006_02,,,2,idle,,12,idle
d_nikke_ce006_02_01_43,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_43,True,,1,1,1.0,,ce006_02,,,2,idle,,12,idle
d_nikke_ce006_02_01_44,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_44,True,,1,1,1.0,,com,,,2,idle,,12,idle
d_nikke_ce006_02_01_45,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_45,True,,1,1,1.0,,ce006_02,,,2,smile,,12,idle
d_nikke_ce006_02_01_46,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_46,True,,1,1,1.0,,ce006_02,,,2,smile,,12,idle
d_nikke_ce006_02_01_47,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_47,True,,1,1,1.0,,com,,,2,smile,,12,idle
d_nikke_ce006_02_01_48,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_48,True,,1,1,1.0,,com,,,2,smile,,12,idle
d_nikke_ce006_02_01_49,d_nikke_ce006_02_01,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_01_49,True,,1,1,1.0,,com,,,2,smile,,12,idle
d_nikke_ce006_02_01_50,d_nikke_ce006_02_01,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_01_50,True,,1,1,1.0,,ce006_02,,,2,surprise,,12,idle
