id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,jump_target,characters/3/hide_char_id
d_nikke_cocoa_04_1,d_nikke_cocoa_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_04_1,False,Office,5,1,2.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,,,,,,,,
d_nikke_cocoa_04_2,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_2,True,,1,1,1.0,,ingrid,ingrid,2,idle,mason,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_3,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_3,True,,1,1,1.0,,ingrid,,2,idle,,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_4,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_4,True,,1,L_120,2.0,,ingrid,,2,think,,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_5,d_nikke_cocoa_04,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_04_5,True,,L_120,L_120,1.0,,mason,,2,think,,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_6,d_nikke_cocoa_04,Speech,mason,Locale_NikkeEpisode:d_nikke_cocoa_04_6,True,,L_120,L_120,1.0,,mason,,2,think,,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_7,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_7,True,,L_120,20,1.0,,ingrid,,2,angry,,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_8,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_8,True,,20,20,1.0,,ingrid,,2,angry,,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_9,d_nikke_cocoa_04,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_04_9,False,,20,20,1.0,,,,2,angry,,12,idle,,,,,,,,,,,,,,,
d_nikke_cocoa_04_10,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_10,True,,20,3,1.0,,ingrid,,2,angry,,12,idle,d,4,idle,,,,,,,,,,,,
d_nikke_cocoa_04_11,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_11,True,,3,3,1.0,,ingrid,,2,angry,,12,idle,,4,idle,,,,,,,,,,,,
d_nikke_cocoa_04_12,d_nikke_cocoa_04,Speech,d_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_12,True,,3,3,1.0,,d_op_l,,2,angry,,12,idle,,4,idle,,,,,,,,,,,,
d_nikke_cocoa_04_13,d_nikke_cocoa_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_04_13,False,,2,2,1.0,none,,,2,angry,,12,idle,,4,idle,mason,d,cocoa,12,idle,black,,,,,,
d_nikke_cocoa_04_14,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_14,True,,2,2,1.0,,ingrid,,2,idle,,,,,,,,,,12,idle,,,,,,,
d_nikke_cocoa_04_15,d_nikke_cocoa_04,Speech,d_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_15,True,,2,2,1.0,,d_op_l,,2,idle,,,,d_op_l,OP_leftup,idle,,,,12,idle,,,,,,,
d_nikke_cocoa_04_16,d_nikke_cocoa_04,Speech,d_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_16,True,,2,2,1.0,,d_op_l,,2,idle,,,,,OP_leftup,idle,,,,12,idle,,,,,,,
d_nikke_cocoa_04_17,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_17,True,,2,2,1.0,,ingrid,,2,think,,,,,OP_leftup,idle,,,,12,idle,,,,,,,
d_nikke_cocoa_04_18,d_nikke_cocoa_04,Speech,d_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_18,True,,2,2,1.0,,d_op_l,,2,think,,,,,OP_leftup,idle,,,,12,idle,,,,,,,
d_nikke_cocoa_04_19,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_19,True,,2,2,1.0,,ingrid,,2,idle,,,,,OP_leftup,idle,,,,12,idle,,,,,,,
d_nikke_cocoa_04_20,d_nikke_cocoa_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_04_20,False,,2,2,1.0,,,,2,idle,,,,,OP_leftup,idle,,d_op_l,,12,idle,,sfx_scn_crackle,,,,,
d_nikke_cocoa_04_21,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_21,True,,2,2,1.0,bgm_recognition_underworld,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,sakura_op_l,OP_leftup,idle,,
d_nikke_cocoa_04_22,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_22,True,,2,2,1.0,,ingrid,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_23,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_23,True,,2,2,1.0,,ingrid,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_24,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_24,False,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,surprise,,
d_nikke_cocoa_04_25,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_25,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_26,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_26,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_27,d_nikke_cocoa_04,Choice,,Locale_NikkeEpisode:d_nikke_cocoa_04_27,False,,2,2,1.0,,,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,d_nikke_cocoa_04_29,
d_nikke_cocoa_04_28,d_nikke_cocoa_04,Choice,,Locale_NikkeEpisode:d_nikke_cocoa_04_28,False,,2,2,1.0,,,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,d_nikke_cocoa_04_32,
d_nikke_cocoa_04_29,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_29,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_30,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_30,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_31,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_31,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,d_nikke_cocoa_04_34,
d_nikke_cocoa_04_32,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_32,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_33,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_33,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_34,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_34,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_35,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_35,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_36,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_36,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_37,d_nikke_cocoa_04,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_04_37,False,,2,1,2.0,,cocoa,,2,idle,,,,,,,,,,12,serious,,,,OP_leftup,idle,,
d_nikke_cocoa_04_38,d_nikke_cocoa_04,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_04_38,True,,1,1,1.0,,cocoa,,2,idle,,,,,,,,,,12,serious,,,,OP_leftup,idle,,
d_nikke_cocoa_04_39,d_nikke_cocoa_04,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_04_39,False,,1,1,1.0,,,,2,idle,,,,,,,,,,12,serious,,,,OP_leftup,idle,,
d_nikke_cocoa_04_40,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_40,True,,1,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_41,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_41,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_42,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_42,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_43,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_43,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_44,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_44,True,,2,2,1.0,,ingrid,,2,think,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_45,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_45,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_46,d_nikke_cocoa_04,Speech,sakura_op_l,Locale_NikkeEpisode:d_nikke_cocoa_04_46,True,,2,2,1.0,,sakura_op_l,,2,idle,,,,,,,,,,12,idle,,,,OP_leftup,idle,,
d_nikke_cocoa_04_47,d_nikke_cocoa_04,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_04_47,False,,2,1,2.0,none,cocoa,,2,idle,,,,,,,,,,12,serious,,sfx_scn_over,,OP_leftup,idle,,sakura_op_l
d_nikke_cocoa_04_48,d_nikke_cocoa_04,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_04_48,True,,1,1,1.0,,cocoa,,2,idle,,,,,,,,,,12,serious,,,,,,,
d_nikke_cocoa_04_49,d_nikke_cocoa_04,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_04_49,False,,1,1,1.0,,,,2,idle,,,,,,,,,,12,serious,,,,,,,
d_nikke_cocoa_04_50,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_50,True,,1,1,1.0,,ingrid,,2,idle,,,,,,,,,,12,idle,,,,,,,
d_nikke_cocoa_04_51,d_nikke_cocoa_04,Speech,ingrid,Locale_NikkeEpisode:d_nikke_cocoa_04_51,True,,1,1,1.0,,ingrid,,2,idle,,,,,,,,,,12,idle,,,,,,,
d_nikke_cocoa_04_52,d_nikke_cocoa_04,Speech,exia_op,Locale_NikkeEpisode:d_nikke_cocoa_04_52,True,,1,1,1.0,bgm_story_heynewbie,exia_op,,2,idle,,,,exia_op,OP_leftup,idle,,,,12,idle,black,sfx_scn_crackle,,,,,
d_nikke_cocoa_04_53,d_nikke_cocoa_04,Speech,exia_op,Locale_NikkeEpisode:d_nikke_cocoa_04_53,True,,1,1,1.0,,exia_op,,2,idle,,,,,OP_leftup,idle,,,,12,idle,,,,,,,
d_nikke_cocoa_04_54,d_nikke_cocoa_04,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_04_54,False,,1,1,1.0,,,,2,idle,,,,,OP_leftup,idle,,,,12,idle,,,,,,,
d_nikke_cocoa_04_55,d_nikke_cocoa_04,Speech,exia_op,Locale_NikkeEpisode:d_nikke_cocoa_04_55,True,,1,1,1.0,,exia_op,,2,idle,,,,,OP_leftup,sad,,,,12,idle,,,,,,,
d_nikke_cocoa_04_56,d_nikke_cocoa_04,Speech,exia_op,Locale_NikkeEpisode:d_nikke_cocoa_04_56,True,,1,1,1.0,,exia_op,,2,idle,,,,,OP_leftup,sad,,,,12,idle,,,,,,,
d_nikke_cocoa_04_57,d_nikke_cocoa_04,Self,Self,Locale_NikkeEpisode:d_nikke_cocoa_04_57,False,,1,1,1.0,,,,2,idle,,,,,OP_leftup,sad,,,,12,idle,,,,,,,
d_nikke_cocoa_04_58,d_nikke_cocoa_04,Speech,exia_op,Locale_NikkeEpisode:d_nikke_cocoa_04_58,True,,1,1,1.0,,exia_op,,2,idle,,,,,OP_leftup,sad,,,,12,idle,,,,,,,
d_nikke_cocoa_04_59,d_nikke_cocoa_04,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_04_59,True,,1,12,1.0,,cocoa,,2,idle,,,,,OP_leftup,idle,,,,12,delight,,,,,,,
