id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/hide_char_id,characters/1/set_char_anim
d_nikke_volume_02_01,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_01,True,ArkRuinIndoor,S_30,S_30,1.0,bgm_story_stormbreakers,,,,,volume,3,angry,staff02,1,,
d_nikke_volume_02_02,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_02,True,,10,10,1.0,,,,,,,3,angry,,1,,
d_nikke_volume_02_03,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_03,True,,10,31,1.0,,,,,,,3,angry,,1,,
d_nikke_volume_02_04,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_04,False,,31,31,1.0,,,,,,,3,angry,,1,,
d_nikke_volume_02_05,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_05,True,,31,31,1.0,,,,,,,3,angry,,1,,
d_nikke_volume_02_06,d_nikke_volume_02,Narration,,,Locale_NikkeEpisode:d_nikke_volume_02_06,False,Corridor,black,black,1.0,none,,,,,,5,angry,,1,staff02,
d_nikke_volume_02_07,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_07,False,,5,5,1.0,,Grey,,,,,5,idle,,,,
d_nikke_volume_02_08,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_08,True,,5,5,1.0,,Grey,,,,,5,idle,,,,
d_nikke_volume_02_09,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_09,True,ArkRuinIndoor,5,1,1.0,,Grey,,,,,5,idle,staff02,1,,
d_nikke_volume_02_10,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_10,True,,1,1,1.0,bgm_story_stormbreakers,Grey,,,,,5,idle,,1,,
d_nikke_volume_02_11,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_11,True,,1,1,1.0,,Grey,,,,,5,angry,,1,,
d_nikke_volume_02_12,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_12,True,,1,1,1.0,,Grey,,,,,5,angry,,1,,
d_nikke_volume_02_13,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_13,True,,1,1,1.0,,Grey,,,,,5,angry,,1,,
d_nikke_volume_02_14,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_14,False,Corridor,1,5,1.0,,Grey,,,,,5,angry,,1,,
d_nikke_volume_02_15,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_15,True,,5,5,1.0,,Grey,,,,,5,angry,,1,,
d_nikke_volume_02_16,d_nikke_volume_02,Speech,staff02,staff02,Locale_NikkeEpisode:d_nikke_volume_02_16,True,ArkRuinIndoor,black,black,1.0,,Grey,,,,,5,angry,,1,,
d_nikke_volume_02_17,d_nikke_volume_02,Narration,,,Locale_NikkeEpisode:d_nikke_volume_02_17,False,,black,black,1.0,,Grey,sfx_scn_dooropenfast,,,,5,angry,,1,,
d_nikke_volume_02_18,d_nikke_volume_02,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_02_18,True,,31,31,1.0,,Grey,,,,,3,angry,,1,,
d_nikke_volume_02_19,d_nikke_volume_02,Self,,,Locale_NikkeEpisode:d_nikke_volume_02_19,False,,31,31,1.0,,Grey,,,,,3,angry,,1,,
