id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,characters/5/hide_char_id,fade,play_sound,set_camera_shake
d_nikke_rapunzel_puregrace_03_1,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_1,True,rapunzel_o,13,idle,dorothy,1,think,redhood,15,idle,snowwhite_o,17,sad,liliweiss,3,think,commander,5,no,BriefingRoom,14,14,1.0,bgm_recognition_underworld,,,,,
d_nikke_rapunzel_puregrace_03_2,d_nikke_rapunzel_puregrace_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_2,True,,13,idle,,1,think,,15,idle,,17,sad,,3,think,,5,no,,14,14,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_3,d_nikke_rapunzel_puregrace_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_3,True,,13,idle,,1,think,,15,idle,,17,sad,,3,think,,5,no,,14,14,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_4,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_4,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,14,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_5,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_5,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_6,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_6,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_7,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_7,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_8,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_8,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_9,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_9,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_10,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_10,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_11,d_nikke_rapunzel_puregrace_03,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_11,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,30,30,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_12,d_nikke_rapunzel_puregrace_03,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_12,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,30,30,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_13,d_nikke_rapunzel_puregrace_03,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_13,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,16,16,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_14,d_nikke_rapunzel_puregrace_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_14,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,16,16,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_15,d_nikke_rapunzel_puregrace_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_15,True,,13,no,,1,think,,15,idle,,17,sad,,3,think,,5,no,,16,16,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_16,d_nikke_rapunzel_puregrace_03,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_16,True,,13,no,,1,think,,15,idle,,17,angry,,3,think,,5,no,,16,16,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_17,d_nikke_rapunzel_puregrace_03,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_17,True,,13,no,,1,think,,15,idle,,17,angry,,3,think,,5,no,,16,16,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_18,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_18,True,,13,angry,,1,think,,15,idle,,17,angry,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_19,d_nikke_rapunzel_puregrace_03,Speech,rapunzel_o,rapunzel_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_19,True,,13,angry,,1,think,,15,idle,,17,angry,,3,think,,5,no,,130,130,1.0,,,,,,
d_nikke_rapunzel_puregrace_03_20,d_nikke_rapunzel_puregrace_03,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_rapunzel_puregrace_03_20,True,,13,angry,,1,think,,15,idle,,17,sad,,3,think,,5,no,,S_170,S_170,1.0,,,,,,
