id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,fade,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
d_nikke_ce005_01_02_1,d_nikke_ce005_01_02,Narration,Locale_NikkeEpisode:d_nikke_ce005_01_02_1,False,black,black,1.0,bgm_inark,,,,,,,,,,,
d_nikke_ce005_01_02_2,d_nikke_ce005_01_02,Narration,Locale_NikkeEpisode:d_nikke_ce005_01_02_2,False,black,black,1.0,,,,,,,,,,,,
d_nikke_ce005_01_02_3,d_nikke_ce005_01_02,Self,Locale_NikkeEpisode:d_nikke_ce005_01_02_3,False,1,1,1.0,,ce005_01_01,ce005_01_01,1,idle,Arboretum,black,,,,,
d_nikke_ce005_01_02_4,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_4,True,1,1,1.0,,ce005_01_01,,1,idle,,,ce005_01_01,,,,
d_nikke_ce005_01_02_5,d_nikke_ce005_01_02,Narration,Locale_NikkeEpisode:d_nikke_ce005_01_02_5,False,1,1,1.0,,ce005_01_01,,1,idle,,,,,,,
d_nikke_ce005_01_02_6,d_nikke_ce005_01_02,Self,Locale_NikkeEpisode:d_nikke_ce005_01_02_6,False,1,1,1.0,,ce005_01_01,,1,idle,,,,,,,
d_nikke_ce005_01_02_7,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_7,True,1,1,1.0,,ce005_01_01,,1,idle,,,ce005_01_01,,,,
d_nikke_ce005_01_02_8,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_8,True,1,1,1.0,,ce005_01_01,,1,idle,,,ce005_01_01,,,,
d_nikke_ce005_01_02_9,d_nikke_ce005_01_02,Self,Locale_NikkeEpisode:d_nikke_ce005_01_02_9,False,1,1,1.0,,ce005_01_01,,1,idle,,,,,,,
d_nikke_ce005_01_02_10,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_10,True,1,1,1.0,,ce005_01_01,,1,idle,,,ce005_01_01,,,,
d_nikke_ce005_01_02_11,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_11,True,1,3,1.0,,flora,,1,idle,,,flora,flora,3,idle,
d_nikke_ce005_01_02_12,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_12,True,3,3,1.0,,flora,,1,idle,,,flora,,3,idle,
d_nikke_ce005_01_02_13,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_13,True,3,3,1.0,,flora,,1,idle,,,flora,,3,idle,
d_nikke_ce005_01_02_14,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_14,True,3,3,1.0,,flora,,1,idle,,,flora,,3,idle,
d_nikke_ce005_01_02_15,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_15,True,3,1,1.0,,ce005_01_01,,1,idle,,,ce005_01_01,,3,idle,
d_nikke_ce005_01_02_16,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_16,True,1,3,1.0,,flora,,1,idle,,,flora,,3,idle,
d_nikke_ce005_01_02_17,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_17,True,3,3,1.0,,flora,,1,idle,,,flora,,3,idle,
d_nikke_ce005_01_02_18,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_18,True,3,3,1.0,,flora,,1,idle,,,flora,,3,idle,
d_nikke_ce005_01_02_19,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_19,True,3,1,1.0,,ce005_01_01,,1,idle,,,ce005_01_01,,3,idle,
d_nikke_ce005_01_02_20,d_nikke_ce005_01_02,Self,Locale_NikkeEpisode:d_nikke_ce005_01_02_20,False,1,1,1.0,,ce005_01_01,,1,idle,,,,,3,idle,
d_nikke_ce005_01_02_21,d_nikke_ce005_01_02,Narration,Locale_NikkeEpisode:d_nikke_ce005_01_02_21,False,1,10,1.0,,ce005_01_01,,1,idle,,,,,3,idle,
d_nikke_ce005_01_02_22,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_22,True,10,10,1.0,,ce005_01_01,,1,idle,,,ce005_01_01,,3,idle,
d_nikke_ce005_01_02_23,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_23,True,10,3,1.0,,flora,,1,idle,,,flora,,3,idle,
d_nikke_ce005_01_02_24,d_nikke_ce005_01_02,Speech,Locale_NikkeEpisode:d_nikke_ce005_01_02_24,True,3,3,1.0,,flora,,1,idle,,,flora,,3,idle,
