id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade,jump_target,set_camera_shake,set_filter_02
d_nikke_admi_03_1,d_nikke_admi_03,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_03_1,False,Backstreet_n,1,1,1.0,none,Grey,,,,,,,,,
d_nikke_admi_03_2,d_nikke_admi_03,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_03_2,False,,1,1,1.0,,Grey,,,,,,,,,
d_nikke_admi_03_3,d_nikke_admi_03,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_03_3,False,,1,1,1.0,,Grey,,,,,,,,,
d_nikke_admi_03_4,d_nikke_admi_03,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_03_4,False,,1,1,1.0,,Grey,,,,,,,,,
d_nikke_admi_03_5,d_nikke_admi_03,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_03_5,False,,1,1,1.0,,Grey,,,,,,,,,
d_nikke_admi_03_6,d_nikke_admi_03,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_03_6,False,,1,1,1.0,,Grey,,,,,,,,,
d_nikke_admi_03_7,d_nikke_admi_03,Narration,admi,Narration,Locale_NikkeEpisode:d_nikke_admi_03_7,False,none,black,black,1.0,bgm_story_orangepop,Grey,sfx_scn_buggerbite,,,,,,,,
d_nikke_admi_03_8,d_nikke_admi_03,Monologue,admi,Monologue,Locale_NikkeEpisode:d_nikke_admi_03_8,False,FastFood,black,black,1.0,,,,admi,1,idle,,,,,
d_nikke_admi_03_9,d_nikke_admi_03,Self,admi,Self,Locale_NikkeEpisode:d_nikke_admi_03_9,False,,XS_10,XS_10,1.0,,,,,1,idle,,,,,
d_nikke_admi_03_10,d_nikke_admi_03,Speech,admi,admi,Locale_NikkeEpisode:d_nikke_admi_03_10,True,,XS_10,XS_10,1.0,,,,,1,idle,,,,,
