id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce_02_02_04_1,d_nikke_ce_02_02_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_04_1,False,Factory,15,15,1.0,sfx_scn_bird,event_bgm_ce002_story_2,,,p12,1,idle,ce_02_02,3,idle
d_nikke_ce_02_02_04_2,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_2,True,,1,10,0.3,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_3,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_3,False,,15,15,1.0,,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_4,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_4,True,,1,10,0.3,,,p12,Low_2,,1,idle,,3,idle
d_nikke_ce_02_02_04_5,d_nikke_ce_02_02_04,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_04_5,True,,3,30,1.0,,,ce_02_02,,,1,idle,,3,idle
d_nikke_ce_02_02_04_6,d_nikke_ce_02_02_04,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_04_6,True,,30,30,1.0,,,ce_02_02,,,1,idle,,3,delight
d_nikke_ce_02_02_04_7,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_7,True,,30,2,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_8,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_8,True,,2,2,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_9,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_9,False,,2,2,1.0,,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_10,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_10,False,,2,2,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_11,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_11,True,,2,2,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_12,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_12,False,,2,2,1.0,,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_13,d_nikke_ce_02_02_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_04_13,False,,2,2,1.0,sfx_scn_bird,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_14,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_14,False,,2,2,1.0,,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_15,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_15,True,,2,10,0.5,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_16,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_16,True,,10,10,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_17,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_17,True,,10,10,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_18,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_18,True,,10,10,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_19,d_nikke_ce_02_02_04,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_04_19,True,,10,10,1.0,,,ce_02_02,,,1,idle,,3,delight
d_nikke_ce_02_02_04_20,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_20,True,,10,10,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_21,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_21,False,,10,10,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_22,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_22,True,,10,10,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_23,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_23,True,,10,10,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_24,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_24,True,,10,100,0.7,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_25,d_nikke_ce_02_02_04,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_04_25,True,,100,100,1.0,,,p12,,,1,idle,,3,idle
d_nikke_ce_02_02_04_26,d_nikke_ce_02_02_04,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_04_26,False,,30,3,0.7,,,ce_02_02,,,1,idle,,3,idle
d_nikke_ce_02_02_04_27,d_nikke_ce_02_02_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_04_27,False,,3,3,1.0,,,,,,1,idle,,3,idle
d_nikke_ce_02_02_04_28,d_nikke_ce_02_02_04,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_04_28,True,,3,3,1.0,,,ce_02_02,,,1,idle,,3,think
d_nikke_ce_02_02_04_29,d_nikke_ce_02_02_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_04_29,False,,3,2,1.0,sfx_scn_bird,,,,,1,idle,,3,think
