id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_filter_01,set_filter_02,set_camera_shake,characters/0/hide_char_id,jump_target
d_nikke_yulha_04_1,d_nikke_yulha_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_04_1,True,yulha,1,angry,Office,L_10,L_10,1.0,bgm_story_herecomestrouble,,,,,,,
d_nikke_yulha_04_2,d_nikke_yulha_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_04_2,True,,1,angry,,L_10,L_10,1.0,,,,,,,,
d_nikke_yulha_04_3,d_nikke_yulha_04,Self,yulha,,Locale_NikkeEpisode:d_nikke_yulha_04_3,False,,1,angry,,L_10,L_10,1.0,,,,,,,,
d_nikke_yulha_04_4,d_nikke_yulha_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_04_4,True,,1,angry,,L_10,L_10,1.0,,,,,,,,
d_nikke_yulha_04_5,d_nikke_yulha_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_04_5,True,,1,angry,,L_10,L_100,0.5,,,,,,,,
d_nikke_yulha_04_6,d_nikke_yulha_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_04_6,True,,1,sad,,L_100,L_100,1.0,,,,,,,,
d_nikke_yulha_04_7,d_nikke_yulha_04,Self,yulha,,Locale_NikkeEpisode:d_nikke_yulha_04_7,False,,1,sad,,L_100,L_100,1.0,,,,,,,,
d_nikke_yulha_04_8,d_nikke_yulha_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_04_8,False,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_yulha_04_9,d_nikke_yulha_04,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_yulha_04_9,True,,1,idle,,L_100,L_100,1.0,,,,,,,,
d_nikke_yulha_04_10,d_nikke_yulha_04,Self,yulha,,Locale_NikkeEpisode:d_nikke_yulha_04_10,False,,1,idle,,L_100,L_100,1.0,,,,,,,,
