id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,set_filter_01,jump_target,conversation_id
d_nikke_delta_03_1,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_1,False,CommanderRoom,7,1,3.0,bgm_story_fairytalesend_a,,,,,,,,,,,,,,
d_nikke_delta_03_2,d_nikke_delta_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_03_2,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_delta_03_3,d_nikke_delta_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_03_3,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_delta_03_4,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_4,True,City_d,1,1,1.0,,delta,delta,1,idle,black,,,,,,,,,
d_nikke_delta_03_5,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_5,True,,1,1,1.0,,delta,,1,angry,,,,,,,,,,
d_nikke_delta_03_6,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_6,True,,1,1,1.0,,delta,,1,angry,,,,,,,,,,
d_nikke_delta_03_7,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_7,False,,1,1,1.0,,delta,,1,angry,,,,,,,,,,
d_nikke_delta_03_8,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_8,False,Park,black,black,1.0,,delta,,1,angry,,delta,,,,,,,,
d_nikke_delta_03_9,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_9,True,,1,10,0.5,,delta,delta,1,angry,,,,,,,,,,
d_nikke_delta_03_10,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_10,False,,black,black,1.0,,delta,,1,idle,,,sfx_scn_shutter,,,,,,,
d_nikke_delta_03_11,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_11,True,,10,1,0.5,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_12,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_12,False,,black,black,1.0,,delta,,1,idle,,,sfx_scn_3shutter,,,,,,,
d_nikke_delta_03_13,d_nikke_delta_03,Speech,child01,Locale_NikkeEpisode:d_nikke_delta_03_13,True,,5,5,1.0,,child01,,1,idle,,,,,,,,,,
d_nikke_delta_03_14,d_nikke_delta_03,Speech,youngwoman,Locale_NikkeEpisode:d_nikke_delta_03_14,True,,5,5,1.0,,youngwoman,,1,idle,,,,,,,,,,
d_nikke_delta_03_15,d_nikke_delta_03,Speech,youngwoman,Locale_NikkeEpisode:d_nikke_delta_03_15,True,,5,5,1.0,,youngwoman,,1,idle,,,,,,,,,,
d_nikke_delta_03_16,d_nikke_delta_03,Speech,child01,Locale_NikkeEpisode:d_nikke_delta_03_16,True,,5,5,1.0,,child01,,1,idle,,,,,,,,,,
d_nikke_delta_03_17,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_17,True,,1,10,0.5,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_18,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_18,False,,10,10,1.0,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_19,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_19,True,,10,10,1.0,,delta,,1,sad,,,,,,,,,,
d_nikke_delta_03_20,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_20,True,,10,10,1.0,,delta,,1,sad,,,,,,,,,,
d_nikke_delta_03_21,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_21,True,,10,10,1.0,,delta,,1,sad,,,,,,,,,,
d_nikke_delta_03_22,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_22,False,,10,10,1.0,,delta,,1,sad,,,,,,,,,,
d_nikke_delta_03_23,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_23,True,,10,10,1.0,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_24,d_nikke_delta_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_03_24,False,,black,black,1.0,,,,1,idle,,,,,,,,,,
d_nikke_delta_03_25,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_25,False,,black,black,1.0,none,,,,,,delta,,,,,,,,
d_nikke_delta_03_26,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_26,True,,14,1,2.0,bgm_enemyclose,delta,delta,1,idle,,,,,,,,,,
d_nikke_delta_03_27,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_27,True,,1,1,1.0,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_28,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_28,True,,1,10,1.0,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_29,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_29,False,,10,10,1.0,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_30,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_30,True,,10,10,1.0,,delta,,1,idle,,,,,,,,,,
d_nikke_delta_03_31,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_31,True,,black,black,1.0,,delta,,,,,delta,,,,,,,,
d_nikke_delta_03_32,d_nikke_delta_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_03_32,False,RuinIndoor,black,black,1.0,,delta,,,,,,,,,,,,,
d_nikke_delta_03_33,d_nikke_delta_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_delta_03_33,True,,14,14,1.0,,unknown,,,,,,,suspect,14,idle,Low_2,Grey,,
d_nikke_delta_03_34,d_nikke_delta_03,Speech,unknown,Locale_NikkeEpisode:d_nikke_delta_03_34,True,,14,14,1.0,,unknown,,,,,,,,14,idle,,Grey,,
d_nikke_delta_03_35,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_35,False,,14,14,1.0,,,,,,,,sfx_scn_beatup,,14,idle,Low_2,Grey,,
d_nikke_delta_03_36,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_36,False,,black,black,1.0,,,,,,,,sfx_scn_glassbreak,,14,idle,,,,
d_nikke_delta_03_37,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_37,True,,1,1,1.0,,delta,delta,1,delight,,,,,14,idle,,,,
d_nikke_delta_03_38,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_38,False,,black,black,1.0,none,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_39,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_39,True,,14,14,1.0,bgm_story_fairytalesend_a,suspect,,1,idle,,,,,14,idle,Low_2,,,
d_nikke_delta_03_40,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_40,True,,14,1,0.5,,delta,,1,angry,,,,,14,idle,,,,
d_nikke_delta_03_41,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_41,True,,1,1,1.0,,delta,,1,angry,,,,,14,idle,,,,
d_nikke_delta_03_42,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_42,True,,1,10,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_43,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_43,False,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_44,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_44,True,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_45,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_45,True,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_46,d_nikke_delta_03,Choice,,Locale_NikkeEpisode:d_nikke_delta_03_46,False,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,d_nikke_delta_03_49,
d_nikke_delta_03_47,d_nikke_delta_03,Choice,,Locale_NikkeEpisode:d_nikke_delta_03_47,False,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,d_nikke_delta_03_50,
d_nikke_delta_03_48,d_nikke_delta_03,Choice,,Locale_NikkeEpisode:d_nikke_delta_03_48,False,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,d_nikke_delta_03_52,
d_nikke_delta_03_49,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_49,True,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,d_nikke_delta_03_54,
d_nikke_delta_03_50,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_50,False,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_51,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_51,True,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,d_nikke_delta_03_54,
d_nikke_delta_03_52,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_52,True,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_53,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_53,True,,10,10,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_54,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_54,True,,10,1,0.5,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_55,d_nikke_delta_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_03_55,False,,1,1,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_56,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_56,True,,1,14,0.5,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_57,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_57,True,,14,14,0.5,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_58,d_nikke_delta_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_03_58,False,,black,black,1.0,none,,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_59,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_59,True,,1,1,1.0,bgm_enemyclose,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_60,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_60,True,,1,1,1.0,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_61,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_61,True,,1,14,0.5,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_62,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_62,True,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,Low_2,,,
d_nikke_delta_03_63,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_63,False,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_64,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_64,True,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_65,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_65,True,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_66,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_66,True,,14,1,0.5,,delta,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_67,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_67,True,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,Low_2,,,
d_nikke_delta_03_68,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_68,True,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_69,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_69,True,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_70,d_nikke_delta_03,Speech,suspect,Locale_NikkeEpisode:d_nikke_delta_03_70,True,,14,14,1.0,,suspect,,1,idle,,,,,14,idle,,,,
d_nikke_delta_03_71,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_71,True,,14,1,2.0,,delta,,1,surprise,,,,,14,idle,,,,
d_nikke_delta_03_72,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_72,True,,1,1,1.0,,delta,,1,sad,,,,,14,idle,,,,
d_nikke_delta_03_73,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_73,True,,1,1,1.0,,delta,,1,sad,,,,,14,idle,,,,
d_nikke_delta_03_74,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_74,True,,1,1,1.0,,delta,,1,sad,,,,,14,idle,,,,
d_nikke_delta_03_75,d_nikke_delta_03,Self,Self,Locale_NikkeEpisode:d_nikke_delta_03_75,False,,1,1,1.0,,delta,,1,sad,,,,,14,idle,,,,
d_nikke_delta_03_76,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_76,True,,1,1,1.0,,delta,,1,surprise,,,,,14,idle,,,,
d_nikke_delta_03_77,d_nikke_delta_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_03_77,False,,black,black,1.0,,delta,,1,surprise,,,,,14,idle,,,,m_nikke_delta_03
d_nikke_delta_03_78,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_78,False,,1,1,1.0,,delta,,1,surprise,,,,,14,idle,,,,
d_nikke_delta_03_79,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_79,True,,1,1,1.0,,delta,,1,delight,,,,,14,idle,,,,
d_nikke_delta_03_80,d_nikke_delta_03,Choice,,Locale_NikkeEpisode:d_nikke_delta_03_80,False,,1,1,1.0,,delta,,1,delight,,,,,14,idle,,,d_nikke_delta_03_82,
d_nikke_delta_03_81,d_nikke_delta_03,Choice,,Locale_NikkeEpisode:d_nikke_delta_03_81,False,,1,1,1.0,,delta,,1,delight,,,,,14,idle,,,d_nikke_delta_03_83,
d_nikke_delta_03_82,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_82,True,,1,1,1.0,,delta,,1,think,,,,,14,idle,,,d_nikke_delta_03_86,
d_nikke_delta_03_83,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_83,True,,1,1,1.0,,delta,,1,surprise,,,,,14,idle,,,,
d_nikke_delta_03_84,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_84,True,,1,1,1.0,,delta,,1,sad,,,,,14,idle,,,,
d_nikke_delta_03_85,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_85,True,,1,1,1.0,,delta,,1,sad,,,,,14,idle,,,,
d_nikke_delta_03_86,d_nikke_delta_03,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_03_86,True,,1,1,1.0,,delta,,1,idle,,,,,14,idle,,,,
