id,group_id,speech_window,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,play_lipSync,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,characters/1/hide_char_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/2/hide_char_id
d_nikke_alice_04_1,d_nikke_alice_04,Narration,Locale_NikkeEpisode:d_nikke_alice_04_1,none,S_10,S_10,1.0,sfx_scn_ultrasonic,none,,,,,,,,,,,,,,,,,
d_nikke_alice_04_2,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_2,,S_10,S_10,1.0,,,whitewoman,True,,,,,,,,,,,,,,,
d_nikke_alice_04_3,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_3,,S_10,S_10,1.0,,,doctorman01,True,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_4,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_4,,S_10,S_10,1.0,,,whitewoman,True,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_5,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_5,,S_10,S_10,1.0,,,doctorwoman01,True,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_6,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_6,,S_10,S_10,1.0,,,doctorman01,True,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_7,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_7,,S_10,S_10,1.0,,,doctorwoman01,True,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_8,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_8,,S_10,S_10,1.0,,,doctorwoman01,True,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_9,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_9,,S_10,S_10,1.0,,,whitewoman,True,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_10,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_10,Hospital,S_10,S_10,1.0,,bgm_story_sunshinesorrow,patientgirl,,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_11,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_11,,S_10,S_10,1.0,,,patientgirl,False,Grey,,,,,,,,,,,,,,
d_nikke_alice_04_12,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_12,,S_10,S_50,2.0,,,patientgirl,,Grey,mary,5,idle,,,,,,,,,,,
d_nikke_alice_04_13,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_13,,S_50,S_50,1.0,,,whitewoman,True,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_14,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_14,,S_50,S_50,1.0,,,patientgirl,,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_15,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_15,,S_50,S_50,1.0,,,whitewoman,False,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_16,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_16,,S_50,S_50,1.0,,,patientgirl,,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_17,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_17,,S_50,S_50,1.0,,,patientgirl,,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_18,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_18,,S_50,S_50,1.0,,,patientgirl,,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_19,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_19,,S_50,S_50,1.0,,,whitewoman,False,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_20,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_20,,S_50,S_50,1.0,,,whitewoman,True,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_21,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_21,,S_50,S_10,2.0,,,patientgirl,,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_22,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_22,,S_10,S_10,1.0,,,patientgirl,False,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_23,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_23,,S_10,S_10,1.0,,,patientgirl,,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_24,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_24,,S_10,S_10,1.0,,,whitewoman,True,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_25,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_25,,S_10,S_10,1.0,,,whitewoman,True,Grey,,5,idle,mary,,,,,,,,,,
d_nikke_alice_04_26,d_nikke_alice_04,Narration,Locale_NikkeEpisode:d_nikke_alice_04_26,,S_10,S_100,2.0,,,,,Grey,,5,idle,,,,,,,,,,,
d_nikke_alice_04_27,d_nikke_alice_04,Narration,Locale_NikkeEpisode:d_nikke_alice_04_27,,S_100,S_100,1.0,,,,,Grey,,5,idle,,,,,,,,,,,
d_nikke_alice_04_28,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_28,none,black,black,1.0,,none,patientgirl,True,Grey,,5,idle,,mary,,,,,,,,,
d_nikke_alice_04_29,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_29,OuterRim,black,black,1.0,,,alice,True,Grey,,,,alice,,,,,,,,,,
d_nikke_alice_04_30,d_nikke_alice_04,Narration,Locale_NikkeEpisode:d_nikke_alice_04_30,,S_30,S_150,2.0,,bgm_story_shapeofhope,,,,,,,,,black,,,,,,,,
d_nikke_alice_04_31,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_31,,S_150,S_150,1.0,,,miranda,True,,miranda,15,idle,miranda,,,alice,1,idle,poli,17,idle,,
d_nikke_alice_04_32,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_32,,S_150,S_1500,0.5,,,miranda,True,,,15,idle,miranda,,,,,,,17,idle,alice,
d_nikke_alice_04_33,d_nikke_alice_04,Self,Locale_NikkeEpisode:d_nikke_alice_04_33,,S_1500,S_150,2.0,,,,,,,15,idle,miranda,,,,,,,17,idle,,
d_nikke_alice_04_34,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_34,,S_150,S_170,2.0,,,poli,True,,,15,idle,poli,,,,,,,17,idle,,
d_nikke_alice_04_35,d_nikke_alice_04,Self,Locale_NikkeEpisode:d_nikke_alice_04_35,,S_170,S_170,1.0,,,,,,,15,idle,poli,,,,,,,17,idle,,
d_nikke_alice_04_36,d_nikke_alice_04,Speech,Locale_NikkeEpisode:d_nikke_alice_04_36,,S_170,XS_1700,0.5,,,poli,True,,,15,idle,poli,,,,,,,17,angry,,
