id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_julia_01_1,treasurestory_julia_01,Narration,julia,Locale_NikkeEpisode:treasurestory_julia_01_1,False,WasteLand_02_n,black,black,1.0,bgm_frostpillar,,,julia,1,think
treasurestory_julia_01_2,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_2,True,,S_10,S_10,1.0,,julia,,,1,delight
treasurestory_julia_01_3,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_3,True,,S_10,S_10,1.0,,julia,,,1,delight
treasurestory_julia_01_4,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_4,True,,S_10,S_10,1.0,,julia,,,1,delight
treasurestory_julia_01_5,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_5,True,,S_10,S_10,1.0,,julia,,,1,delight
treasurestory_julia_01_6,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_6,True,,S_10,S_10,1.0,,julia,,,1,delight
treasurestory_julia_01_7,treasurestory_julia_01,Narration,julia,Locale_NikkeEpisode:treasurestory_julia_01_7,False,,S_10,S_100,1.3,,,sfx_scn_bookpageone,,1,delight
treasurestory_julia_01_8,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_8,True,,S_100,S_100,1.0,,julia,,,1,surprise
treasurestory_julia_01_9,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_9,True,,S_100,S_100,1.0,,julia,,,1,surprise
treasurestory_julia_01_10,treasurestory_julia_01,Speech,julia,Locale_NikkeEpisode:treasurestory_julia_01_10,True,,S_100,S_100,1.0,,julia,,,1,delight
