id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,set_filter_01,set_camera_shake
d_nikke_naga_03_1,d_nikke_naga_03,Self,Locale_NikkeEpisode:d_nikke_naga_03_1,False,naga,1,idle,CommanderRoom,10,10,1.0,bgm_story_fairytalesend_if,,,,,,,,,,,,,,,
d_nikke_naga_03_2,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_2,True,,1,delight,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_3,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_3,True,,1,delight,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_4,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_4,True,,1,idle,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_5,d_nikke_naga_03,Choice,Locale_NikkeEpisode:d_nikke_naga_03_5,False,,1,idle,,10,10,1.0,,,,d_nikke_naga_03_7,,,,,,,,,,,,
d_nikke_naga_03_6,d_nikke_naga_03,Choice,Locale_NikkeEpisode:d_nikke_naga_03_6,False,,1,idle,,10,10,1.0,,,,d_nikke_naga_03_9,,,,,,,,,,,,
d_nikke_naga_03_7,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_7,True,,1,delight,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_8,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_8,True,,1,delight,,10,10,1.0,,naga,naga,d_nikke_naga_03_15,,,,,,,,,,,,
d_nikke_naga_03_9,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_9,True,,1,idle,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
d_nikke_naga_03_10,d_nikke_naga_03,Speech,Locale_NikkeEpisode:d_nikke_naga_03_10,True,,1,idle,,10,10,1.0,,naga,naga,,,,,,,,,,,,,
