id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,jump_target,characters/0/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,conversation_id
d_nikke_rupee_05_1,d_nikke_rupee_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_05_1,False,City,9,5,2.0,none,,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_2,d_nikke_rupee_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_05_2,False,,5,5,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_3,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_3,True,,5,1,1.0,bgm_mystery,unknown,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_4,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_4,True,,1,1,1.0,,unknown,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_5,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_5,True,,1,1,1.0,,unknown,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_6,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_6,True,,1,1,1.0,,unknown,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_7,d_nikke_rupee_05,Speech,scaredgirl,Locale_NikkeEpisode:d_nikke_rupee_05_7,True,,1,1,1.0,,scaredgirl,Low_2,,,,,,,,,,,,,,,,
d_nikke_rupee_05_8,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_8,True,,1,1,1.0,,unknown,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_9,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_9,True,,1,1,1.0,,unknown,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_10,d_nikke_rupee_05,Speech,scaredgirl,Locale_NikkeEpisode:d_nikke_rupee_05_10,True,,1,1,1.0,,scaredgirl,Low_2,,,,,,,,,,,,,,,,
d_nikke_rupee_05_11,d_nikke_rupee_05,Self,Self,Locale_NikkeEpisode:d_nikke_rupee_05_11,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_rupee_05_12,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_12,True,Backstreet_n,1,1,1.0,,rupee,Low_2,rupee,1,sad,sfx_scn_running,,,,,,,,,,,,
d_nikke_rupee_05_13,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_13,True,,1,1,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_14,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_14,True,,1,130,1.0,,adultman,,,1,sad,,adultman,13,idle,,,,,,,,,
d_nikke_rupee_05_15,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_15,True,,130,130,1.0,,adultman,,,1,sad,,,13,idle,,,,,,,,,
d_nikke_rupee_05_16,d_nikke_rupee_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_05_16,False,,130,12,0.5,,,,,1,sad,,,13,idle,,,,,,,,,
d_nikke_rupee_05_17,d_nikke_rupee_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_05_17,False,,12,12,1.0,,,,,1,sad,,,13,idle,,,,,,,,,
d_nikke_rupee_05_18,d_nikke_rupee_05,Self,Self,Locale_NikkeEpisode:d_nikke_rupee_05_18,False,,12,12,1.0,none,,,,1,sad,,,13,idle,,,,,,,,,
d_nikke_rupee_05_19,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_19,True,,12,130,0.5,,adultman,Low_2,,1,sad,sfx_scn_hit,,13,idle,,,,,,,,,
d_nikke_rupee_05_20,d_nikke_rupee_05,Speech,unknown,Locale_NikkeEpisode:d_nikke_rupee_05_20,True,,130,130,1.0,,adultman,,,1,sad,,,13,idle,,,,,,,,,
d_nikke_rupee_05_21,d_nikke_rupee_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_05_21,False,,130,L_130,1.0,,,Low_2,,1,sad,sfx_scn_hit,,13,idle,adultman,,,,,,,,
d_nikke_rupee_05_22,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_22,True,,L_130,L_10,2.0,,rupee,,,1,surprise,,,,,,,,,,,,,
d_nikke_rupee_05_23,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_23,True,,L_10,1,2.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_24,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_24,True,,1,1,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_25,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_25,True,,1,1,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_26,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_26,False,,1,1,1.0,,,,,1,sad,,,,,,d_nikke_rupee_05_28,,,,,,,
d_nikke_rupee_05_27,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_27,False,,1,1,1.0,,,,,1,sad,,,,,,d_nikke_rupee_05_28,,,,,,,
d_nikke_rupee_05_28,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_28,False,,1,1,1.0,,rupee,,,1,surprise,,,,,,,,,,,,,
d_nikke_rupee_05_29,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_29,True,,1,1,1.0,,rupee,,,1,surprise,,,,,,,,,,,,,
d_nikke_rupee_05_30,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_30,True,,1,1,1.0,bgm_story_shapeofhope,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_31,d_nikke_rupee_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_05_31,False,,1,L_10,2.0,,,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_32,d_nikke_rupee_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_05_32,False,,L_10,L_10,1.0,,,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_33,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_33,False,,L_10,L_10,1.0,,,,,1,sad,,,,,,d_nikke_rupee_05_35,,,,,,,
d_nikke_rupee_05_34,d_nikke_rupee_05,Choice,,Locale_NikkeEpisode:d_nikke_rupee_05_34,False,,L_10,L_10,1.0,,,,,1,sad,,,,,,d_nikke_rupee_05_35,,,,,,,
d_nikke_rupee_05_35,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_35,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_36,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_36,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_37,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_37,True,,L_10,L_10,1.0,,rupee,,,1,angry,,,,,,,,,,,,,
d_nikke_rupee_05_38,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_38,True,,L_10,L_10,1.0,,rupee,,,1,angry,,,,,,,,,,,,,
d_nikke_rupee_05_39,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_39,True,,L_10,L_10,1.0,,rupee,,,1,angry,,,,,,,,,,,,,
d_nikke_rupee_05_40,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_40,True,,L_10,L_10,1.0,,rupee,,,1,angry,,,,,,,,,,,,,
d_nikke_rupee_05_41,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_41,False,,L_10,L_10,1.0,,rupee,,,1,angry,,,,,,,,,,,,,
d_nikke_rupee_05_42,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_42,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_43,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_43,True,,L_10,L_10,1.0,,rupee,,,1,idle,,,,,,,,,,,,,
d_nikke_rupee_05_44,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_44,False,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
d_nikke_rupee_05_45,d_nikke_rupee_05,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_05_45,True,,L_10,L_10,1.0,,rupee,,,1,sad,,,,,,,,,,,,,
