id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_anis_sparklingsummer_03_1,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_1,True,Drain,1,1,1.0,bgm_story_fairytalesend_if,,,,anis_s,1,void
d_nikke_anis_sparklingsummer_03_2,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_2,False,,1,15,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_3,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_3,False,,15,15,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_4,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_4,False,,15,15,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_5,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_5,False,,1,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_6,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_6,True,,1,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_7,d_nikke_anis_sparklingsummer_03,Narration,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_7,False,RuinIndoor,black,black,1.0,,sfx_scn_rustydooropen,,,,1,void
d_nikke_anis_sparklingsummer_03_8,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_8,False,,5,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_9,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_9,False,,1,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_10,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_10,False,,1,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_11,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_11,True,,1,XS_10,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_03_12,d_nikke_anis_sparklingsummer_03,Self,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_12,False,,XS_10,XS_10,1.0,,,,,,1,worry
d_nikke_anis_sparklingsummer_03_13,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_13,True,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_14,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_14,False,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_15,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_15,True,,XS_10,XS_100,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_16,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_16,True,,XS_100,XS_100,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_17,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_17,True,,XS_100,1,0.7,,,,,,1,angry
d_nikke_anis_sparklingsummer_03_18,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_18,False,,1,1,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_19,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_19,False,,1,1,1.0,none,,,,,1,void
d_nikke_anis_sparklingsummer_03_20,d_nikke_anis_sparklingsummer_03,Choice,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_20,False,,1,1,1.0,,,d_nikke_anis_sparklingsummer_03_22,,,1,void
d_nikke_anis_sparklingsummer_03_21,d_nikke_anis_sparklingsummer_03,Choice,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_21,False,,1,1,1.0,,,d_nikke_anis_sparklingsummer_03_25,,,1,void
d_nikke_anis_sparklingsummer_03_22,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_22,False,,1,16,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_23,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_23,False,,16,16,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_24,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_24,False,,16,16,1.0,,,d_nikke_anis_sparklingsummer_03_28,,,1,void
d_nikke_anis_sparklingsummer_03_25,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_25,False,,1,6,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_26,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_26,False,,6,6,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_27,d_nikke_anis_sparklingsummer_03,Monologue,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_27,False,,6,6,1.0,,,d_nikke_anis_sparklingsummer_03_28,,,1,void
d_nikke_anis_sparklingsummer_03_28,d_nikke_anis_sparklingsummer_03,Self,,,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_28,False,,1,1,1.0,bgm_story_weare,,,,,1,void
d_nikke_anis_sparklingsummer_03_29,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_29,True,,1,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_30,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_30,True,,XS_10,XS_10,1.0,,,,,,1,void
d_nikke_anis_sparklingsummer_03_31,d_nikke_anis_sparklingsummer_03,Speech,anis_s,anis_s,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_03_31,True,,XS_10,XS_10,1.0,,,,,,1,void
