id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,set_camera_shake,set_filter_01,conversation_id,play_sound,fade
d_nikke_harran_03_1,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_1,False,harran,1,idle,Desert_01,black,black,1.0,bgm_story_epicjazzymoods,,,,,,,
d_nikke_harran_03_2,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_2,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_harran_03_3,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_3,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_harran_03_4,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_4,True,,1,rage,,6001,10,2.0,,harran,,,,,,
d_nikke_harran_03_5,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_5,True,,1,rage,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_6,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_6,False,,1,rage,,10,10,1.0,,,,,,,,
d_nikke_harran_03_7,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_7,False,,1,idle,,10,6001,0.5,,,harran,Low_2,,,,
d_nikke_harran_03_8,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_8,True,,,,,black,black,1.0,,harran,,,,,,
d_nikke_harran_03_9,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_9,False,,,,Desert_03,black,black,1.0,,,,,,,,
d_nikke_harran_03_10,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_10,False,harran,1,idle,,7,7,1.0,,,,,,,,
d_nikke_harran_03_11,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_11,False,,1,idle,,7,70,2.0,,,,Low_2,,,,
d_nikke_harran_03_12,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_12,True,,1,idle,,70,10,1.0,,harran,,,,,,
d_nikke_harran_03_13,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_13,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_14,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_14,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_harran_03_15,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_15,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_16,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_16,True,,1,idle,,10,10,1.0,,harran,,,,,,
d_nikke_harran_03_17,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_17,False,,1,idle,,10,70,2.0,,,,,,,,
d_nikke_harran_03_18,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_18,False,,1,idle,,70,7,0.5,,,,Low_2,Blur_High,,,
d_nikke_harran_03_19,d_nikke_harran_03,Narration,harran,Locale_NikkeEpisode:d_nikke_harran_03_19,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_harran_03_20,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_20,False,,1,idle,,black,black,1.0,,,,,,,,
d_nikke_harran_03_21,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_21,False,,1,idle,,100,100,1.0,,,,,,,,
d_nikke_harran_03_22,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_22,True,,1,idle,,100,100,1.0,,harran,,,,,,
d_nikke_harran_03_23,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_23,True,,1,idle,,100,10,2.0,,harran,,,,,,
d_nikke_harran_03_24,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_24,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_harran_03_25,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_25,False,,1,idle,,black,black,1.0,,,harran,,,,,
d_nikke_harran_03_26,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_26,False,,,,,black,black,1.0,,,,,,,,
d_nikke_harran_03_27,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_27,False,,,,,black,black,1.0,,,,,,,,
d_nikke_harran_03_28,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_28,False,,,,,700,70,2.0,,,,,,m_nikke_harran_03,,
d_nikke_harran_03_29,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_29,False,,,,,70,70,1.0,,,,,,,,
d_nikke_harran_03_30,d_nikke_harran_03,Speech,harran,Locale_NikkeEpisode:d_nikke_harran_03_30,True,harran,1,idle,,70,10,1.0,,harran,,,,,,
d_nikke_harran_03_31,d_nikke_harran_03,Self,harran,Locale_NikkeEpisode:d_nikke_harran_03_31,False,,1,idle,,10,10,1.0,,,,,,,,
d_nikke_harran_03_32,d_nikke_harran_03,Monologue,harran,Locale_NikkeEpisode:d_nikke_harran_03_32,False,,1,idle,,10,100,0.5,,,,,,,,
