id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/hide_char_id,characters/1/hide_char_id,fade,play_sound,conversation_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target
d_nikke_neve_05_1,d_nikke_neve_05,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_neve_05_1,False,alice,5,idle,ludmilla,3,idle,ElevatorOut,black,black,1.0,none,,,,,,,,,,,
d_nikke_neve_05_2,d_nikke_neve_05,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_neve_05_2,False,,5,idle,,3,idle,,black,black,1.0,,,,,,,,,,,,
d_nikke_neve_05_3,d_nikke_neve_05,Monologue,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_neve_05_3,False,,5,idle,,3,idle,,black,black,1.0,,,,,,,,,,,,
d_nikke_neve_05_4,d_nikke_neve_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_neve_05_4,False,,5,idle,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_5,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_5,True,,5,idle,,3,idle,,53,53,1.0,bgm_story_leisuretime,,,,,,,,,,,
d_nikke_neve_05_6,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_6,True,,5,idle,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_7,d_nikke_neve_05,Speech,alice,alice,Locale_NikkeEpisode:d_nikke_neve_05_7,True,,5,delight,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_8,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_8,True,,5,delight,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_9,d_nikke_neve_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_neve_05_9,False,,5,delight,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_10,d_nikke_neve_05,Speech,alice,alice,Locale_NikkeEpisode:d_nikke_neve_05_10,True,,5,delight,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_11,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_11,True,,5,delight,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_12,d_nikke_neve_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_neve_05_12,False,,5,idle,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_13,d_nikke_neve_05,Speech,alice,alice,Locale_NikkeEpisode:d_nikke_neve_05_13,True,,5,idle,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_14,d_nikke_neve_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_neve_05_14,False,,5,idle,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_15,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_15,True,,5,idle,,3,idle,,53,53,1.0,,,,,,,,,,,,
d_nikke_neve_05_16,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_16,True,,5,idle,,3,idle,,53,3,1.0,,,,,,,,,,,,
d_nikke_neve_05_17,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_17,True,,5,idle,,3,idle,,3,3,1.0,,,,,,,,,,,,
d_nikke_neve_05_18,d_nikke_neve_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_neve_05_18,False,,5,idle,,3,idle,,3,3,1.0,,,,,,,,,,,,
d_nikke_neve_05_19,d_nikke_neve_05,Speech,ludmilla,ludmilla,Locale_NikkeEpisode:d_nikke_neve_05_19,True,,5,idle,,3,think,,3,3,1.0,,,,,,,,,,,,
