id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_camera_shake,fade
d_nikke_rapi_02_1,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_1,True,rapi,1,idle,City_d,1,1,1.0,bgm_story_orangepop,,,
d_nikke_rapi_02_2,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_2,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_3,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_3,False,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_4,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_4,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_5,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_5,False,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_6,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_6,False,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_7,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_7,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_8,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_8,False,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_9,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_9,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_10,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_10,False,,1,idle,Office,black,black,1.0,none,rapi,,
d_nikke_rapi_02_11,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_11,False,,,,,5,1,3.0,bgm_story_fairytalesend_if,,,
d_nikke_rapi_02_12,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_12,False,,,,,1,1,1.0,,,,
d_nikke_rapi_02_13,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_13,False,,,,,1,1,1.0,,,,
d_nikke_rapi_02_14,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_14,False,,,,,1,1,1.0,,,,
d_nikke_rapi_02_15,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_15,False,,,,,1,5,2.0,,,,
d_nikke_rapi_02_16,d_nikke_rapi_02,Speech,sadcommander,sadcommander,Locale_NikkeEpisode:d_nikke_rapi_02_16,True,,,,,5,5,1.0,,,,
d_nikke_rapi_02_17,d_nikke_rapi_02,Speech,sadcommander,sadcommander,Locale_NikkeEpisode:d_nikke_rapi_02_17,True,,,,,5,5,1.0,,,,
d_nikke_rapi_02_18,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_18,True,,,,,5,5,1.0,,,,
d_nikke_rapi_02_19,d_nikke_rapi_02,Speech,sadcommander,sadcommander,Locale_NikkeEpisode:d_nikke_rapi_02_19,True,,,,,5,5,0.7,,,,
d_nikke_rapi_02_20,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_20,True,,,,,5,5,0.5,,,,
d_nikke_rapi_02_21,d_nikke_rapi_02,Speech,sadcommander,sadcommander,Locale_NikkeEpisode:d_nikke_rapi_02_21,True,,,,,5,5,0.3,,,,
d_nikke_rapi_02_22,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_22,True,,,,,5,1,1.0,,,,
d_nikke_rapi_02_23,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_23,True,,,,,1,1,1.0,,,,
d_nikke_rapi_02_24,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_24,True,,,,,1,1,1.0,,,,
d_nikke_rapi_02_25,d_nikke_rapi_02,Speech,sadcommander,sadcommander,Locale_NikkeEpisode:d_nikke_rapi_02_25,True,,,,,1,1,1.0,,,Low_1,
d_nikke_rapi_02_26,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_26,True,,,,,1,15,0.5,,,,
d_nikke_rapi_02_27,d_nikke_rapi_02,Speech,sadcommander,sadcommander,Locale_NikkeEpisode:d_nikke_rapi_02_27,True,,,,,15,15,1.0,,,Low_1,
d_nikke_rapi_02_28,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_28,True,,,,,15,1,0.5,,,,
d_nikke_rapi_02_29,d_nikke_rapi_02,Speech,sadcommander,sadcommander,Locale_NikkeEpisode:d_nikke_rapi_02_29,False,,,,,1,1,1.0,,,,
d_nikke_rapi_02_30,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_30,True,,,,,1,1,1.0,,,,
d_nikke_rapi_02_31,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_31,False,,,,,black,black,1.0,,,,
d_nikke_rapi_02_32,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_32,False,,,,,1,1,1.0,,,,
d_nikke_rapi_02_33,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_33,True,,,,,1,10,1.0,,,,
d_nikke_rapi_02_34,d_nikke_rapi_02,Self,,Self,Locale_NikkeEpisode:d_nikke_rapi_02_34,False,,,,,10,10,1.0,,,,
d_nikke_rapi_02_35,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_35,True,,,,,10,10,1.0,,,,
d_nikke_rapi_02_36,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_36,False,,,,,10,10,1.0,,,,
d_nikke_rapi_02_37,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_37,False,,,,,10,10,1.0,,,,
d_nikke_rapi_02_38,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_38,False,,,,,10,10,1.0,,,,
d_nikke_rapi_02_39,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_39,True,,,,,10,10,1.0,,,,
d_nikke_rapi_02_40,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_40,True,,,,,10,10,1.0,,,,
d_nikke_rapi_02_41,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_41,True,,,,,10,10,1.0,,,,
d_nikke_rapi_02_42,d_nikke_rapi_02,Self,,Self,Locale_NikkeEpisode:d_nikke_rapi_02_42,False,,,,,10,10,1.0,,,,
d_nikke_rapi_02_43,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_43,True,,,,,10,10,1.0,,,,
d_nikke_rapi_02_44,d_nikke_rapi_02,Self,,Self,Locale_NikkeEpisode:d_nikke_rapi_02_44,False,,,,,10,10,1.0,,,,
d_nikke_rapi_02_45,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_45,True,,,,,10,10,1.0,,,,
d_nikke_rapi_02_46,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_46,True,,,,,10,10,1.0,,,,
d_nikke_rapi_02_47,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_47,False,,,,,10,10,1.0,,,,
d_nikke_rapi_02_48,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_48,False,,,,,10,100,0.5,,,,
d_nikke_rapi_02_49,d_nikke_rapi_02,Self,,Self,Locale_NikkeEpisode:d_nikke_rapi_02_49,False,,,,,100,100,1.0,,,,
d_nikke_rapi_02_50,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_50,True,,,,,100,100,1.0,,,,
d_nikke_rapi_02_51,d_nikke_rapi_02,Speech,staff,staff,Locale_NikkeEpisode:d_nikke_rapi_02_51,True,,,,,100,100,1.0,,,,
d_nikke_rapi_02_52,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_52,False,rapi,1,idle,City_d,9,9,1.0,bgm_menu_ark,,,black
d_nikke_rapi_02_53,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_53,False,,1,idle,,9,9,1.0,,,,
d_nikke_rapi_02_54,d_nikke_rapi_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_02_54,False,,1,idle,,9,5,3.0,,,,
d_nikke_rapi_02_55,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_55,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_56,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_56,True,,1,idle,,1,1,2.0,,,,
d_nikke_rapi_02_57,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_57,False,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_58,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_58,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_59,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_59,False,,1,idle,ShoppingMall,1,1,1.0,,,,black
d_nikke_rapi_02_60,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_60,True,,1,idle,,1,10,1.0,,,,
d_nikke_rapi_02_61,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_61,False,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_62,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_62,False,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_63,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_63,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_64,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_64,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_65,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_65,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_66,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_66,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_67,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_67,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_68,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_68,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_69,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_69,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_70,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_70,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_71,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_71,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_72,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_72,False,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_73,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_73,True,,1,idle,,10,1,1.0,,,,
d_nikke_rapi_02_74,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_74,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_75,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_75,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_76,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_76,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_77,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_77,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_78,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_78,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_79,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_79,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_80,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_80,True,,1,idle,,1,10,1.0,,,,
d_nikke_rapi_02_81,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_81,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_82,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_82,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_83,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_83,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_84,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_84,True,,1,idle,,10,10,1.0,,,,
d_nikke_rapi_02_85,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_85,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_86,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_86,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_87,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_87,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_88,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_88,True,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_89,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_89,False,,1,think,,10,10,1.0,,,,
d_nikke_rapi_02_90,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_90,True,,1,idle,,10,1,1.0,,,,
d_nikke_rapi_02_91,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_91,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_92,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_92,True,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_93,d_nikke_rapi_02,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_02_93,False,,1,idle,,1,1,1.0,,,,
d_nikke_rapi_02_94,d_nikke_rapi_02,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_02_94,True,,1,idle,,1,1,1.0,,,,
