id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_ether_04_1,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_1,True,Hospital,black,black,1.0,bgm_story_backtonormal,,ether,1,idle,,,,,,,,,
d_nikke_ether_04_2,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_2,True,,black,black,1.0,,,,1,idle,,,,,,,,,
d_nikke_ether_04_3,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_3,False,,6001,6001,1.0,,Blur_Middle,,1,idle,,,,,,,,,
d_nikke_ether_04_4,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_4,True,,6001,S_10,1.0,,Blur_Low,,1,idle,,,,,,,,,
d_nikke_ether_04_5,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_5,False,,S_10,S_40,1.0,,Blur_Middle,,1,idle,,,,,,,,,
d_nikke_ether_04_6,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_6,True,,S_40,S_10,0.5,,Blur_Low,,1,delight,,,,,,,,,
d_nikke_ether_04_7,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_7,False,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_8,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_8,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_9,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_9,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_10,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_10,False,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_11,d_nikke_ether_04,Monologue,ether,Monologue,Locale_NikkeEpisode:d_nikke_ether_04_11,False,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_12,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_12,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_13,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_13,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_14,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_14,False,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_15,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_15,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_16,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_16,False,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_17,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_17,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_18,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_18,False,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_19,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_19,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_20,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_20,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_21,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_21,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_22,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_22,False,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_23,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_23,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_24,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_24,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_25,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_25,False,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_26,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_26,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_27,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_27,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_28,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_28,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_29,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_29,True,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_30,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_30,False,,S_10,S_10,1.0,,,,1,sad,,,,,,,,,
d_nikke_ether_04_31,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_31,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_32,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_32,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_33,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_33,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_34,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_34,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_35,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_35,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_36,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_36,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_37,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_37,True,,S_10,S_10,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_38,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_38,True,,S_10,1,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_39,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_39,False,,1,1,1.0,none,,,1,delight,,,,,,,,,
d_nikke_ether_04_40,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_40,True,,1,1,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_41,d_nikke_ether_04,Self,ether,Self,Locale_NikkeEpisode:d_nikke_ether_04_41,False,,1,1,1.0,,,,1,delight,,,,,,,,,
d_nikke_ether_04_42,d_nikke_ether_04,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_ether_04_42,True,,1,1,1.0,bgm_story_crawlinganxiety,,,1,delight,,,,,,,,,
