id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_diesel_02_1,d_nikke_diesel_02,Monologue,Locale_NikkeEpisode:d_nikke_diesel_02_1,False,Station,1,1,1.0,bgm_story_orangepop,,,,,,,,,,
d_nikke_diesel_02_2,d_nikke_diesel_02,Monologue,Locale_NikkeEpisode:d_nikke_diesel_02_2,False,,1,15,2.0,,,,,,,,,,,
d_nikke_diesel_02_3,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_3,True,,15,1,1.0,,soline,soline,soline,1,idle,,,,,
d_nikke_diesel_02_4,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_4,False,,1,S_10,1.0,,soline,,,1,idle,,,,,
d_nikke_diesel_02_5,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_5,True,,S_10,S_10,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_6,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_6,True,,S_10,S_10,1.0,,soline,soline,,1,angry,,,,,
d_nikke_diesel_02_7,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_7,False,,S_10,S_10,1.0,,soline,,,1,angry,,,,,
d_nikke_diesel_02_8,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_8,True,,S_10,S_100,0.5,,soline,soline,,1,angry,,,,,
d_nikke_diesel_02_9,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_9,True,,S_100,S_100,1.0,,soline,soline,,1,angry,,,,,
d_nikke_diesel_02_10,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_10,True,,S_100,S_100,1.0,,soline,soline,,1,angry,,,,,
d_nikke_diesel_02_11,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_11,False,,S_100,S_100,1.0,,soline,,,1,angry,,,,,
d_nikke_diesel_02_12,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_12,False,,S_100,S_100,1.0,,soline,,,1,idle,,,,,
d_nikke_diesel_02_13,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_13,True,,S_100,S_100,1.0,none,soline,soline,,1,pain,,,,,
d_nikke_diesel_02_14,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_14,True,,S_100,S_10,2.0,,soline,soline,,1,pain,,,,,
d_nikke_diesel_02_15,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_15,False,,S_10,S_10,1.0,,soline,,,1,pain,,,,,
d_nikke_diesel_02_16,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_16,True,,S_10,S_10,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_17,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_17,False,,S_10,S_10,1.0,,soline,,,1,idle,,,,,
d_nikke_diesel_02_18,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_18,True,,S_10,S_10,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_19,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_19,True,,S_10,S_10,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_20,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_20,False,,S_10,S_10,1.0,,soline,,,1,idle,,,,,
d_nikke_diesel_02_21,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_21,True,,S_10,S_10,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_22,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_22,True,,S_10,S_100,2.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_23,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_23,True,,S_100,S_100,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_24,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_24,True,,S_100,S_100,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_25,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_25,True,,S_100,S_100,1.0,,soline,soline,,1,idle,,,,,
d_nikke_diesel_02_26,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_26,False,,S_100,S_100,1.0,,soline,,,1,idle,,,,,
d_nikke_diesel_02_27,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_27,True,none,black,black,1.0,,diesel,diesel,,1,idle,soline,,,,
d_nikke_diesel_02_28,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_28,True,Police,L_30,L_30,1.0,bgm_risk,brid,brid,diesel,1,idle,,brid,3,angry,
d_nikke_diesel_02_29,d_nikke_diesel_02,Narration,Locale_NikkeEpisode:d_nikke_diesel_02_29,False,,L_30,L_30,1.0,,brid,,,1,idle,,,3,angry,
d_nikke_diesel_02_30,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_30,True,,L_30,2,1.0,,diesel,diesel,,1,idle,,,3,angry,
d_nikke_diesel_02_31,d_nikke_diesel_02,Narration,Locale_NikkeEpisode:d_nikke_diesel_02_31,False,,2,2,1.0,,diesel,,,1,idle,,,3,angry,
d_nikke_diesel_02_32,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_32,True,,2,2,1.0,,brid,brid,,1,idle,,,3,idle,
d_nikke_diesel_02_33,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_33,False,,2,2,2.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_34,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_34,True,,2,2,1.0,,brid,brid,,1,idle,,,3,idle,
d_nikke_diesel_02_35,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_35,True,,2,2,1.0,,brid,brid,,1,idle,,,3,idle,
d_nikke_diesel_02_36,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_36,True,,2,10,1.0,,diesel,diesel,,1,delight,,,3,idle,
d_nikke_diesel_02_37,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_37,True,,L_30,L_30,0.5,,brid,brid,,1,delight,,,3,angry,
d_nikke_diesel_02_38,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_38,True,,10,10,1.0,,diesel,diesel,,1,idle,,,3,angry,
d_nikke_diesel_02_39,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_39,True,,L_30,L_30,1.0,,brid,brid,,1,idle,,,3,angry,
d_nikke_diesel_02_40,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_40,True,,L_30,L_30,1.0,,brid,brid,,1,idle,,,3,angry,
d_nikke_diesel_02_41,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_41,True,,L_30,L_30,1.0,,brid,brid,,1,idle,,,3,angry,
d_nikke_diesel_02_42,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_42,True,,L_30,L_30,1.0,,brid,brid,,1,idle,,,3,angry,
d_nikke_diesel_02_43,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_43,True,,L_30,10,2.0,,diesel,diesel,,1,worry,,,3,angry,
d_nikke_diesel_02_44,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_44,True,,10,2,1.0,,brid,brid,,1,worry,,,3,angry,
d_nikke_diesel_02_45,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_45,True,,2,2,1.0,,brid,brid,,1,worry,,,3,angry,
d_nikke_diesel_02_46,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_46,True,,2,2,1.0,,brid,brid,,1,worry,,,3,angry,
d_nikke_diesel_02_47,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_47,True,,2,2,1.0,,brid,brid,,1,worry,,,3,angry,
d_nikke_diesel_02_48,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_48,True,,2,2,1.0,,diesel,diesel,,1,idle,,,3,angry,
d_nikke_diesel_02_49,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_49,False,,2,L_30,2.0,,brid,brid,,1,idle,,,3,angry,
d_nikke_diesel_02_50,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_50,True,,L_30,10,1.0,,diesel,diesel,,1,idle,,,3,angry,
d_nikke_diesel_02_51,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_51,False,,10,10,1.0,,brid,brid,,1,idle,,,3,pain,
d_nikke_diesel_02_52,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_52,True,,10,100,0.5,,diesel,diesel,,1,idle,,,3,pain,
d_nikke_diesel_02_53,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_53,True,,100,100,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_54,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_54,True,,100,100,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_55,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_55,True,,100,100,1.0,,diesel,diesel,,1,delight,,,3,idle,
d_nikke_diesel_02_56,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_56,True,,100,100,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_57,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_57,True,,100,10,1.0,,diesel,diesel,,1,delight,,,3,idle,
d_nikke_diesel_02_58,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_58,True,,10,10,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_59,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_59,False,,10,2,1.0,,brid,brid,,1,idle,,,3,idle,
d_nikke_diesel_02_60,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_60,True,,2,2,1.0,,diesel,diesel,,1,delight,,,3,idle,
d_nikke_diesel_02_61,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_61,True,,2,2,1.0,,brid,brid,,1,idle,,,3,idle,
d_nikke_diesel_02_62,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_62,True,,2,2,1.0,,diesel,diesel,,1,delight,,,3,idle,
d_nikke_diesel_02_63,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_63,True,,2,2,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_64,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_64,True,,2,2,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_65,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_65,True,,2,2,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_66,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_66,True,,2,2,1.0,,brid,brid,,1,idle,,,3,idle,
d_nikke_diesel_02_67,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_67,True,,2,10,0.5,,diesel,diesel,,1,worry,,,3,idle,
d_nikke_diesel_02_68,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_68,True,,L_30,L_30,1.0,,brid,brid,,1,worry,,,3,idle,
d_nikke_diesel_02_69,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_69,True,,10,100,0.5,,diesel,diesel,,1,worry,,,3,idle,
d_nikke_diesel_02_70,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_70,True,,L_30,L_300,0.5,,brid,brid,,1,worry,,,3,idle,
d_nikke_diesel_02_71,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_71,True,,L_300,L_300,1.0,,brid,brid,,1,worry,,,3,idle,
d_nikke_diesel_02_72,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_72,True,,L_300,L_300,1.0,,brid,brid,,1,worry,,,3,idle,
d_nikke_diesel_02_73,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_73,True,,2,2,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_74,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_74,True,,2,2,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_75,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_75,False,,2,2,1.0,,brid,brid,,1,idle,,,3,idle,
d_nikke_diesel_02_76,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_76,False,,2,2,1.0,,diesel,diesel,,1,idle,,,3,idle,
d_nikke_diesel_02_77,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_77,True,,2,L_30,2.0,,brid,brid,,1,idle,,,3,angry,
d_nikke_diesel_02_78,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_78,True,,L_30,L_30,1.0,,brid,brid,,1,idle,,,3,angry,
d_nikke_diesel_02_79,d_nikke_diesel_02,Monologue,Locale_NikkeEpisode:d_nikke_diesel_02_79,False,,L_30,L_300,1.0,,brid,,,1,idle,,,3,angry,
d_nikke_diesel_02_80,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_80,True,,L_300,L_300,1.0,,brid,brid,,1,worry,,,3,angry,
d_nikke_diesel_02_81,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_81,True,,L_300,L_30,1.0,,brid,brid,,1,worry,,,3,angry,
d_nikke_diesel_02_82,d_nikke_diesel_02,Narration,Locale_NikkeEpisode:d_nikke_diesel_02_82,False,,L_30,10,2.0,none,brid,,,1,worry,,,3,angry,brid
d_nikke_diesel_02_83,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_83,False,,10,10,1.0,,brid,,,1,worry,,,,,
d_nikke_diesel_02_84,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_84,True,,10,10,1.0,,diesel,diesel,,1,worry,,,,,
d_nikke_diesel_02_85,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_85,True,,10,10,1.0,,diesel,diesel,,1,worry,,,,,
d_nikke_diesel_02_86,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_86,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,
d_nikke_diesel_02_87,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_87,False,,10,10,1.0,,diesel,,,1,idle,,,,,
d_nikke_diesel_02_88,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_88,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,
d_nikke_diesel_02_89,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_89,True,,10,100,0.5,bgm_story_leisuretime,diesel,diesel,,1,delight,,,,,
d_nikke_diesel_02_90,d_nikke_diesel_02,Self,Locale_NikkeEpisode:d_nikke_diesel_02_90,False,,100,100,1.0,,diesel,,,1,idle,,,,,
d_nikke_diesel_02_91,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_91,True,,100,100,1.0,,diesel,diesel,,1,idle,,,,,
d_nikke_diesel_02_92,d_nikke_diesel_02,Speech,Locale_NikkeEpisode:d_nikke_diesel_02_92,True,,100,10,2.0,,diesel,diesel,,1,idle,,,,,
