id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
d_nikke_poli_03_1,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_1,True,black,black,black,1.0,bgm_story_whosdumber,,,,,,,,,
d_nikke_poli_03_2,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_2,True,CommanderRoom,XS_50,XS_10,2.0,,poli,1,angry,,,,,,
d_nikke_poli_03_3,d_nikke_poli_03,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_03_3,False,,XS_10,XS_10,1.0,,,1,angry,,,,,,
d_nikke_poli_03_4,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_4,True,,XS_10,XS_10,1.0,,,1,angry,,,,,,
d_nikke_poli_03_5,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_5,True,,XS_10,XS_10,1.0,,,1,angry,,,,,,
d_nikke_poli_03_6,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_6,True,,XS_10,XS_10,1.0,,,1,angry,,,,,,
d_nikke_poli_03_7,d_nikke_poli_03,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_03_7,False,,XS_10,XS_10,1.0,,,1,angry,,,,,,
d_nikke_poli_03_8,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_8,True,,XS_10,XS_100,1.0,,,1,angry,,,,,,
d_nikke_poli_03_9,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_9,True,,XS_100,XS_100,1.0,,,1,angry,,,,,,
d_nikke_poli_03_10,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_10,True,,XS_100,XS_100,1.0,,,1,angry,,,,,,
d_nikke_poli_03_11,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_11,True,,XS_100,XS_100,1.0,,,1,angry,,,,,,
d_nikke_poli_03_12,d_nikke_poli_03,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_03_12,False,,XS_100,XS_100,1.0,,,1,angry,,,,,,
d_nikke_poli_03_13,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_13,False,,XS_100,XS_100,1.0,,,1,angry,,,,,,
d_nikke_poli_03_14,d_nikke_poli_03,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_03_14,False,,XS_100,XS_100,1.0,,,1,angry,,,,,,
d_nikke_poli_03_15,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_15,True,,XS_100,XS_10,0.5,,,1,surprise,,,,,,
d_nikke_poli_03_16,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_16,True,,XS_10,XS_10,1.0,,,1,idle,,,,,,
d_nikke_poli_03_17,d_nikke_poli_03,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_03_17,False,,XS_10,XS_10,1.0,,,1,idle,,,,,,
d_nikke_poli_03_18,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_18,True,,XS_10,XS_100,0.5,,,1,delight,,,,,,
d_nikke_poli_03_19,d_nikke_poli_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_03_19,True,,XS_100,XS_100,1.0,,,1,delight,,,,,,
