id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_frima_02_1,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_1,True,CommanderRoom,10,10,1.0,bgm_story_breakaway,,,,frima,1,idle
treasurestory_frima_02_2,treasurestory_frima_02,Choice,,Locale_NikkeEpisode:treasurestory_frima_02_2,False,,10,10,1.0,,treasurestory_frima_02_4,,,,1,idle
treasurestory_frima_02_3,treasurestory_frima_02,Choice,,Locale_NikkeEpisode:treasurestory_frima_02_3,False,,10,10,1.0,,treasurestory_frima_02_6,,,,1,idle
treasurestory_frima_02_4,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_4,True,,10,10,1.0,,,frima,,,1,delight
treasurestory_frima_02_5,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_5,True,,10,10,1.0,,treasurestory_frima_02_8,frima,,,1,delight
treasurestory_frima_02_6,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_6,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_7,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_7,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_8,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_8,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_9,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_9,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_10,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_10,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_11,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_11,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_12,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_12,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_13,treasurestory_frima_02,Monologue,,Locale_NikkeEpisode:treasurestory_frima_02_13,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_14,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_14,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_15,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_15,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_16,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_16,True,,10,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_17,treasurestory_frima_02,Monologue,,Locale_NikkeEpisode:treasurestory_frima_02_17,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_18,treasurestory_frima_02,Monologue,,Locale_NikkeEpisode:treasurestory_frima_02_18,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_19,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_19,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_20,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_20,True,,10,10,1.0,,,frima,,,1,delight
treasurestory_frima_02_21,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_21,True,,10,10,1.0,,,frima,,,1,delight
treasurestory_frima_02_22,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_22,False,,10,10,1.0,,,,,,1,delight
treasurestory_frima_02_23,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_23,False,,10,100,1.0,,,frima,Low_2,,1,surprise
treasurestory_frima_02_24,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_24,True,,100,100,1.0,,,frima,,,1,surprise
treasurestory_frima_02_25,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_25,True,,100,100,1.0,,,frima,,,1,surprise
treasurestory_frima_02_26,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_26,False,,100,100,1.0,,,,,,1,surprise
treasurestory_frima_02_27,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_27,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_28,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_28,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_29,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_29,False,,100,100,1.0,,,,,,1,idle
treasurestory_frima_02_30,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_30,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_31,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_31,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_32,treasurestory_frima_02,Monologue,,Locale_NikkeEpisode:treasurestory_frima_02_32,False,,100,100,1.0,,,,,,1,idle
treasurestory_frima_02_33,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_33,False,,100,100,1.0,,,,,,1,idle
treasurestory_frima_02_34,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_34,False,,100,100,1.0,,,frima,,,1,surprise
treasurestory_frima_02_35,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_35,True,,100,100,1.0,,,frima,,,1,idle
treasurestory_frima_02_36,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_36,True,,100,10,1.0,,,frima,,,1,idle
treasurestory_frima_02_37,treasurestory_frima_02,Self,,Locale_NikkeEpisode:treasurestory_frima_02_37,False,,10,10,1.0,,,,,,1,idle
treasurestory_frima_02_38,treasurestory_frima_02,Speech,frima,Locale_NikkeEpisode:treasurestory_frima_02_38,False,,10,10,1.0,,,frima,,,1,idle
