id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_filter_01,fade,jump_target
d_nikke_emma_05_1,d_nikke_emma_05,Narration,Locale_NikkeEpisode:d_nikke_emma_05_1,False,Hospital,1,1,1.0,bgm_story_languor,,,,,,,,,,,,,,,,,,
d_nikke_emma_05_2,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_2,True,,1,1,1.0,,rapi,rapi,rapi,1,idle,anis,14,idle,neon,16,idle,,,,,,,
d_nikke_emma_05_3,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_3,True,,1,1,1.0,,rapi,rapi,,1,idle,,14,idle,,16,idle,,,,,,,
d_nikke_emma_05_4,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_4,True,,1,15,0.5,,neon,neon,,1,idle,,14,idle,,16,delight,,,,,,,
d_nikke_emma_05_5,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_5,True,,15,15,1.0,,anis,anis,,1,idle,,14,delight,,16,delight,,,,,,,
d_nikke_emma_05_6,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_6,True,,15,15,1.0,,anis,anis,,1,idle,,14,worry,,16,delight,,,,,,,
d_nikke_emma_05_7,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_7,True,,15,140,1.0,,anis,anis,,1,idle,,14,no,,16,no,,,,,,,
d_nikke_emma_05_8,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_8,True,,160,160,1.0,,neon,neon,,1,idle,,14,no,,16,no,,,,,,,
d_nikke_emma_05_9,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_9,True,,160,15,1.0,,anis,anis,,1,idle,,14,no,,16,no,,,,,,,
d_nikke_emma_05_10,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_10,True,,15,15,1.0,,anis,anis,,1,idle,,14,angry,,16,no,,,,,,,
d_nikke_emma_05_11,d_nikke_emma_05,Self,Locale_NikkeEpisode:d_nikke_emma_05_11,False,,15,15,1.0,,anis,,,1,idle,,14,angry,,16,no,,,,,,,
d_nikke_emma_05_12,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_12,True,,15,15,1.0,,neon,neon,,1,idle,,14,angry,,16,no,,,,,,,
d_nikke_emma_05_13,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_13,True,,15,1,1.0,,rapi,rapi,,1,worry,,14,angry,,16,no,,,,,,,
d_nikke_emma_05_14,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_14,True,,1,1,1.0,,rapi,rapi,,1,worry,,14,angry,,16,no,,,,,,,
d_nikke_emma_05_15,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_15,True,,1,15,0.5,,neon,neon,,1,worry,,14,angry,,16,angry,,,,,,,
d_nikke_emma_05_16,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_16,True,,15,15,1.0,,neon,neon,,1,worry,,14,angry,,16,surprise,,,,,,,
d_nikke_emma_05_17,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_17,True,,15,15,1.0,,neon,neon,,1,idle,,14,angry,,16,surprise,,,,,,,
d_nikke_emma_05_18,d_nikke_emma_05,Self,Locale_NikkeEpisode:d_nikke_emma_05_18,False,,15,15,1.0,,neon,,,1,idle,,14,angry,,16,surprise,,,,,,,
d_nikke_emma_05_19,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_19,True,,15,160,1.0,,neon,neon,,1,idle,,14,angry,,16,delight,,,,,,,
d_nikke_emma_05_20,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_20,True,,160,160,1.0,,neon,neon,,1,idle,,14,angry,,16,delight,,,,,,,
d_nikke_emma_05_21,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_21,True,,160,160,1.0,,neon,neon,,1,idle,,14,angry,,16,no,,,,,,,
d_nikke_emma_05_22,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_22,True,,160,140,1.0,,anis,anis,,1,idle,,14,no,,16,no,,,,,,,
d_nikke_emma_05_23,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_23,False,CommanderRoom,black,black,1.0,none,,,,1,idle,,14,no,,16,no,rapi,anis,neon,,,,
d_nikke_emma_05_24,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_24,False,,5,1,2.0,bgm_menu_commandersroom,,,,,,,,,,,,,,,,,,
d_nikke_emma_05_25,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_25,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,
d_nikke_emma_05_26,d_nikke_emma_05,Monologue,Locale_NikkeEpisode:d_nikke_emma_05_26,False,HotSpring,black,black,1.0,,,,emma,1,special,,,,,,,,,,sfx_scn_keyboard,,,
d_nikke_emma_05_27,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_27,True,,10,10,1.0,,emma,emma,,1,special,,,,,,,,,,,Grey,,
d_nikke_emma_05_28,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_28,True,,10,10,1.0,,emma,emma,,1,special,,,,,,,,,,,Grey,,
d_nikke_emma_05_29,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_29,True,,10,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,Grey,,
d_nikke_emma_05_30,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_30,True,,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,Grey,,
d_nikke_emma_05_31,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_31,True,,100,100,1.0,,emma,emma,,1,surprise,,,,,,,,,,,Grey,,
d_nikke_emma_05_32,d_nikke_emma_05,Self,Locale_NikkeEpisode:d_nikke_emma_05_32,False,,100,100,1.0,,emma,,,1,surprise,,,,,,,,,,,Grey,,
d_nikke_emma_05_33,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_33,True,,100,100,1.0,,emma,emma,,1,surprise,,,,,,,,,,,Grey,,
d_nikke_emma_05_34,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_34,True,,100,100,1.0,,emma,emma,,1,worry,,,,,,,,,,,Grey,,
d_nikke_emma_05_35,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_35,True,,100,100,1.0,,emma,emma,,1,shy,,,,,,,,,,,Grey,,
d_nikke_emma_05_36,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_36,True,,100,10,1.0,,emma,emma,,1,surprise,,,,,,,,,,,Grey,,
d_nikke_emma_05_37,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_37,True,,10,10,1.0,,emma,emma,,1,shy,,,,,,,,,,,Grey,,
d_nikke_emma_05_38,d_nikke_emma_05,Speech,Locale_NikkeEpisode:d_nikke_emma_05_38,True,,10,10,1.0,,emma,emma,,1,shy,,,,,,,,,,,Grey,,
