id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
treasurestory_helm_03_1,treasurestory_helm_03,Narration,helm,Locale_NikkeEpisode:treasurestory_helm_03_1,False,helm,3,angry,NikkeRoom,30,30,1.0,sfx_scn_rustle_2,bgm_story_girlstalk,,,,,,,
treasurestory_helm_03_2,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_2,True,,3,angry,,30,300,1.3,,,helm,,,,,,
treasurestory_helm_03_3,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_3,True,,3,surprise,,300,300,1.0,,,helm,,,,,,
treasurestory_helm_03_4,treasurestory_helm_03,Narration,helm,Locale_NikkeEpisode:treasurestory_helm_03_4,False,,3,surprise,,300,300,1.0,,,,,,,,,
treasurestory_helm_03_5,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_5,True,,3,surprise,,300,300,1.0,,,helm,,,,,,
treasurestory_helm_03_6,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_6,True,,3,surprise,,12,12,1.0,sfx_scn_autodooropen,,mast,mast,1,surprise,anchor,13,idle
treasurestory_helm_03_7,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_7,True,,3,surprise,,12,12,1.0,,,mast,,1,surprise,,13,idle
treasurestory_helm_03_8,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_8,True,,3,idle,,12,2,1.3,,,helm,,1,surprise,,13,idle
treasurestory_helm_03_9,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_9,True,,3,idle,,2,2,1.0,,,mast,,1,surprise,,13,idle
treasurestory_helm_03_10,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_10,True,,3,idle,,2,2,1.0,,,helm,,1,surprise,,13,idle
treasurestory_helm_03_11,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_11,True,,3,idle,,2,2,1.0,,,mast,,1,angry,,13,idle
treasurestory_helm_03_12,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_12,True,,3,idle,,2,2,1.0,,,mast,,1,angry,,13,idle
treasurestory_helm_03_13,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_13,False,,3,idle,,2,2,1.0,,,helm,,1,angry,,13,idle
treasurestory_helm_03_14,treasurestory_helm_03,Speech,anchor,Locale_NikkeEpisode:treasurestory_helm_03_14,True,,3,idle,,S_130,S_130,1.0,,,anchor,,1,angry,,13,surprise
treasurestory_helm_03_15,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_15,True,,3,idle,,2,2,1.0,,,helm,,1,angry,,13,surprise
treasurestory_helm_03_16,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_16,True,,3,idle,,2,2,1.0,,,mast,,1,idle2,,13,surprise
treasurestory_helm_03_17,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_17,True,,3,idle,,2,10,1.3,,,mast,,1,angry,,13,surprise
treasurestory_helm_03_18,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_18,True,,3,idle,,10,10,1.0,,,mast,,1,angry,,13,surprise
treasurestory_helm_03_19,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_19,True,,3,idle,,10,10,1.0,,,mast,,1,angry,,13,idle
treasurestory_helm_03_20,treasurestory_helm_03,Speech,anchor,Locale_NikkeEpisode:treasurestory_helm_03_20,True,,3,idle,,10,S_130,1.3,,,anchor,,1,angry,,13,idle
treasurestory_helm_03_21,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_21,True,,3,angry,,30,30,1.0,,,helm,,1,angry,,13,idle
treasurestory_helm_03_22,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_22,True,,3,angry,,30,30,1.0,,,helm,,1,angry,,13,idle
treasurestory_helm_03_23,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_23,True,,3,angry,,30,2,1.0,,,mast,,1,angry2,,13,idle
treasurestory_helm_03_24,treasurestory_helm_03,Speech,helm,Locale_NikkeEpisode:treasurestory_helm_03_24,False,,3,idle,,2,2,1.0,,,helm,,1,angry2,,13,idle
treasurestory_helm_03_25,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_25,True,,3,idle,,2,2,1.0,,,mast,,1,idle,,13,idle
treasurestory_helm_03_26,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_26,True,,3,idle,,2,10,1.3,,,mast,,1,idle2,,13,idle
treasurestory_helm_03_27,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_27,True,,3,idle,,10,10,1.0,,,mast,,1,angry,,13,idle
treasurestory_helm_03_28,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_28,True,,3,idle,,10,10,1.0,,,mast,,1,angry,,13,idle
treasurestory_helm_03_29,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_29,True,,3,idle,,10,10,1.0,,,mast,,1,angry,,13,idle
treasurestory_helm_03_30,treasurestory_helm_03,Speech,mast,Locale_NikkeEpisode:treasurestory_helm_03_30,True,,3,idle,,10,10,1.0,,,mast,,1,angry,,13,idle
