id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,fade,set_filter_02
d_nikke_crow_04_1,d_nikke_crow_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_crow_04_1,False,Jail,5,1,2.0,bgm_recognition_underworld,Blur_Low,,,,,,,,,,,,,,,,,,,,,
d_nikke_crow_04_2,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_2,True,,1,1,1.0,,Blur_Low,crow,crow,1,idle,,,,,,,,,,,,,,,,,
d_nikke_crow_04_3,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_3,True,,1,1,1.0,,Blur_Low,crow,,1,idle,,,,,,,,,,,,,,,,,
d_nikke_crow_04_4,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_4,True,,1,10,2.0,,,crow,,1,surprise,,,,,,,,,,,,,,,,,
d_nikke_crow_04_5,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_5,True,,10,10,1.0,,,crow,,1,surprise,,,,,,,,,,,,,,,,,
d_nikke_crow_04_6,d_nikke_crow_04,Self,Self,Locale_NikkeEpisode:d_nikke_crow_04_6,False,,10,10,1.0,,,crow,,1,surprise,,,,,,,,,,,,,,,,,
d_nikke_crow_04_7,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_7,False,,10,10,1.0,,,crow,,1,idle,,,,,,,,,,,,,,,,,
d_nikke_crow_04_8,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_8,True,,10,10,1.0,,,crow,,1,idle,,,,,,,,,,,,,,,,,
d_nikke_crow_04_9,d_nikke_crow_04,Self,Self,Locale_NikkeEpisode:d_nikke_crow_04_9,False,,10,10,1.0,,,crow,,1,idle,,,,,,,,,,,,,,,,,
d_nikke_crow_04_10,d_nikke_crow_04,Self,Self,Locale_NikkeEpisode:d_nikke_crow_04_10,False,,10,10,1.0,,,crow,,1,idle,,,,,,,,,,,,,,,,,
d_nikke_crow_04_11,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_11,True,,10,1,2.0,,,crow,,1,angry,,,,,,,,,,,,,,,,,
d_nikke_crow_04_12,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_12,True,,1,1,1.0,,,crow,,1,angry,,,,,,,,,,,,,,,,,
d_nikke_crow_04_13,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_13,True,,1,1,1.0,,,crow,,1,angry,,,,,,,,,,,,,,,,,
d_nikke_crow_04_14,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_14,True,,1,1,1.0,,,crow,,1,angry,,,,,,,,,,,,,,,,,
d_nikke_crow_04_15,d_nikke_crow_04,Self,Self,Locale_NikkeEpisode:d_nikke_crow_04_15,False,,1,1,1.0,,,crow,,1,angry,,,,,,,,,,,,,,,,,
d_nikke_crow_04_16,d_nikke_crow_04,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_04_16,True,,1,10,2.0,,,crow,,1,angry,,,,,,,,,,,,,,,,,
